I Swear	All-4-One
Stay (I Missed You) (From "Reality Bites")	Lisa Loeb & Nine Stories
Fantastic Voyage	Coolio
Any Time, Any Place/And On And On	Janet Jackson
Can You Feel The Love Tonight (From "The Lion King")	Elton John
Regulate (From "Above The Rim")	Warren G & Nate Dogg
Don't Turn Around	Ace Of Base
Funkdafied	Da Brat
Back & Forth	Aaliyah
Wild Night	John Mellencamp With Me'Shell Ndegeocello
If You Go	Jon Secada
Shine	Collective Soul
You Mean The World To Me	Toni Braxton
Anytime You Need A Friend	Mariah Carey
I'll Remember (From "With Honors")	Madonna
I Miss You	Aaron Hall
Crazy	Aerosmith
Your Body's Callin'	R. Kelly
When Can I See You	Babyface
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Always	Erasure
The Sign	Ace Of Base
This D.J.	Warren G
Prayer For The Dying	Seal
Always In My Heart	Tevin Campbell
The Most Beautiful Girl In The World	Prince
Come To My Window	Melissa Etheridge
Back In The Day	Ahmad
Willing To Forgive	Aretha Franklin
Return To Innocence	Enigma
Beautiful In My Eyes	Joshua Kadison
Don't Take The Girl	Tim McGraw
The Way She Loves Me	Richard Marx
Give It Up	Public Enemy
The Place Where You Belong (From "Beverly Hills Cop III")	Shai
100% Pure Love	Crystal Waters
You Better Wait	Steve Perry
Fall Down	Toad The Wet Sprocket
Anything (From "Above The Rim")	SWV
Sending My Love	Zhane
I'm Not Over You	CeCe Peniston
I'm Ready	Tevin Campbell
Funky Y-2-C	The Puppies
Booti Call	BLACKstreet
Selling The Drama	Live
Whatta Man	Salt-N-Pepa Featuring En Vogue
Stroke You Up	Changing Faces
I'll Take You There (From "Threesome")	General Public
You Let Your Heart Go Too Fast	Spin Doctors
Backwater	Meat Puppets
Tootsee Roll	69 Boyz
Misled	Celine Dion
Sleeping In My Car	Roxette
Thinkin' Problem	David Ball
Nuttin' But Love	Heavy D & The Boyz
Got Me Waiting	Heavy D & The Boyz
Closer	Nine Inch Nails
None Of Your Business	Salt-N-Pepa
What's Up	DJ Miko
Girls & Boys	Blur
The Right Kinda Lover	Patti LaBelle
Maybe Love Will Change Your Mind	Stevie Nicks
Action	Terror Fabulous Featuring Nadine Sutherland
Do You Wanna Get Funky	C+C Music Factory
Sweet Potatoe Pie	Domino
Your Love Is So Divine	Miranda
Dreams	The Cranberries
Bop Gun (One Nation)	Ice Cube Featuring George Clinton
Old To The New	Nice & Smooth
Afternoons & Coffeespoons	Crash Test Dummies
Love Is All Around	Wet Wet Wet
Moving On Up	M People
I'll Remember You	Atlantic Starr
Pumps And A Bump	M.C. Hammer
Take It Easy	Mad Lion
It's Over Now	Cause And Effect
Nappy Heads	Fugees
I Need Your Love	Boston
Possession	Sarah McLachlan
Weekend Love	Queen Latifah
90's Girl	Blackgirl
Worker Man	Patra
Diary Of A Madman	Gravediggaz
How Do You Like It?	Keith Sweat
Crooklyn (From "Crooklyn")	The Crooklyn Dodgers
Never Lie	Immature
Southernplayalisticadillacmuzik	OutKast
Tell Me Where It Hurts	Kathy Troccoli
Happiness	Billy Lawrence
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
On Point	House Of Pain
Infatuation	Jamie Foxx
Ease My Mind	Arrested Development
Bizarre Love Triangle	FRENTE!
Love On My Mind	Xscape
(She's) Some Kind Of Wonderful	Huey Lewis & The News
Take It Back	Pink Floyd
I Wish	Gabrielle
Wink	Neal McCoy
Warrior's Drum	King Just
