Abracadabra	The Steve Miller Band
Eye Of The Tiger	Survivor
Hard To Say I'm Sorry	Chicago
Hold Me	Fleetwood Mac
Even The Nights Are Better	Air Supply
You Should Hear How She Talks About You	Melissa Manchester
Hurts So Good	John Cougar
Vacation	Go-Go's
Wasted On The Way	Crosby, Stills & Nash
Take It Away	Paul McCartney
Jack & Diane	John Cougar
Love Is In Control (Finger On The Trigger)	Donna Summer
Love Will Turn You Around	Kenny Rogers
Eye In The Sky	The Alan Parsons Project
Who Can It Be Now?	Men At Work
American Music	The Pointer Sisters
Think I'm In Love	Eddie Money
Keep The Fire Burnin'	REO Speedwagon
Only The Lonely	The Motels
You Can Do Magic	America
Only Time Will Tell	Asia
And I Am Telling You I'm Not Going	Jennifer Holliday
Blue Eyes	Elton John
Somebody's Baby	Jackson Browne
Kids In America	Kim Wilde
Hot In The City	Billy Idol
Let Me Tickle Your Fancy	Jermaine Jackson
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
Rosanna	Toto
Hold On	Santana
What's Forever For	Michael Murphey
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
Out Of Work	Gary U.S. Bonds
Valley Girl	Frank Zappa
Never Been In Love	Randy Meisner
Someday, Someway	Marshall Crenshaw
I Ran (So Far Away)	A Flock Of Seagulls
Let Me Go	Ray Parker Jr.
Gloria	Laura Branigan
Love Or Let Me Be Lonely	Paul Davis
Make Believe	Toto
You Dropped A Bomb On Me	The Gap Band
I'm The One	Roberta Flack
Workin' For A Livin'	Huey Lewis & The News
Oh Julie	Barry Manilow
Should I Stay Or Should I Go	The Clash
Break It To Me Gently	Juice Newton
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
Let It Be Me	Willie Nelson
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Voyeur	Kim Carnes
Holdin' On	Tane Cain
The One You Love	Glenn Frey
Still In The Game	Steve Winwood
I Will Always Love You	Dolly Parton
You Keep Runnin' Away	38 Special
I Only Want To Be With You	Nicolette Larson
You Don't Want Me Anymore	Steel Breeze
Jump To It	Aretha Franklin
Night Shift	Quarterflash
Sara	Bill Champlin
Johnny Can't Read	Don Henley
He Got You	Ronnie Milsap
Big Fun	Kool & The Gang
Sweet Time	REO Speedwagon
Don't Fight It	Kenny Loggins with Steve Perry
Heart Attack	Olivia Newton-John
Let It Whip	Dazz Band
Gypsy	Fleetwood Mac
Up Where We Belong	Joe Cocker And Jennifer Warnes
How Can I Live Without Her	Christopher Atkins
In The Driver's Seat	John Schneider
Right Away	Kansas
He Could Be The One	Josie Cotton
Steppin' Out	Joe Jackson
Love Come Down	Evelyn King
Athena	The Who
Nobody	Sylvia
Machinery	Sheena Easton
She Looks A Lot Like You	Clocks
Your Daddy Don't Know	Toronto
Don't Run My Life	Spys
Mickey	Toni Basil
Sad Hearts	Four Tops
Take The L.	The Motels
Tainted Love	Soft Cell
Don't You Want Me	The Human League
Ain't Nothing Like The Real Thing/You're All I Need To Get By	Chris Christian (with Amy Holland)
Close Enough To Perfect	Alabama
I Need You	Paul Carrack
Calling All Girls	Queen
Words	Missing Persons
I Really Don't Need No Light	Jeffrey Osborne
She Got The Goldmine (i Got The Shaft)	Jerry Reed
Hot Fun In The Summertime	Dayton
Love Plus One	Haircut One Hundred
Emotions In Motion	Billy Squier
Luanne	Foreigner
If The Love Fits Wear It	Leslie Pearl
Paperlate	Genesis
