Fame	David Bowie
I'm Sorry	John Denver
Rhinestone Cowboy	Glen Campbell
Run Joey Run	David Geddes
Mr. Jaws	Dickie Goodman
Bad Blood	Neil Sedaka
Ballroom Blitz	Sweet
Dance With Me	Orleans
Ain't No Way To Treat A Lady	Helen Reddy
Rocky	Austin Roberts
Wasted Days And Wasted Nights	Freddy Fender
Feelings	Morris Albert
It Only Takes A Minute	Tavares
They Just Can't Stop It the (Games People Play)	The Spinners
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Could It Be Magic	Barry Manilow
Who Loves You	The 4 Seasons
Lyin' Eyes	Eagles
Brazil	The Ritchie Family
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
At Seventeen	Janis Ian
Miracles	Jefferson Starship
Gone At Last	Paul Simon/Phoebe Snow
Fight The Power Part 1	The Isley Brothers
Feel Like Makin' Love	Bad Company
Lady Blue	Leon Russell
That's The Way Of The World	Earth, Wind & Fire
Carolina In The Pines	Michael Murphey
Do It Any Way You Wanna	People's Choice
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Heat Wave/love Is A Rose	Linda Ronstadt
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
The Way I Want To Touch You	Captain & Tennille
You're All I Need To Get By	Tony Orlando & Dawn
What A Diff'rence A Day Makes	Esther Phillips
I Only Have Eyes For You	Art Garfunkel
I Got Stoned And I Missed It	Jim Stafford
Rockin' All Over The World	John Fogerty
If I Ever Lose This Heaven	AWB
This Will Be	Natalie Cole
You	George Harrison
Blue Eyes Crying In The Rain	Willie Nelson
There Goes Another Love Song	The Outlaws
Sweet Sticky Thing	Ohio Players
Katmandu	Bob Seger
Sky High	Jigsaw
Daisy Jane	America
Low Rider	War
Get Down Tonight	KC And The Sunshine Band
I Love Makin' Love To You	Evie Sands
Born To Run	Bruce Springsteen
Something Better To Do	Olivia Newton-John
S.O.S.	ABBA
The Agony And The Ecstasy	Smokey Robinson
Money	Gladys Knight And The Pips
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
Dreaming A Dream	Crown Heights Affair
Solitaire	Carpenters
Just Too Many People	Melissa Manchester
I Get High On You	Sly Stone
Eighteen With A Bullet	Pete Wingfield
Give It What You Got/Peace Pipe	B.T. Express
Mr. D.J. (5 For The D.J.)	Aretha Franklin
You Ain't Never Been Loved (Like I'm Gonna Love You)	Jessi Colter
To Each His Own	Faith, Hope And Charity
(All I Have To Do Is) Dream	The Nitty Gritty Dirt Band
Operator	The Manhattan Transfer
Every Day I Have To Cry Some	Arthur Alexander
I Want'a Do Something Freaky To You	Leon Haywood
The Proud One	The Osmonds
Diamonds And Rust	Joan Baez
Hollywood Hot	The Eleventh Hour
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Letting Go	Wings
Are You Sure Hank Done It This Way	Waylon Jennings
Your Love	Graham Central Station
A Friend Of Mine Is Going Blind	John Dawson Read
Party Music	Pat Lundi
Manhattan Spiritual	Mike Post
Third Rate Romance	Amazing Rhythm Aces
Mamacita	The Grass Roots
Nights On Broadway	Bee Gees
Salsoul Hustle	The Salsoul Orchestra
I Go To Pieces	Cotton, Lloyd & Christian
Fancy Lady	Billy Preston
Keep On Tryin'	Poco
Leftovers	Millie Jackson
Nothin' Heavy	David Bellamy
Summer Of '42	Biddu Orchestra
Mexico	James Taylor
Rockin' And Rollin' On The Streets Of Hollywood	Buddy Miles
We Been Singin' Songs	Baron Stewart
Dear Prudence	Katfish
Easy Evil	Travis Wammack
Only You Can	Fox
Brand New Love Affair (Part I & II)	Chicago
Come And Get Your Love	Roger Daltrey
Let's Live Together	The Road Apples
So In Love	Curtis Mayfield
I Don't Want To Be A Lone Ranger	Johnny Guitar Watson
