Emotions	Mariah Carey
Do Anything	Natural Selection
Romantic	Karyn White
Hole Hearted	Extreme
Can't Stop This Thing We Started	Bryan Adams
Cream	Prince And The N.P.G.
Real Real Real	Jesus Jones
Something To Talk About	Bonnie Raitt
Good Vibrations	Marky Mark & The Funky Bunch Featuring Loleatta Holloway
O.P.P.	Naughty By Nature
Don't Want To Be A Fool	Luther Vandross
I Adore Mi Amor	Color Me Badd
Everybody Plays The Fool	Aaron Neville
The One And Only	Chesney Hawkes
Love. . .Thy Will Be Done	Martika
Hey Donna	Rhythm Syndicate
Don't Cry	Guns N' Roses
Running Back To You	Vanessa Williams
Enter Sandman	Metallica
Set The Night To Music	Roberta Flack With Maxi Priest
With You	Tony Terry
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Love Of A Lifetime	Firehouse
I Wonder Why	Curtis Stigers
When A Man Loves A Woman	Michael Bolton
Let's Talk About Sex	Salt-N-Pepa
That's What Love Is For	Amy Grant
Motownphilly	Boyz II Men
Kiss Them For Me	Siouxsie & The Banshees
Gett Off	Prince And The N.P.G.
Walk Through Fire	Bad Company
Now That We Found Love	Heavy D & The Boyz
Blowing Kisses In The Wind	Paula Abdul
Set Adrift On Memory Bliss	P.M. Dawn
Get A Leg Up	John Mellencamp
My Heart Belongs To You	Russ Irwin
Just Want To Hold You	Jasmine Guy
Street Of Dreams	Nia Peeples
Lies	EMF
(Everything I Do) I Do It For You	Bryan Adams
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Power Windows	Billy Falcon
Something Got Me Started	Simply Red
Straight To Your Heart	Bad English
Rush	Big Audio
Mind Playing Tricks On Me	Geto Boys
The Devil Came Up To Michigan	K.M.C. KRU
Top Of The World	Van Halen
Wind Of Change	Scorpions
Groovy Train	The Farm
Too Many Walls	Cathy Dennis
Finally	CeCe Peniston
Time, Love And Tenderness	Michael Bolton
Whispers	Corina
A Day In My Life (Without You)	Lisette Melendez
Shiny Happy People	R.E.M.
Superman's Song	Crash Test Dummies
Can't Truss It	Public Enemy
Live For Loving You	Gloria Estefan
Broken Arrow	Rod Stewart
I Can't Wait Another Minute	Hi-Five
Angel Baby	Angelica
Ballad Of Youth	Richie Sambora
Heaven In The Back Seat	Eddie Money
I'll Be There	The Escape Club
The Promise Of A New Day	Paula Abdul
The Real Love	Bob Seger & The Silver Bullet Band
Things That Make You Go Hmmmm. . .	C+C Music Factory
For You	Michael W. Smith
Try A Little Tenderness	The Commitments
Forever My Lady	Jodeci
All I Need Is You	Blue Train
Housecall	Shabba Ranks (Featuring Maxi Priest)
You're The Story Of My Life	Desmond Child
Tender Kisses	Tracie Spencer
Save Up All Your Tears	Cher
Never Stop	The Brand New Heavies Featuring N'Dea Davenport
Unforgettable	Natalie Cole
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Skat Strut	MC Skat Kat & The Stray Mob
Cool As Ice (Everybody Get Loose)	Vanilla Ice
Fall At Your Feet	Crowded House
3 A.M. Eternal	The KLF
The Motown Song	Rod Stewart
Spending My Time	Roxette
I'm Not Your Puppet	Hi-C
The Truth	Tami Show
Thinking Of You	Grandmaster Slice
Do You Feel Like I Feel?	Belinda Carlisle
Sometimes (It's A Bitch)	Stevie Nicks
Crazy	Seal
Stand By My Woman	Lenny Kravitz
Why Can't You Come Home	Ex-Girlfriend
After The Summer's Gone	PC Quest
Conviction Of The Heart	Kenny Loggins
Too Much	Tara Kemp
I've Got A Lot To Learn About Love	The Storm
What Time Is Love?	The KLF
For Your Mind	Robbie Nevil
Forever More	Stevie B
