Always	Atlantic Starr
You Keep Me Hangin' On	Kim Wilde
Head To Toe	Lisa Lisa And Cult Jam
In Too Deep	Genesis
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
The Lady In Red	Chris de Burgh
Wanted Dead Or Alive	Bon Jovi
Diamonds	Herb Alpert
With or Without You	U2
Just To See Her	Smokey Robinson
Meet Me Half Way	Kenny Loggins
Alone	Heart
Songbird	Kenny G
Lessons In Love	Level 42
Nothing's Gonna Change My Love For You	Glenn Medeiros
Don't Disturb This Groove	The System
Right On Track	The Breakfast Club
Big Love	Fleetwood Mac
Shakedown (From "Beverly Hills Cop II")	Bob Seger
Jammin' Me	Tom Petty And The Heartbreakers
Fascinated	Company B
Point Of No Return	Expose
Something So Strong	Crowded House
If She Would Have Been Faithful. . .	Chicago
I Know What I Like	Huey Lewis & The News
Every Little Kiss	Bruce Hornsby & The Range
Looking For A New Love	Jody Watley
Funkytown	Pseudo Echo
Heat Of The Night	Bryan Adams
Endless Nights	Eddie Money
Sweet Sixteen	Billy Idol
(I Just) Died In Your Arms	Cutting Crew
I'll Still Be Loving You	Restless Heart
Heart And Soul	T'Pau
Girls, Girls, Girls	Motley Crue
Soul City	Partland Brothers
Rock The Night	Europe
La Isla Bonita	Madonna
Kiss Him Goodbye	The Nylons
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
I'd Still Say Yes	Klymaxx
You Can Call Me Al	Paul Simon
The Pleasure Principle	Janet Jackson
Happy	Surface
Talk Dirty To Me	Poison
Flames Of Paradise	Jennifer Rush (Duet With Elton John)
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Wot's It To Ya	Robbie Nevil
Day-In Day-Out	David Bowie
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
I Still Haven't Found What I'm Looking For	U2
Only In My Dreams	Debbie Gibson
Back In The High Life Again	Steve Winwood
Ready Or Not	Lou Gramm
Wild Horses	Gino Vannelli
Moonlighting (Theme)	Al Jarreau
Don't Dream It's Over	Crowded House
Why Should I Cry?	Nona Hendryx
One For The Mockingbird	Cutting Crew
The Finer Things	Steve Winwood
Why You Treat Me So Bad	Club Nouveau
Give Me All Night	Carly Simon
Rock Steady	The Whispers
Variety Tonight	REO Speedwagon
Dirty Water	Rock And Hyde
Se La	Lionel Richie
Nothing's Gonna Stop Us Now	Starship
Weapons Of Love	The Truth
If I Was Your Girlfriend	Prince
Hypnotize Me (From "Innerspace")	Wang Chung
Hearts On Fire	Bryan Adams
Primitive Love Rites	Mondo Rock
Same Ole Love (365 Days A Year)	Anita Baker
Show Me	The Cover Girls
Can't Get Started	Peter Wolf
Luka	Suzanne Vega
Heartbreak Beat	Psychedelic Furs
Don't Mean Nothing	Richard Marx
Why Can't This Night Go On Forever	Journey
Since You've Been Gone	The Outfield
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Boy Blue	Cyndi Lauper
Can't We Try	Dan Hill (Duet With Vonda Shepard)
She Don't Look Back	Dan Fogelberg
We Are What We Are	The Other Ones
Mary's Prayer	Danny Wilson
Weatherman Says	Jack Wagner
Right Next Door (Because Of Me)	The Robert Cray Band
Under The Boardwalk	Bruce Willis
I Want Action	Poison
Want You For My Girlfriend	4 By Four
Still Of The Night	Whitesnake
Serious	Donna Allen
Shy Girl	Stacey Q
Downtown Train	Patty Smyth
Back And Forth	Cameo
Certain Things Are Likely	K.T.P.
Should I See	Frozen Ghost
There's Nothing Better Than Love	Luther Vandross with Gregory Hines
Midnight Blue	Lou Gramm
