Vogue	Madonna
All I Wanna Do Is Make Love To You	Heart
Nothing Compares 2 U	Sinead O'Connor
Hold On	Wilson Phillips
Alright	Janet Jackson
Poison	Bell Biv DeVoe
Sending All My Love	Linear
It Must Have Been Love (From "Pretty Woman")	Roxette
U Can't Touch This	M.C. Hammer
This Old Heart Of Mine	Rod Stewart With Ronald Isley
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
The Humpty Dance	Digital Underground
I Wanna Be Rich	Calloway
Love Child	Sweet Sensation
Ready Or Not	After 7
Turtle Power	Partners In Kryme
Your Baby Never Looked Good In Blue	Expose
Hold On	En Vogue
How Can We Be Lovers	Michael Bolton
What It Takes	Aerosmith
Do You Remember?	Phil Collins
Baby, It's Tonight	Jude Cole
Don't Wanna Fall In Love	Jane Child
Children Of The Night	Richard Marx
I'll Be Your Shelter	Taylor Dayne
I'll See You In My Dreams	Giant
Step By Step	New Kids On The Block
Room At The Top	Adam Ant
Expression	Salt-N-Pepa
All Around The World	Lisa Stansfield
Cruising For Bruising	Basia
Whip Appeal	Babyface
House Of Pain	Faster Pussycat
Enjoy The Silence	Depeche Mode
Rub You The Right Way	Johnny Gill
Deadbeat Club	The B-52s
Sittin' In The Lap Of Luxury	Louie Louie
She Ain't Worth It	Glenn Medeiros Featuring Bobby Brown
Getting Away With It	Electronic
Nicety	Michel'le
Always And Forever	Whistle
Up All Night	Slaughter
Without You	Motley Crue
I'll Be Your Everything	Tommy Page
Notice Me	Nikki
Girls Nite Out	Tyler Collins
Cradle Of Love (From "Ford Fairlane")	Billy Idol
Dare To Fall In Love	Brent Bourgeois
Save Me	Fleetwood Mac
The Power	Snap!
Black Velvet	Alannah Myles
Here And Now	Luther Vandross
This & That	Michael Penn
The Heart Of The Matter	Don Henley
Club At The End Of The Street	Elton John
Love Is	Alannah Myles
The Ballad Of Jayne	L.A. Guns
Just A Friend	Biz Markie
That's The Way Of The World	D-Mob With Cathy Dennis
"B" Girls	Young And Restless
Mentirosa	Mellow Man Ace
The Downeaster "Alexa"	Billy Joel
Coming Of Age	Damn Yankees
Time After Time	Timmy T.
When I Dream Of You	Tommy Page
All That Glitters Isn't Gold	The Cover Girls
Love Will Lead You Back	Taylor Dayne
Heartbeat	Seduction
If U Were Mine	The U-Krew
Bad Of The Heart	George LaMond
Get A Life	Soul II Soul
Get Up! (Before The Night Is Over)	Technotronic
Kiss This Thing Goodbye	Del Amitri
When I'm Back On My Feet Again	Michael Bolton
Pictures Of You	The Cure
Doubleback (From "Back To The Future Part III")	ZZ Top
Shake	Andrew Ridgeley
King Of Wishful Thinking (From "Pretty Woman")	Go West
Whole Wide World (From "True Love")	A'me Lorain
Got To Tell Me Something	Ana
You Can't Deny It	Lisa Stansfield
Jealous Again	The Black Crowes
No More Lies	Michel'le
Show Me	Howard Hewett
When Something Is Wrong With My Baby	Linda Ronstadt (Featuring Aaron Neville)
Pure	Lightning Seeds
The Secret Garden	Quincy Jones
Tomorrow (A Better You, Better Me)	Quincy Jones With Tevin Campbell
Counting The Days	Joey Kid
Forever	KISS
Try To Find Me	Gorky Park
Nick Of Time	Bonnie Raitt
Heaven Is A 4 Letter Word	Bad English
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Bounce Back	Alisha
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
A Little Love	Corey Hart
The Way It Is	Tesla
Moonlight On Water	Laura Branigan
I Wish It Would Rain Down	Phil Collins
