One More Night	Maroon 5
Gangnam Style	PSY
Some Nights	fun.
We Are Never Ever Getting Back Together	Taylor Swift
Blow Me (One Last Kiss)	P!nk
Whistle	Flo Rida
As Long As You Love Me	Justin Bieber Featuring Big Sean
Good Time	Owl City & Carly Rae Jepsen
Too Close	Alex Clare
Lights	Ellie Goulding
Everybody Talks	Neon Trees
Call Me Maybe	Carly Rae Jepsen
Wide Awake	Katy Perry
Don't Wake Me Up	Chris Brown
Pound The Alarm	Nicki Minaj
Wanted	Hunter Hayes
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Clique	Kanye West, Jay-Z, Big Sean
Somebody That I Used To Know	Gotye Featuring Kimbra
Payphone	Maroon 5 Featuring Wiz Khalifa
Give Your Heart A Break	Demi Lovato
Home	Phillip Phillips
Titanium	David Guetta Featuring Sia
Blown Away	Carrie Underwood
I Won't Give Up	Jason Mraz
50 Ways To Say Goodbye	Train
Where Have You Been	Rihanna
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
No Lie	2 Chainz Featuring Drake
Want U Back	Cher Lloyd
Adorn	Miguel
Ho Hey	The Lumineers
Take A Little Ride	Jason Aldean
Your Body	Christina Aguilera
Pontoon	Little Big Town
What Makes You Beautiful	One Direction
It's Time	Imagine Dragons
We Are Young	fun. Featuring Janelle Monae
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Cowboys And Angels	Dustin Lynch
Thinkin Bout You	Frank Ocean
Heart Attack	Trey Songz
Hard To Love	Lee Brice
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
I Will Wait	Mumford & Sons
2 Reasons	Trey Songz Featuring T.I.
Kiss Tomorrow Goodbye	Luke Bryan
Cruise	Florida Georgia Line Featuring Nelly
Glad You Came	The Wanted
Why Ya Wanna	Jana Kramer
Let's Go	Calvin Harris Featuring Ne-Yo
The A Team	Ed Sheeran
Little Talks	Of Monsters And Men
Turn On The Lights	Future
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Try	P!nk
Birthday Song	2 Chainz Featuring Kanye West
She's So Mean	matchbox twenty
Come Wake Me Up	Rascal Flatts
Lovin' You Is Fun	Easton Corbin
Truck Yeah	Tim McGraw
Hello	Karmin
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Fastest Girl In Town	Miranda Lambert
The One That Got Away	Jake Owen
Burn It Down	Linkin Park
Feel Again	OneRepublic
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Lemme See	Usher Featuring Rick Ross
To The World	Kanye West, R. Kelly
Come Over	Kenny Chesney
Amen	Meek Mill Featuring Drake
I Don't Like	Chief Keef Featuring Lil Reese
Dark Side	Kelly Clarkson
Over	Blake Shelton
Put It Down	Brandy Featuring Chris Brown
Angel Eyes	Love And Theft
Creepin'	Eric Church
Madness	Muse
No Worries	Lil Wayne Featuring Detail
Swimming Pools (Drank)	Kendrick Lamar
Celebration	Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Dance For You	Beyonce
For You	Keith Urban
Dive In	Trey Songz
Beautiful	Carly Rae Jepsen Featuring Justin Bieber
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Take A Walk	Passion Pit
5-1-5-0	Dierks Bentley
Tonight (Best You Ever Had)	John Legend Featuring Ludacris
Til My Last Day	Justin Moore
Radioactive	Imagine Dragons
Shinin' On Me	Jerrod Niemann
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Heart Skips A Beat	Olly Murs Featuring Chiddy Bang
Numb	Usher
Nobody's Perfect	J. Cole Featuring Missy Elliott
Beer Money	Kip Moore
Did It For The Girl	Greg Bates
