Brand New Key	Melanie
Family Affair	Sly & The Family Stone
American Pie (Parts I & II)	Don McLean
An Old Fashioned Love Song	Three Dog Night
Got To Be There	Michael Jackson
Have You Seen Her	The Chi-lites
All I Ever Need Is You	Sonny & Cher
Scorpio	Dennis Coffey & The Detroit Guitar Band
Cherish	David Cassidy
Hey Girl/I Knew You When	Donny Osmond
Baby I'm - A Want You	Bread
Respect Yourself	The Staple Singers
Sunshine	Jonathan Edwards
You Are Everything	The Stylistics
Where Did Our Love Go	Donnie Elbert
Theme From Shaft	Isaac Hayes
I'd Like To Teach The World To Sing (In Perfect Harmony)	The New Seekers
Superstar (Remember How You Got Where You Are)	The Temptations
Gypsys, Tramps & Thieves	Cher
Let's Stay Together	Al Green
I'd Like To Teach The World To Sing (In Perfect Harmony)	The Hillside Singers
One Monkey Don't Stop No Show Part I	The Honey Cone
Clean Up Woman	Betty Wright
(I Know) I'm Losing You	Rod Stewart With Faces
Stones/Crunchy Granola Suite	Neil Diamond
Day After Day	Badfinger
Rock Steady	Aretha Franklin
Drowning In The Sea Of Love	Joe Simon
Theme From "Summer Of '42"	Peter Nero
An American Trilogy	Mickey Newbury
Sugar Daddy	Jackson 5
Hey Big Brother	Rare Earth
Hallelujah	Sweathog
Behind Blue Eyes	The Who
Desiderata	Les Crane
A Natural Man	Lou Rawls
Kiss An Angel Good Mornin'	Charley Pride
George Jackson	Bob Dylan
Can I Get A Witness	Lee Michaels
White Lies, Blue Eyes	Bullet
Nothing To Hide	Tommy James
I'm A Greedy Man - Part I	James Brown
Anticipation	Carly Simon
It's One Of Those Nights (Yes Love)	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Once You Understand	Think
Me And Bobby McGee	Jerry Lee Lewis
Friends With You	John Denver
Make Me The Woman That You Go Home To	Gladys Knight And The Pips
Let It Be	Joan Baez
Your Move (I've Seen All Good People)	Yes
The Witch Queen Of New Orleans	Redbone
Satisfaction	Smokey Robinson & The Miracles
Sour Suite	The Guess Who
My Boy	Richard Harris
Ain't Nobody Home	B.B. King
Looking For A Love	The J. Geils Band
Levon	Elton John
Those Were The Days	Carroll O'Connor And Jean Stapleton (As The Bunkers)
Carolyn	Merle Haggard And The Strangers
That's The Way I Feel About Cha	Bobby Womack & Peace
Pretty As You Feel	Jefferson Airplane
Devil You	Stampeders
Turn Your Radio On	Ray Stevens
Truckin'	Grateful Dead
Everybody Knows About My Good Thing Pt. 1	Little Johnny Taylor
Daisy Mae	Hamilton, Joe Frank & Reynolds
Black Dog	Led Zeppelin
No Sad Song	Helen Reddy
Take It Slow (Out In The Country)	Lighthouse
Get Down	Curtis Mayfield
Tightrope Ride	The Doors
After All This Time	Merry Clayton
Lay Lady Lay	The Isley Brothers
Superstar/Bless The Beasts And Children	Carpenters
Way Back Home	Jr. Walker & The All Stars
Without You	Nilsson
Don't Say You Don't Remember	Beverly Bremers
Love Potion Number Nine	The Coasters
Fire And Water	Wilson Pickett
The Harder I Try (The Bluer I Get)	Free Movement
Never Been To Spain	Three Dog Night
Show Me How	The Emotions
So Many People	Chase
No Good To Cry	The Poppy Family
You Make Your Own Heaven And Hell Right Here On Earth	The Undisputed Truth
Get Up And Get Down	The Dramatics
What Am I Living For	Ray Charles
Under My Wheels	Alice Cooper
Keep On Keeping On	N.F. Porter
Five Hundred Miles	Heaven Bound with Tony Scotti
She's All I Got	Johnny Paycheck
Son Of Shaft	The Bar-Kays
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Long Time To Be Alone	The New Colony Six
Open The Door (Song For Judith)	Judy Collins
Love Gonna Pack Up (And Walk Out)	The Persuaders
Do The Funky Penguin Part I	Rufus Thomas
Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
Pain (Part I)	Ohio Players
Medley From "Superstar" (A Rock Opera)	The Assembled Multitude
