Money For Nothing	Dire Straits
Cherish	Kool & The Gang
St. Elmo's Fire (Man In Motion)	John Parr
We Don't Need Another Hero (Thunderdome)	Tina Turner
Don't Lose My Number	Phil Collins
Freedom	Wham!
Pop Life	Prince And The Revolution
The Power Of Love	Huey Lewis & The News
Oh Sheila	Ready For The World
Dress You Up	Madonna
Dare Me	The Pointer Sisters
Invincible (Theme From The Legend Of Billie Jean)	Pat Benatar
Take On Me	a-ha
Saving All My Love For You	Whitney Houston
Lonely Ol' Night	John Mellencamp
Freeway Of Love	Aretha Franklin
Dancing In The Street	David Bowie & Mick Jagger
You're Only Human (Second Wind)	Billy Joel
Cry	Godley & Creme
Smokin' In The Boys Room	Motley Crue
Summer Of '69	Bryan Adams
There Must Be An Angel	Eurythmics
Fortress Around Your Heart	Sting
Part-Time Lover	Stevie Wonder
C-I-T-Y	John Cafferty & The Beaver Brown Band
Every Step Of The Way	John Waite
Shame	The Motels
I Got You Babe	UB40
I'm Goin' Down	Bruce Springsteen
Lovin' Every Minute Of It	Loverboy
The Way You Do The Things You Do/My Girl	Daryl Hall John Oates
Shout	Tears For Fears
Never Surrender	Corey Hart
Life In One Day	Howard Jones
Four In The Morning (I Can't Take Anymore)	Night Ranger
No Lookin' Back	Michael McDonald
Miami Vice Theme	Jan Hammer
I'm Gonna Tear Your Playhouse Down	Paul Young
Head Over Heels	Tears For Fears
Sunset Grill	Don Henley
Be Near Me	ABC
What About Love?	Heart
And We Danced	Hooters
One Night Love Affair	Bryan Adams
We Built This City	Starship
You Belong To The City	Glenn Frey
Communication	The Power Station
Mystery Lady	Billy Ocean
Do You Want Crying	Katrina And The Waves
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Boy In The Box	Corey Hart
You Are My Lady	Freddie Jackson
You Wear It Well	El DeBarge With DeBarge
Down On Love	Foreigner
Tonight It's You	Cheap Trick
Lay Your Hands On Me	Thompson Twins
Never	Heart
Spanish Eddie	Laura Branigan
If You Love Somebody Set Them Free	Sting
I Wonder If I Take You Home	Lisa Lisa And Clult Jam With Full Force
Everytime You Go Away	Paul Young
Who's Holding Donna Now	Debarge
All Of Me For All Of You	9.9
Weird Science	Oingo Boingo
First Night	Survivor
Wise Up	Amy Grant
So In Love	Orchestral Manoeuvres In The Dark
You Spin Me Round (Like A Record)	Dead Or Alive
I'll Be Around	What Is This
Stand By Me	Maurice White
Test Of Time	The Romantics
When Your Heart Is Weak	Cock Robin
Born In East L.A.	Cheech & Chong
I Miss You	Klymaxx
All Fall Down	Five Star
Perfect Way	Scritti Politti
You Look Marvelous	Billy Crystal
Love And Pride	King
Glory Days	Bruce Springsteen
After The Fire	Roger Daltrey
A Little Bit of Heaven	Natalie Cole
Running Up That Hill	Kate Bush
Hard Times For Lovers	Jennifer Holliday
Broken Wings	Mr. Mister
Live Every Moment	REO Speedwagon
And She Was	Talking Heads
Master & Servant/(Set Me Free) Remotivate Me	Depeche Mode
Eaten Alive	Diana Ross
Janet	Commodores
One In A Million	Eddie & The Tide
Forever	Kenny Loggins
Looking Over My Shoulder	'Til Tuesday
Rock Me Tonight	Freddie Jackson
Lover Come Back To Me	Dead Or Alive
Hurts To Be In Love	Gino Vannelli
You Give Good Love	Whitney Houston
Hangin' On A String	Loose Ends
Dancin' In The Key Of Life	Steve Arrington
Wild And Crazy Love	Mary Jane Girls
People Are People	Depeche Mode
