Happy Together	The Turtles
Dedicated To The One I Love	The Mamas & The Papas
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Bernadette	Four Tops
This Is My Song	Petula Clark
Penny Lane	The Beatles
Western Union	The Five Americans
I Think We're Alone Now	Tommy James And The Shondells
A Little Bit Me, A Little Bit You	The Monkees
There's A Kind Of Hush	Herman's Hermits
Jimmy Mack	Martha & The Vandellas
I Never Loved A Man (The Way I Love You)	Aretha Franklin
The 59th Street Bridge Song (Feelin' Groovy)	Harpers Bizarre
For What It's Worth (Stop, Hey What's That Sound)	Buffalo Springfield
Strawberry Fields Forever	The Beatles
Beggin'	The 4 Seasons Featuring the "Sound of Frankie Valli"
Baby I Need Your Lovin'	Johnny Rivers
Sweet Soul Music	Arthur Conley
Sock It To Me-Baby!	Mitch Ryder And The Detroit Wheels
The Love I Saw In You Was Just A Mirage	Smokey Robinson & The Miracles
Dry Your Eyes	Brenda & The Tabulations
I've Been Lonely Too Long	The Young Rascals
My Cup Runneth Over	Ed Ames
The Return Of The Red Baron	The Royal Guardsmen
California Nights	Lesley Gore
With This Ring	The Platters
At The Zoo	Simon & Garfunkel
Don't You Care	The Buckinghams
Love Is Here And Now You're Gone	The Supremes
Detroit City	Tom Jones
What A Woman In Love Won't Do	Sandy Posey
Travlin' Man	Stevie Wonder
I'm A Man	The Spencer Davis Group
Ups And Downs	Paul Revere & The Raiders
No Milk Today	Herman's Hermits
Show Me	Joe Tex
Wade In The Water	Herb Alpert & The Tijuana Brass
Love Eyes	Nancy Sinatra
Gonna Give Her All The Love I've Got	Jimmy Ruffin
Tell Me To My Face	Keith
Laudy Miss Claudy	The Buckinghams
Then You Can Tell Me Goodbye	The Casinos
The Loser (With A Broken Heart)	Gary Lewis And The Playboys
When Something Is Wrong With My Baby	Sam & Dave
Sunday For Tea	Peter And Gordon
The Girl I Knew Somewhere	The Monkees
Ruby Tuesday	The Rolling Stones
You Got What It Takes	The Dave Clark Five
Summer Wine	Nancy Sinatra with Lee Hazlewood
On A Carousel	The Hollies
Close Your Eyes	Peaches & Herb
Music To Watch Girls By	Andy Williams
I'll Try Anything	Dusty Springfield
Oh That's Good, No That's Bad	Sam The Sham and the Pharaohs
Get Me To The World On Time	The Electric Prunes
Friday On My Mind	The Easybeats
The Happening	The Supremes
Sit Down, I Think I Love You	The Mojo Men
I Found A Love - Part 1	Wilson Pickett
Can't Get Enough Of You, Baby	? (Question Mark) & The Mysterians
Walkin' In The Sunshine	Roger Miller
My Back Pages	The Byrds
Mercy, Mercy, Mercy	Marlena Shaw
Danny Boy	Ray Price
Dead End Street Monologue/Dead End Street	Lou Rawls
For He's A Jolly Good Fellow	Bobby Vinton
Girl Don't Care	Gene Chandler
Girl, You'll Be A Woman Soon	Neil Diamond
Pipe Dream	Blues Magoos
Girl I Need You	The Artistics
Yellow Balloon	The Yellow Balloon
Cry To Me	Freddie Scott
I Got Rhythm	The Happenings
Hip Hug-Her	Booker T. & The MG's
Don't Do It	Micky Dolenz
Somebody To Love	Jefferson Airplane
When I Was Young	Eric Burdon & The Animals
The Whole World Is A Stage	The Fantastic Four
Out Of Left Field	Percy Sledge
Casino Royale	Herb Alpert & The Tijuana Brass
I Love You More Than Words Can Say	Otis Redding
Buy For Me The Rain	The Nitty Gritty Dirt Band
There's A Chance We Can Make It	Blues Magoos
Here Comes My Baby	The Tremeloes
Nothing Takes The Place Of You	Toussaint McCall
The Lady Came From Baltimore	Bobby Darin
Do The Thing	Lou Courtney
Postcard From Jamaica	The Sopwith "Camel"
Precious Memories	The Romeos
Why? (Am I Treated So Bad)	Cannonball Adderley
Sing Along With Me	Tommy Roe
She Took You For A Ride	Aaron Neville
Making Memories	Frankie Laine
The Jungle	B.B. King
Alfie	Dionne Warwick
No Time Like The Right Time	The Blues Project
Make A Little Love	Lowell Fulsom
For Me	Sergio Mendes & Brasil '66
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Think	Vicki Anderson & James Brown
