Let Me Love You	Mario
1, 2 Step	Ciara Featuring Missy Elliott
Lovers And Friends	Lil Jon & The East Side Boyz Featuring Usher & Ludacris
Soldier	Destiny's Child Featuring T.I. & Lil Wayne
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
How We Do	The Game Featuring 50 Cent
Disco Inferno	50 Cent
Boulevard Of Broken Dreams	Green Day
Bring Em Out	T.I.
Over And Over	Nelly Featuring Tim McGraw
Breakaway	Kelly Clarkson
My Boo	Usher And Alicia Keys
I Don't Want To Be	Gavin DeGraw
Caught Up	Usher
Get Back	Ludacris
Since U Been Gone	Kelly Clarkson
Only U	Ashanti
Mockingbird	Eminem
Karma	Lloyd Banks Featuring Avant
Beautiful Soul	Jesse McCartney
She Will Be Loved	Maroon 5
True	Ryan Cabrera
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Daughters	John Mayer
Rich Girl	Gwen Stefani Featuring Eve
Numb/Encore	Jay-Z/Linkin Park
Lose My Breath	Destiny's Child
Get Right	Jennifer Lopez
Karma	Alicia Keys
Mud On The Tires	Brad Paisley
Bless The Broken Road	Rascal Flatts
Gasolina	Daddy Yankee
You're My Better Half	Keith Urban
Truth Is	Fantasia
Dare You To Move	Switchfoot
It's Like That	Mariah Carey
Goodies	Ciara Featuring Petey Pablo
Some Cut	Trillville Featuring Cutty
Ordinary People	John Legend
Lady	Lenny Kravitz
Nobody's Home	Avril Lavigne
When I Think About Cheatin'	Gretchen Wilson
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Awful, Beautiful Life	Darryl Worley
One Thing	Finger Eleven
Obsession (No Es Amor)	Frankie J Featuring Baby Bash
Sunday Morning	Maroon 5
Give A Little Bit	Goo Goo Dolls
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Some Beach	Blake Shelton
O	Omarion
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Candy Shop	50 Cent Featuring Olivia
Monday Morning Church	Alan Jackson
Nothin' To Lose	Josh Gracin
Let's Get Blown	Snoop Dogg
New York	Ja Rule Featuring Fat Joe & Jadakiss
U Don't Know Me	T.I.
He Gets That From Me	Reba McEntire
Like Toy Soldiers	Eminem
Vertigo	U2
U Make Me Wanna	Jadakiss Featuring Mariah Carey
Back When	Tim McGraw
Encore	Eminem, Dr. Dre & 50 Cent
Hope	Twista Featuring Faith Evans
Okay	Nivea Featuring Lil Jon & YoungBloodZ
Baby Girl	Sugarland
Let Them Be Little	Billy Dean
N Dey Say	Nelly
Look What You've Done	Jet
Baby	Fabolous Featuring Mike Shorey
I May Hate Myself In The Morning	Lee Ann Womack
Let Me Go	3 Doors Down
That's What I Love About Sunday	Craig Morgan
Go D.J.	Lil Wayne
Gone	Montgomery Gentry
Tempted To Touch	Rupee
Holy Water	Big & Rich
Sugar (Gimme Some)	Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo
Shorty Wanna Ride	Young Buck
How Am I Doin'	Dierks Bentley
Welcome To My Life	Simple Plan
Baby It's You	JoJo Featuring Bow Wow
Fall To Pieces	Velvet Revolver
Getting Away With Murder	Papa Roach
The Woman With You	Kenny Chesney
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Vitamin R (Leading Us Along)	Chevelle
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Balla Baby	Chingy
I Changed My Mind	Keyshia Cole Featuring Shyne
Perdidos	Monchy & Alexandra
Just Lose It	Eminem
Gotta Go Solo	Patti LaBelle Featuring Ron Isley
Take Me Home	Terror Squad
You're The One	Guerilla Black Featuring Mario Winans
I'll Be Around	Daryl Hall John Oates
Ghetto	Akon
What You Waiting For?	Gwen Stefani
Thugs Get Lonely Too	2Pac Featuring Nate Dogg
