No Scrubs	TLC
Believe	Cher
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Every Morning	Sugar Ray
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Kiss Me	Sixpence None The Richer
I Still Believe	Mariah Carey
Angel Of Mine	Monica
C'est La Vie	B*Witched
Stay The Same	Joey McIntyre
All I Have To Give	Backstreet Boys
All Night Long	Faith Evans Featuring Puff Daddy
If You (Lovin' Me)	Silk
When I Close My Eyes	Shanice
Slide	Goo Goo Dolls
Angel	Sarah McLachlan
Please Remember Me	Tim McGraw
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
...Baby One More Time	Britney Spears
The Animal Song	Savage Garden
Sweet Lady	Tyrese
Fly Away	Lenny Kravitz
What It's Like	Everlast
Hard Knock Life (Ghetto Anthem)	JAY-Z
Give It To You	Jordan Knight
We Like To Party!	Vengaboys
(God Must Have Spent) A Little More Time On You	'N Sync
My First Night With You	Mya
Ex-Factor	Lauryn Hill
One More Try	Divine
These Are The Times	Dru Hill
Back 2 Good	matchbox 20
You	Jesse Powell
How Forever Feels	Kenny Chesney
Save Tonight	Eagle-Eye Cherry
Have You Ever?	Brandy
I'm Not Ready	Keith Sweat
Anywhere	112 Featuring Lil'z
When A Woman's Fed Up	R. Kelly
Ordinary Life	Chad Brock
I'll Think Of A Reason Later	Lee Ann Womack
The Hardest Thing	98 Degrees
Nobody's Supposed To Be Here	Deborah Cox
Miami	Will Smith
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
Jumper	Third Eye Blind
Girlfriend/Boyfriend	BLACKstreet With Janet
Faded Pictures	Case & Joe
Drive Me Wild	Sawyer Brown
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Wish You Were Here	Mark Wills
You Got Me	The Roots Featuring Erykah Badu
Praise You	Fatboy Slim
Livin' La Vida Loca	Ricky Martin
Georgy Porgy	Eric Benet Featuring Faith Evans
That Don't Impress Me Much	Shania Twain
Blue Monday	Orgy
You Were Mine	Dixie Chicks
What's So Different	Ginuwine
Gone Crazy	Alan Jackson
Written In The Stars	Elton John & LeAnn Rimes
My Name Is	Eminem
You Won't Ever Be Lonely	Andy Griggs
I Can't Get Over You	Brooks & Dunn
I Don't Want To Miss A Thing	Mark Chesnutt
Hands Of A Working Man	Ty Herndon
Hillbilly Shoes	Montgomery Gentry
Nann	Trick Daddy Featuring Trina
Anyone Else	Collin Raye
One	Creed
Fortunate	Maxwell
Stand Beside Me	Jo Dee Messina
Two Teardrops	Steve Wariner
Love Ain't Like That	Faith Hill
Special	Garbage
What'd You Come Here For?	Trina & Tamara
808	Blaque
With You	Lila McCann
Everytime I Cry	Terri Clark
Anything But Down	Sheryl Crow
Get Involved	Raphael Saadiq & Q-Tip
Down So Long	Jewel
Busy Man	Billy Ray Cyrus
Heavy	Collective Soul
Life	K-Ci & JoJo
Slam Dunk	Five
Sitting Home	Total
Why Don't You Get A Job?	The Offspring
Woof	Snoop Dogg Featuring Mystikal And Fiend
Unbelievable	Diamond Rio
Holla Holla	Ja Rule
Maria	Blondie
Man! I Feel Like A Woman!	Shania Twain
My Favorite Girl	Dave Hollister
Crush	Dave Matthews Band
Taking Everything	Gerald Levert
Run	Collective Soul
No Place That Far	Sara Evans
Can't Get Enough	Patty Loveless
Ruff Ryders' Anthem	DMX
