Sukiyaki	Kyu Sakamoto
It's My Party	Lesley Gore
Hello Stranger	Barbara Lewis
Blue On Blue	Bobby Vinton
Easier Said Than Done	The Essex
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
One Fine Day	The Chiffons
You Can't Sit Down	The Dovells
Memphis	Lonnie Mack
Surf City	Jan & Dean
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
Birdland	Chubby Checker
So Much In Love	The Tymes
Tie Me Kangaroo Down, Sport	Rolf Harris
Still	Bill Anderson
18 Yellow Roses	Bobby Darin
Surfin' U.S.A.	The Beach Boys
My Summer Love	Ruby And The Romantics
I Love You Because	Al Martino
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
Wildwood Days	Bobby Rydell
The Good Life	Tony Bennett
If My Pillow Could Talk	Connie Francis
Pride And Joy	Marvin Gaye
String Along	Rick Nelson
Two Faces Have I	Lou Christie
Poor Little Rich Girl	Steve Lawrence
First Quarrel	Paul and Paula
Shut Down	The Beach Boys
Every Step Of The Way	Johnny Mathis
Come And Get These Memories	Martha & The Vandellas
Harry The Hairy Ape	Ray Stevens
If You Wanna Be Happy	Jimmy Soul
Falling	Roy Orbison
Ring Of Fire	Johnny Cash
I Wish I Were A Princess	Little Peggy March
Prisoner Of Love	James Brown And The Famous Flames
Another Saturday Night	Sam Cooke
Detroit City	Bobby Bare
The Love Of My Man	Theola Kilgore
Losing You	Brenda Lee
Shake A Hand	Jackie Wilson & Linda Hopkins
Not Me	The Orlons
Your Old Stand By	Mary Wells
Swinging On A Star	Big Dee Irwin (with Little Eva)
(I Love You) Don't You Forget It	Perry Como
Without Love (There Is Nothing)	Ray Charles
Old Smokey Locomotion	Little Eva
Just One Look	Doris Troy
Goodnight My Love	The Fleetwoods
Wipe Out	The Surfaris
Don't Say Goodnight And Mean Goodbye	The Shirelles
Don't Try To Fight It, Baby	Eydie Gorme
Hopeless	Andy Williams
Come Go With Me	Dion
The Bounce	The Olympics
Six Days On The Road	Dave Dudley
Fingertips - Pt 2	Little Stevie Wonder
My True Confession	Brook Benton
No One	Ray Charles
Be True To Yourself	Bobby Vee
Shake A Tail Feather	The Five Du-Tones
There Goes (My Heart Again)	Fats Domino
I'm Movin' On	Matt Lucas
Gypsy Woman	Rick Nelson
Sting Ray	The Routers
Not Too Young To Get Married	Bob B. Soxx And The Blue Jeans
Denise	Randy & The Rainbows
If You Need Me	Solomon Burke
Give Us Your Blessing	Ray Peterson
Till Then	The Classics
Hootenanny	The Glencoves
Rat Race	The Drifters
Summer's Comin'	Kirby St. Romain
My Block	The Four Pennies
Get Him	The Exciters
Tips Of My Fingers	Roy Clark
Like The Big Guys Do	The Rocky Fellers
Abilene	George Hamilton IV
Jack The Ripper	Link Wray And The Wraymen
Say Wonderful Things	Patti Page
Mockingbird	Inez Foxx with Charlie Foxx
Green, Green	The New Christy Minstrels
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
I Can't Stop Loving You	Count Basie
Blowin' In The Wind	Peter, Paul & Mary
Antony And Cleopatra Theme	Ferrante & Teicher
Graduation Day	Bobby Pickett
Scarlett O'Hara	Lawrence Welk And His Orchestra
Cottonfields	Ace Cannon
Guilty	Jim Reeves
I'm Afraid To Go Home	Brian Hyland
Land Of 1000 Dances	Chris Kenner
A Letter From Betty	Bobby Vee
Summertime	Chris Columbo Quintet
From Me To You	Del Shannon
Hello Jim	Paul Anka
Say Wonderful Things	Ronnie Carroll
I (Who Have Nothing)	Ben E. King
Rock Me In The Cradle Of Love	Dee Dee Sharp
