Baby Love	The Supremes
Last Kiss	J. Frank Wilson and The Cavaliers
Do Wah Diddy Diddy	Manfred Mann
Leader Of The Pack	The Shangri-Las
Let It Be Me	Betty Everett & Jerry Butler
Have I The Right?	The Honeycombs
Come A Little Bit Closer	Jay & The Americans
The Door Is Still Open To My Heart	Dean Martin
Chug-A-Lug	Roger Miller
We'll Sing In The Sunshine	Gale Garnett
Oh, Pretty Woman	Roy Orbison And The Candy Men
Dancing In The Street	Martha & The Vandellas
Little Honda	The Hondells
Tobacco Road	The Nashville Teens
Everybody Knows (I Still Love You)	The Dave Clark Five
I Don't Want To See You Again	Peter And Gordon
I Like It	Gerry And The Pacemakers
Ain't That Loving You Baby	Elvis Presley
I'm Crying	The Animals
You Really Got Me	The Kinks
A Summer Song	Chad & Jeremy
She's Not There	The Zombies
Is It True	Brenda Lee
When I Grow Up (To Be A Man)	The Beach Boys
Ride The Wild Surf	Jan & Dean
Ask Me	Elvis Presley With The Jordanaires
Baby Don't You Do It	Marvin Gaye
Ringo	Lorne Greene
You Must Believe Me	The Impressions
Time Is On My Side	The Rolling Stones
Cousin Of Mine	Sam Cooke
Softly, As I Leave You	Frank Sinatra
I'm Gonna Be Strong	Gene Pitney
Who Can I Turn To (When Nobody Needs Me)	Tony Bennett
Mr. Lonely	Bobby Vinton
I Don't Want To See Tomorrow	Nat King Cole
I've Got Sand In My Shoes	The Drifters
Mercy, Mercy	Don Covay & The Goodtimers
Reach Out For Me	Dionne Warwick
Everything's Alright	The Newbeats
I'm Into Something Good	Herman's Hermits
Bless Our Love	Gene Chandler
All Cried Out	Dusty Springfield
When You Walk In The Room	The Searchers
Death Of An Angel	The Kingsmen
Right Or Wrong	Ronnie Dove
Funny Girl	Barbra Streisand
When You're Young And In Love	Ruby And The Romantics
I Had A Talk With My Man	Mitty Collier
Wendy	The Beach Boys
You Should Have Seen The Way He Looked At Me	The Dixie Cups
Needle In A Haystack	The Velvelettes
Lumberjack	Brook Benton
Teen Beat '65	Sandy Nelson
Jump Back	Rufus Thomas
Smack Dab In The Middle	Ray Charles and his Orchestra
Slaughter On Tenth Avenue	The Ventures
Baby Be Mine	The Jelly Beans
Don't Ever Leave Me	Connie Francis
Runnin' Out Of Fools	Aretha Franklin
Mountain Of Love	Johnny Rivers
Ain't Doing Too Bad (Part 1)	Bobby Bland
So Long Dearie	Louis Armstrong
Walking In The Rain	The Ronettes
Gone, Gone, Gone	The Everly Brothers
Sidewalk Surfin'	Jan & Dean
Shaggy Dog	Mickey Lee Lane
She Understands Me	Johnny Tillotson
Little Honda	The Beach Boys
Something You Got	Ramsey Lewis Trio
Ain't It The Truth	Mary Wells
S-W-I-M	Bobby Freeman
Look Away	Garnet Mimms
What Good Am I Without You	Marvin Gaye & Kim Weston
Goin' Out Of My Head	Little Anthony And The Imperials
Little Marie	Chuck Berry
Opportunity	The Jewels
Listen Lonely Girl	Johnny Mathis
Dance, Dance, Dance	The Beach Boys
Big Man In Town	The 4 Seasons Featuring the "Sound of Frankie Valli"
Hey Now	Lesley Gore
Too Many Fish In The Sea	The Marvelettes
We Could	Al Martino
Chained And Bound	Otis Redding
Up Above My Head (I Hear Music In The Air)	Al (He's the King) Hirt
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
Oh No Not My Baby	Maxine Brown
Maybe Tonight	The Shirelles
California Bound	Ronny And The Daytonas
The Dodo	Jumpin' Gene Simmons
Beautician Blues	B.B. King
Sometimes I Wish I Were A Boy	Lesley Gore
That's Where It's At	Sam Cooke
Four Strong Winds	Bobby Bare
If You Want This Love	Sonny Knight
Never Trust A Woman	B.B. King
Stop Takin' Me For Granted	Mary Wells
It Ain't Me, Babe	Johnny Cash
Heartbreak Hill	Fats Domino
Times Have Changed	Irma Thomas
