Toosie Slide	Drake
Blinding Lights	The Weeknd
The Box	Roddy Ricch
Don't Start Now	Dua Lipa
Life Is Good	Future Featuring Drake
Circles	Post Malone
Adore You	Harry Styles
Say So	Doja Cat Featuring Nicki Minaj
Intentions	Justin Bieber Featuring Quavo
Everything I Wanted	Billie Eilish
Someone You Loved	Lewis Capaldi
The Bones	Maren Morris
My Oh My	Camila Cabello Featuring DaBaby
Savage	Megan Thee Stallion
Memories	Maroon 5
Roxanne	Arizona Zervas
Hot Girl Bummer	blackbear
Blueberry Faygo	Lil Mosey
Heartless	The Weeknd
I Hope	Gabby Barrett Featuring Charlie Puth
Dance Monkey	Tones And I
Find My Way	DaBaby
Falling	Trevor Daniel
Nobody But You	Blake Shelton Duet With Gwen Stefani
Heart On Ice	Rod Wave
Ballin'	Mustard & Roddy Ricch
Chasin' You	Morgan Wallen
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Catch	Brett Young
Roses	SAINt JHN
High Fashion	Roddy Ricch Featuring Mustard
Stupid Love	Lady Gaga
Death Bed	Powfu Featuring beabadoobee
10,000 Hours	Dan + Shay & Justin Bieber
BOP	DaBaby
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
More Hearts Than Mine	Ingrid Andress
No Guidance	Chris Brown Featuring Drake
Break My Heart	Dua Lipa
Hard To Forget	Sam Hunt
I Love Me	Demi Lovato
Slow Dance In A Parking Lot	Jordan Davis
Suicidal	YNW Melly & Juice WRLD
Sunday Best	Surfaces
Slide	H.E.R. Featuring YG
Turks	NAV, Gunna & Travis Scott
In Your Eyes	The Weeknd
Homesick	Kane Brown
BEST ON EARTH	Russ & BIA
Does To Me	Luke Combs Featuring Eric Church
I Hope You're Happy Now	Carly Pearce & Lee Brice
You Should Be Sad	Halsey
Godzilla	Eminem Featuring Juice WRLD
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Dior	Pop Smoke
Sum 2 Prove	Lil Baby
Homemade	Jake Owen
Believe It	PARTYNEXTDOOR & Rihanna
Yo Perreo Sola	Bad Bunny
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Supalonely	BENEE Featuring Gus Dapperton
What She Wants Tonight	Luke Bryan
Before You Go	Lewis Capaldi
Fuck The World	Rod Wave
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Tusa	Karol G & Nicki Minaj
Pray 4 Love	Rod Wave
Come Thru	Summer Walker & Usher
After A Few	Travis Denning
P*$$y Fairy (OTW)	Jhene Aiko
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Myron	Lil Uzi Vert
Out West	JACKBOYS Featuring Young Thug
Thief In The Night	Rod Wave
The Other Side	SZA X Justin Timberlake
Tycoon	Future
I Remember	Rod Wave
The Greatest	Rod Wave
Underdog	Alicia Keys
Oprah's Bank Account	Lil Yachty, Drake & DaBaby
Bluebird	Miranda Lambert
B.I.T.C.H.	Megan Thee Stallion
If The World Was Ending	JP Saxe Featuring Julia Michaels
Ribbon In The Sky	Rod Wave
Emotionally Scarred	Lil Baby
Safaera	Bad Bunny, Jowell & Randy & Nengo Flow
That Way	Lil Uzi Vert
The Man	Taylor Swift
Last Time I Say Sorry	Kane Brown & John Legend
After Hours	The Weeknd
Ridin' Roads	Dustin Lynch
P2	Lil Uzi Vert
Here And Now	Kenny Chesney
Yummy	Justin Bieber
Thug Life	Rod Wave
Heatin Up	Lil Baby & Gunna
July	Noah Cyrus & Leon Bridges
What A Man Gotta Do	Jonas Brothers
No Weakness	Rod Wave
Grace	Lil Baby & 42 Dugg
