The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Don't Start Now	Dua Lipa
Circles	Post Malone
Stupid Love	Lady Gaga
Roxanne	Arizona Zervas
Blinding Lights	The Weeknd
Dance Monkey	Tones And I
Memories	Maroon 5
Intentions	Justin Bieber Featuring Quavo
Someone You Loved	Lewis Capaldi
Everything I Wanted	Billie Eilish
Hot Girl Bummer	blackbear
Adore You	Harry Styles
Woah	Lil Baby
Say So	Doja Cat Featuring Nicki Minaj
Heartless	The Weeknd
Heatin Up	Lil Baby & Gunna
The Bones	Maren Morris
10,000 Hours	Dan + Shay & Justin Bieber
That Way	Lil Uzi Vert
Ballin'	Mustard & Roddy Ricch
Commercial	Lil Baby Featuring Lil Uzi Vert
BOP	DaBaby
My Oh My	Camila Cabello Featuring DaBaby
Sum 2 Prove	Lil Baby
Lose You To Love Me	Selena Gomez
Live Off My Closet	Lil Baby Featuring Future
You Should Be Sad	Halsey
High Fashion	Roddy Ricch Featuring Mustard
Emotionally Scarred	Lil Baby
Si Veo A Tu Mama	Bad Bunny
La Dificil	Bad Bunny
Falling	Trevor Daniel
Good As Hell	Lizzo
Vete	Bad Bunny
No Guidance	Chris Brown Featuring Drake
PTSD	G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert
Homesick	Kane Brown
Yummy	Justin Bieber
What A Man Gotta Do	Jonas Brothers
Godzilla	Eminem Featuring Juice WRLD
Senorita	Shawn Mendes & Camila Cabello
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Bad Guy	Billie Eilish
Kinfolks	Sam Hunt
Dior	Pop Smoke
Grace	Lil Baby & 42 Dugg
Ignorantes	Bad Bunny & Sech
One Man Band	Old Dominion
I Hope	Gabby Barrett Featuring Charlie Puth
Blueberry Faygo	Lil Mosey
La Santa	Bad Bunny X Daddy Yankee
Get Ugly	Lil Baby
Heart On Ice	Rod Wave
Slide	H.E.R. Featuring YG
Juicy	Doja Cat & Tyga
No Sucker	Lil Baby & Moneybagg Yo
How	Lil Baby
BEST ON EARTH	Russ & BIA
The Other Side	SZA X Justin Timberlake
Tusa	Karol G & Nicki Minaj
Pero Ya No	Bad Bunny
Forever	Lil Baby Featuring Lil Wayne
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
After Hours	The Weeknd
Nobody But You	Blake Shelton Duet With Gwen Stefani
ON	BTS
Yo Perreo Sola	Bad Bunny
Homemade	Jake Owen
Chasin' You	Morgan Wallen
What She Wants Tonight	Luke Bryan
Lil Top	YoungBoy Never Broke Again
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Slow Dance In A Parking Lot	Jordan Davis
Numbers	A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track
More Hearts Than Mine	Ingrid Andress
Same Thing	Lil Baby
We Back	Jason Aldean
Make Me Want To	Jimmie Allen
Safaera	Bad Bunny, Jowell & Randy & Nengo Flow
Moral Of The Story	Ashe Featuring Niall Horan
I Wish Grandpas Never Died	Riley Green
To Die For	Sam Smith
The Man	Taylor Swift
Know Your Worth	Khalid x Disclosure
Catch	Brett Young
I Hope You're Happy Now	Carly Pearce & Lee Brice
Bichiyal	Bad Bunny & Yaviah
Out West	JACKBOYS Featuring Young Thug
We Should	Lil Baby & Young Thug
Make No Sense	YoungBoy Never Broke Again
Suicidal	YNW Melly & Juice WRLD
Solia	Bad Bunny
Before You Go	Lewis Capaldi
No Time To Die	Billie Eilish
Esta Cabron Ser Yo	Bad Bunny X Anuel AA
Sunday Best	Surfaces
Can't Explain	Lil Baby
P*$$y Fairy (OTW)	Jhene Aiko
