Mood	24kGoldn Featuring iann dior
Positions	Ariana Grande
Blinding Lights	The Weeknd
Holy	Justin Bieber Featuring Chance The Rapper
Dynamite	BTS
Go Crazy	Chris Brown & Young Thug
Laugh Now Cry Later	Drake Featuring Lil Durk
I Hope	Gabby Barrett Featuring Charlie Puth
All I Want For Christmas Is You	Mariah Carey
Levitating	Dua Lipa Featuring DaBaby
Bang!	AJR
Rockin' Around The Christmas Tree	Brenda Lee
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Jingle Bell Rock	Bobby Helms
Kings & Queens	Ava Max
A Holly Jolly Christmas	Burl Ives
Therefore I Am	Billie Eilish
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Dakiti	Bad Bunny & Jhay Cortez
Body	Megan Thee Stallion
What You Know Bout Love	Pop Smoke
Willow	Taylor Swift
Better Together	Luke Combs
Lonely	Justin Bieber & benny blanco
Rockstar	DaBaby Featuring Roddy Ricch
Whoopty	CJ
It's The Most Wonderful Time Of The Year	Andy Williams
Run Rudolph Run	Chuck Berry
Before You Go	Lewis Capaldi
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Afterglow	Ed Sheeran
More Than My Hometown	Morgan Wallen
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Starting Over	Chris Stapleton
WAP	Cardi B Featuring Megan Thee Stallion
I Should Probably Go To Bed	Dan + Shay
Good Days	SZA
Feliz Navidad	Jose Feliciano
Pretty Heart	Parker McCollum
Let It Snow, Let It Snow, Let It Snow	Dean Martin
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Holiday	Lil Nas X
The Christmas Song (Merry Christmas To You)	Nat King Cole
Monster	Shawn Mendes & Justin Bieber
Diamonds	Sam Smith
Watermelon Sugar	Harry Styles
On Me	Lil Baby
Hawai	Maluma & The Weeknd
Underneath The Tree	Kelly Clarkson
You Broke Me First.	Tate McRae
Champagne Night	Lady A
Still Trappin'	Lil Durk & King Von
Big, Big Plans	Chris Lane
Forever After All	Luke Combs
My Ex's Best Friend	Machine Gun Kelly X blackbear
Cry Baby	Megan Thee Stallion Featuring DaBaby
Hole In The Bottle	Kelsea Ballerini
B.S.	Jhene Aiko Featuring H.E.R.
Love You Like I Used To	Russell Dickerson
Good Time	Niko Moon
Backdoor	Lil Durk
7 Summers	Morgan Wallen
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
Without You	The Kid LAROI
Throat Baby (Go Baby)	BRS Kash
Prisoner	Miley Cyrus Featuring Dua Lipa
Tyler Herro	Jack Harlow
You're Mines Still	Yung Bleu Featuring Drake
Hit Different	SZA Featuring Ty Dolla $ign
Redman	Lil Durk
Slay3r	Playboi Carti
Stay Down	Lil Durk, 6LACK & Young Thug
Adderall (Corvette Corvette)	Popp Hunna
Golden	Harry Styles
Beers And Sunshine	Darius Rucker
Back To The Streets	Saweetie Featuring Jhene Aiko
Damage	H.E.R.
Take You Dancing	Jason Derulo
What's Your Country Song	Thomas Rhett
Midnight Sky	Miley Cyrus
Go2DaMoon	Playboi Carti Featuring Kanye West
Ain't Always The Cowboy	Jon Pardi
Put Your Records On	Ritt Momney
Bichota	Karol G
Refugee	Lil Durk
Happy Does	Kenny Chesney
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Take Me Home For Christmas	Dan + Shay
Vamp Anthem	Playboi Carti
Down To One	Luke Bryan
New N3on	Playboi Carti
Death Ain't Easy	Lil Durk
Took Her To The O	King Von
Save Your Tears	The Weeknd & Ariana Grande
So Done	The Kid LAROI
Just The Way	Parmalee x Blanco Brown
Way Out	Jack Harlow Featuring Big Sean
M3tamorphosis	Playboi Carti Featuring Kid Cudi
The Good Ones	Gabby Barrett
