Kind Of A Drag	The Buckinghams
I'm A Believer	The Monkees
Ruby Tuesday	The Rolling Stones
Georgy Girl	The Seekers
(We Ain't Got) Nothin' Yet	Blues Magoos
Love Is Here And Now You're Gone	The Supremes
98.6	Keith
Tell It Like It Is	Aaron Neville
The Beat Goes On	Sonny & Cher
Gimme Some Lovin'	The Spencer Davis Group
Green, Green Grass Of Home	Tom Jones
Stand By Me	Spyder Turner
Then You Can Tell Me Goodbye	The Casinos
I Had Too Much To Dream (Last Night)	The Electric Prunes
Snoopy Vs. The Red Baron	The Royal Guardsmen
Mercy, Mercy, Mercy	Cannonball Adderley
Pretty Ballerina	The Left Banke
Music To Watch Girls By	Bob Crewe Generation
Baby I Need Your Lovin'	Johnny Rivers
It Takes Two	Marvin Gaye & Kim Weston
Go Where You Wanna Go	The 5th Dimension
Good Thing	Paul Revere & The Raiders Featuring Mark Lindsay
It's Now Winters Day	Tommy Roe
My Cup Runneth Over	Ed Ames
You Got To Me	Neil Diamond
Standing In The Shadows Of Love	Four Tops
Sock It To Me-Baby!	Mitch Ryder And The Detroit Wheels
Hello Hello	The Sopwith "Camel"
Bring It Up	James Brown And The Famous Flames
Nashville Cats	The Lovin' Spoonful
Hey, Leroy, Your Mama's Callin' You	Jimmy Castor
Lovin' You	Bobby Darin
The Hunter Gets Captured By The Game	The Marvelettes
So You Want To Be A Rock 'N' Roll Star	The Byrds
Indescribably Blue	Elvis Presley With The Jordanaires and The Imperials Quartet
All	James Darren
Ride, Ride, Ride	Brenda Lee
Pushin' Too Hard	The Seeds
For What It's Worth (Stop, Hey What's That Sound)	Buffalo Springfield
Are You Lonely For Me	Freddy Scott
I've Been Lonely Too Long	The Young Rascals
Wish You Didn't Have To Go	James & Bobby Purify
Epistle To Dippy	Donovan
Niki Hoeky	P.J. Proby
Words Of Love	The Mamas & The Papas
Everybody Needs Somebody To Love	Wilson Pickett
Let's Fall In Love	Peaches & Herb
Knight In Rusty Armour	Peter And Gordon
It May Be Winter Outside (But In My Heart It's Spring)	Felice Taylor
Color My World	Petula Clark
I'll Take Care Of Your Cares	Frankie Laine
Tramp	Lowell Fulsom
Wild Thing	Senator Bobby Featuring Bill Minkin
There's A Kind Of Hush	Herman's Hermits
Lady	Jack Jones
Daddy's Little Girl	Al Martino
Let's Spend The Night Together	The Rolling Stones
California Nights	Lesley Gore
Darling Be Home Soon	The Lovin' Spoonful
The Dis-Advantages Of You	The Brass Ring featuring Phil Bodner
No Fair At All	The Association
Happy Together	The Turtles
Grizzly Bear	The Youngbloods
I'm Gonna Miss You	The Artistics
I Think We're Alone Now	Tommy James And The Shondells
I've Got To Have A Reason	The Dave Clark Five
Spooky	Mike Sharpe
The People In Me	The Music Machine
Pucker Up Buttercup	Jr. Walker & The All Stars
Tiny Bubbles	Don Ho and the Aliis
Sit Down, I Think I Love You	The Mojo Men
Our Winter Love	The Lettermen
There Goes My Everything	Jack Greene
Something Good (Is Going To Happen To You)	Carla Thomas
I Dig You Baby	Jerry Butler
I Wish You Could Be Here	The Cyrkle
Ups And Downs	Paul Revere & The Raiders
Keep A Light In The Window Till I Come Home	Solomon Burke
One More Mountain To Climb	Ronnie Dove
One, Two, Three	Ramsey Lewis
Hung Up In Your Eyes	Brian Hyland
Peek-A-Boo	The New Vaudeville Band
Raise Your Hand	Eddie Floyd
Skate Now	Lou Courtney
Ten Commandments	Prince Buster
Sunrise, Sunset	Roger Williams
Morningtown Ride	The Seekers
The 59th Street Bridge Song (Feelin' Groovy)	Harpers Bizarre
Every Day I Have The Blues	Billy Stewart
Love You So Much	New Colony Six
Feel So Bad	Little Milton
My Special Prayer	Joe Simon
Just Be Sincere	Jackie Wilson
No Milk Today	Herman's Hermits
The Love I Saw In You Was Just A Mirage	Smokey Robinson & The Miracles
Hold On I'm Coming	Chuck Jackson & Maxine Brown
People Like You	Eddie Fisher
Girls Are Out To Get You	The Fascinations
Baby, Help Me	Percy Sledge
Gonna Get Along Without Ya' Now	Trini Lopez
