No Scrubs	TLC
Believe	Cher
Every Morning	Sugar Ray
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Kiss Me	Sixpence None The Richer
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
I Still Believe	Mariah Carey
Angel Of Mine	Monica
C'est La Vie	B*Witched
Slide	Goo Goo Dolls
Stay The Same	Joey McIntyre
All I Have To Give	Backstreet Boys
If You (Lovin' Me)	Silk
When I Close My Eyes	Shanice
All Night Long	Faith Evans Featuring Puff Daddy
Give It To You	Jordan Knight
Please Remember Me	Tim McGraw
Sweet Lady	Tyrese
Angel	Sarah McLachlan
...Baby One More Time	Britney Spears
Fly Away	Lenny Kravitz
Who Dat	JT Money Featuring Sole
What It's Like	Everlast
These Are The Times	Dru Hill
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
We Like To Party!	Vengaboys
Anywhere	112 Featuring Lil'z
My First Night With You	Mya
One More Try	Divine
Back 2 Good	matchbox 20
Ex-Factor	Lauryn Hill
Livin' La Vida Loca	Ricky Martin
Hard Knock Life (Ghetto Anthem)	JAY-Z
You	Jesse Powell
The Animal Song	Savage Garden
The Hardest Thing	98 Degrees
How Forever Feels	Kenny Chesney
Save Tonight	Eagle-Eye Cherry
Have You Ever?	Brandy
I'll Think Of A Reason Later	Lee Ann Womack
Ordinary Life	Chad Brock
(God Must Have Spent) A Little More Time On You	'N Sync
Miami	Will Smith
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Wish You Were Here	Mark Wills
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
That Don't Impress Me Much	Shania Twain
Drive Me Wild	Sawyer Brown
Gone Crazy	Alan Jackson
Praise You	Fatboy Slim
When A Woman's Fed Up	R. Kelly
Girlfriend/Boyfriend	BLACKstreet With Janet
I'm Not Ready	Keith Sweat
What's So Different	Ginuwine
You Won't Ever Be Lonely	Andy Griggs
Blue Monday	Orgy
808	Blaque
Faded Pictures	Case & Joe
Hands Of A Working Man	Ty Herndon
You Got Me	The Roots Featuring Erykah Badu
Fortunate	Maxwell
Georgy Porgy	Eric Benet Featuring Faith Evans
You Were Mine	Dixie Chicks
Anyone Else	Collin Raye
What'd You Come Here For?	Trina & Tamara
Hillbilly Shoes	Montgomery Gentry
Two Teardrops	Steve Wariner
Get Involved	Raphael Saadiq & Q-Tip
I Don't Want To Miss A Thing	Mark Chesnutt
One	Creed
Down So Long	Jewel
I Want It That Way	Backstreet Boys
Anything But Down	Sheryl Crow
Life	K-Ci & JoJo
Special	Garbage
Stand Beside Me	Jo Dee Messina
My Favorite Girl	Dave Hollister
With You	Lila McCann
Everytime I Cry	Terri Clark
Man! I Feel Like A Woman!	Shania Twain
Hate Me Now	Nas Featuring Puff Daddy
Sitting Home	Total
Nann	Trick Daddy Featuring Trina
Heavy	Collective Soul
Holla Holla	Ja Rule
Slam Dunk	Five
Love Ain't Like That	Faith Hill
Why Don't You Get A Job?	The Offspring
Written In The Stars	Elton John & LeAnn Rimes
Almost Doesn't Count	Brandy
Unbelievable	Diamond Rio
I Drive Myself Crazy	'N Sync
My Name Is	Eminem
I Can't Get Over You	Brooks & Dunn
Busy Man	Billy Ray Cyrus
Maria	Blondie
Write This Down	George Strait
My Own Worst Enemy	Lit
Can't Get Enough	Patty Loveless
Crush	Dave Matthews Band
