Together Again	Janet
Truly Madly Deeply	Savage Garden
Nice & Slow	Usher
How Do I Live	LeAnn Rimes
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
Tubthumping	Chumbawamba
I Don't Ever Want To See You Again	Uncle Sam
You Make Me Wanna...	Usher
Show Me Love	Robyn
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
My Body	LSG
A Song For Mama	Boyz II Men
Dangerous	Busta Rhymes
How's It Going To Be	Third Eye Blind
I Don't Want To Wait	Paula Cole
Feel So Good	Mase
No, No, No	Destiny's Child
I Do	Lisa Loeb
We're Not Making Love No More	Dru Hill
Kiss The Rain	Billie Myers
Given To Fly	Pearl Jam
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
Father	LL Cool J
Semi-Charmed Life	Third Eye Blind
I Will Come To You	Hanson
Quit Playing Games (With My Heart)	Backstreet Boys
Heaven	Nu Flavor
Spice Up Your Life	Spice Girls
They Don't Know	Jon B
All Cried Out	Allure Featuring 112
All For You	Sister Hazel
Swing My Way	K.P. & Envyi
Foolish Games/You Were Meant For Me	Jewel
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
What You Want	Mase Featuring Total
Butta Love	Next
32 Flavors	Alana Davis
Sock It 2 Me	Missy "Misdemeanor" Elliott Featuring Da Brat
4 Seasons Of Loneliness	Boyz II Men
What About Us	Total
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Breaking All The Rules	She Moves
No Tengo Dinero	Los Umbrellos
Sunny Came Home	Shawn Colvin
Criminal	Fiona Apple
Going Back To Cali	The Notorious B.I.G.
Building A Mystery	Sarah McLachlan
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
The One I Gave My Heart To	Aaliyah
At The Beginning	Richard Marx & Donna Lewis
I Know Where It's At	All Saints
The Memory Remains	Metallica
Lollipop (Candyman)	Aqua
Don't Be Stupid (You Know I Love You)	Shania Twain
If I Could Teach The World	Bone Thugs-N-Harmony
Just Clownin'	WC From Westside Connection
Burn	Militia
So Help Me Girl	Gary Barlow
Say You'll Stay	KAI
Everything	Mary J. Blige
They Like It Slow	H-Town
I'm Not A Player	Big Punisher
Roxanne `97 - Puff Daddy Remix	Sting & The Police
Ain't That Just The Way	Lutricia McNeal
What If	Reba McEntire
Sugar Cane	Spacemonkeyz
So Good	Davina
Tuck Me In	Kimberly Scott
What If I Said	Anita Cochran (Duet With Steve Wariner)
One More Night	Amber
You're Not Alone	Olive
Brian Wilson	Barenaked Ladies
I'm Afraid Of Americans	David Bowie
Still Waters (Run Deep)	Bee Gees
Young, Sad And Blue	Lysette
You Know My Steez	Gang Starr
L-L-Lies	Diana King
I Wonder If Heaven Got A Ghetto	2Pac
4, 3, 2, 1	LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P
The City Is Mine	Jay-Z Featuring BLACKstreet
Valentine	Martina McBride With Jim Brickman
Love Gets Me Every Time	Shania Twain
Last Night's Letter	K-Ci & JoJo
Man Behind The Music	Queen Pen Featuring Teddy Riley
Don't Stop The Music	Playa
Don't Go	Le Click Featuring Kayo
Tubthumping	Chucklebutt
Tha Hop	Kinsu
Jealousy	Kim Sanders
I Can Love You Better	Dixie Chicks
Spin Spin Sugar	Sneaker Pimps
In Harm's Way	BeBe Winans
Mourn You Til I Join You	Naughty By Nature
Smack My Bitch Up	The Prodigy
Much Better	Club 69 Featuring Suzanne Palmer
Too Gone, Too Long	En Vogue
Doin' Time	Sublime
Something That We Do	Clint Black
The Rest Of Mine	Trace Adkins
Up & Down	Billy Lawrence
