Circles	Post Malone
Someone You Loved	Lewis Capaldi
Good As Hell	Lizzo
Memories	Maroon 5
Lose You To Love Me	Selena Gomez
Senorita	Shawn Mendes & Camila Cabello
No Guidance	Chris Brown Featuring Drake
Everything I Wanted	Billie Eilish
10,000 Hours	Dan + Shay & Justin Bieber
Truth Hurts	Lizzo
Panini	Lil Nas X
Roxanne	Arizona Zervas
Trampoline	SHAED
HIGHEST IN THE ROOM	Travis Scott
Lover	Taylor Swift
Woah	Lil Baby
Bad Guy	Billie Eilish
BOP	DaBaby
Dance Monkey	Tones And I
Ballin'	Mustard & Roddy Ricch
Hot	Young Thug Featuring Gunna
One Man Band	Old Dominion
Beautiful People	Ed Sheeran Featuring Khalid
Only Human	Jonas Brothers
Even Though I'm Leaving	Luke Combs
Ran$om	Lil Tecca
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Bandit	Juice WRLD & YoungBoy Never Broke Again
On Chill	Wale Featuring Jeremih
I Don't Care	Ed Sheeran & Justin Bieber
All I Want For Christmas Is You	Mariah Carey
Talk	Khalid
Goodbyes	Post Malone Featuring Young Thug
Baby	Lil Baby & DaBaby
How Do You Sleep?	Sam Smith
Playing Games	Summer Walker
Heat	Chris Brown Featuring Gunna
Sucker	Jonas Brothers
Graveyard	Halsey
Suge	DaBaby
Hot Girl Bummer	blackbear
Don't Start Now	Dua Lipa
Time	NF
Jerry Sprunger	Tory Lanez & T-Pain
One Thing Right	Marshmello & Kane Brown
Money In The Grave	Drake Featuring Rick Ross
What If I Never Get Over You	Lady Antebellum
Dancing With A Stranger	Sam Smith & Normani
Reply	A Boogie Wit da Hoodie Featuring Lil Uzi Vert
The Bones	Maren Morris
Juicy	Doja Cat & Tyga
Follow God	Kanye West
Remember You Young	Thomas Rhett
Heart On Ice	Rod Wave
None Of Your Concern	Jhene Aiko Featuring Big Sean
223's	YNW Melly & 9lokknine
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Camelot	NLE Choppa
VIBEZ	DaBaby
Watermelon Sugar	Harry Styles
Prayed For You	Matt Stell
Kinfolks	Sam Hunt
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Baby Sitter	DaBaby Featuring Offset
We Were	Keith Urban
The Take	Tory Lanez Featuring Chris Brown
Heartache Medication	Jon Pardi
Enemies	Post Malone Featuring DaBaby
Hate Me	Ellie Goulding & Juice WRLD
Ridin' Roads	Dustin Lynch
Nice To Meet Ya	Niall Horan
Liar	Camila Cabello
Every Little Thing	Russell Dickerson
Tip Of My Tongue	Kenny Chesney
Falling	Trevor Daniel
All The Good Girls Go To Hell	Billie Eilish
Lights Up	Harry Styles
Make No Sense	YoungBoy Never Broke Again
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
I Don't Know About You	Chris Lane
Lonely Child	YoungBoy Never Broke Again
Stuck In A Dream	Lil Mosey x Gunna
homecoming queen?	Kelsea Ballerini
Good Vibes	Chris Janson
Slow Dancing In The Dark	Joji
La Cancion	J Balvin & Bad Bunny
Beauty In The Benz	Tory Lanez Featuring Snoop Dogg
Easy	DaniLeigh Featuring Chris Brown
Up All Night	Khalid
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Lalala	Y2K & bbno$
Tusa	Karol G & Nicki Minaj
We Back	Jason Aldean
Self Control	YoungBoy Never Broke Again
Homesick	Kane Brown
Hot Shower	Chance The Rapper Featuring MadeinTYO & DaBaby
Death	Trippie Redd Featuring DaBaby
Yellow Hearts	Ant Saunders
Hell Right	Blake Shelton Featuring Trace Adkins
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
