Cheerleader	OMI
Can't Feel My Face	The Weeknd
Watch Me	Silento
Bad Blood	Taylor Swift Featuring Kendrick Lamar
See You Again	Wiz Khalifa Featuring Charlie Puth
Lean On	Major Lazer & DJ Snake Featuring MO
Trap Queen	Fetty Wap
My Way	Fetty Wap Featuring Monty
Fight Song	Rachel Platten
Shut Up And Dance	WALK THE MOON
The Hills	The Weeknd
Where Are U Now	Skrillex & Diplo With Justin Bieber
Good For You	Selena Gomez Featuring A$AP Rocky
Honey, I'm Good.	Andy Grammer
Worth It	Fifth Harmony Featuring Kid Ink
679	Fetty Wap Featuring Remy Boyz
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Cool For The Summer	Demi Lovato
Photograph	Ed Sheeran
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
Want To Want Me	Jason Derulo
Classic Man	Jidenna Featuring Roman GianArthur
Sugar	Maroon 5
Uma Thurman	Fall Out Boy
Flex (Ooh Ooh Ooh)	Rich Homie Quan
Thinking Out Loud	Ed Sheeran
Kick The Dust Up	Luke Bryan
Earned It (Fifty Shades Of Grey)	The Weeknd
B**** Better Have My Money	Rihanna
House Party	Sam Hunt
Love Me Like You Do	Ellie Goulding
You Know You Like It	DJ Snake & AlunaGeorge
Talking Body	Tove Lo
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Take Your Time	Sam Hunt
Nasty Freestyle	T-Wayne
Slow Motion	Trey Songz
R.I.C.O.	Meek Mill Featuring Drake
Stitches	Shawn Mendes
Girl Crush	Little Big Town
Crash And Burn	Thomas Rhett
Elastic Heart	Sia
Be Real	Kid Ink Featuring DeJ Loaf
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
Renegades	X Ambassadors
Buy Me A Boat	Chris Janson
Loving You Easy	Zac Brown Band
Shake It Off	Taylor Swift
One Hell Of An Amen	Brantley Gilbert
Like A Wrecking Ball	Eric Church
This Could Be Us	Rae Sremmurd
She's Kinda Hot	5 Seconds Of Summer
Kiss You In The Morning	Michael Ray
John Cougar, John Deere, John 3:16	Keith Urban
Fun	Pitbull Featuring Chris Brown
Planez	Jeremih Featuring J. Cole
Tonight Looks Good On You	Jason Aldean
Locked Away	R. City Featuring Adam Levine
Young & Crazy	Frankie Ballard
The Night Is Still Young	Nicki Minaj
No Sleeep	Janet Featuring J. Cole
Hell Of A Night	Dustin Lynch
Sangria	Blake Shelton
Lose My Mind	Brett Eldredge
Ghost Town	Adam Lambert
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Love You Like That	Canaan Smith
Wet Dreamz	J. Cole
Commas	Future
Should've Been Us	Tori Kelly
This Summer's Gonna Hurt...	Maroon 5
Real Life	Jake Owen
Do It Again	Pia Mia Featuring Chris Brown & Tyga
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Ex's & Oh's	Elle King
Fire N Gold	Bea Miller
Burning House	Cam
Fly	Maddie & Tae
Where Ya At	Future Featuring Drake
How Deep Is Your Love	Calvin Harris & Disciples
Good Thing	Sage The Gemini Featuring Nick Jonas
Beautiful Now	Zedd Featuring Jon Bellion
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Crushin' It	Brad Paisley
Love Me Like You Mean It	Kelsea Ballerini
The Matrimony	Wale Featuring Usher
Break Up With Him	Old Dominion
Cheyenne	Jason Derulo
Save It For A Rainy Day	Kenny Chesney
Bright	Echosmith
I'm Comin' Over	Chris Young
Alright	Kendrick Lamar
Anything Goes	Florida Georgia Line
Kings Never Die	Eminem Featuring Gwen Stefani
Yoga	Janelle Monae & Jidenna
Back It Up	Prince Royce Featuring Jennifer Lopez & Pitbull
Like I Can	Sam Smith
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
