Greatest Love Of All	Whitney Houston
Live To Tell	Madonna
On My Own	Patti LaBelle & Michael McDonald
If You Leave	Orchestral Manoeuvres In The Dark
I Can't Wait	Nu Shooz
All I Need Is A Miracle	Mike + The Mechanics
Something About You	Level 42
Is It Love	Mr. Mister
Be Good To Yourself	Journey
What Have You Done For Me Lately	Janet Jackson
Crush On You	The Jets
Move Away	Culture Club
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
West End Girls	Pet Shop Boys
A Different Corner	George Michael
Bad Boy	Miami Sound Machine
Nothin' At All	Heart
Take Me Home	Phil Collins
No One Is To Blame	Howard Jones
Your Love	The Outfield
Why Can't This Be Love	Van Halen
Holding Back The Years	Simply Red
I Wanna Be A Cowboy	Boys Don't Cry
Addicted To Love	Robert Palmer
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Rain On The Scarecrow	John Mellencamp
Mothers Talk	Tears For Fears
All The Things She Said	Simple Minds
Vienna Calling	Falco
Tomorrow Doesn't Matter Tonight	Starship
Tuff Enuff	The Fabulous Thunderbirds
Your Wildest Dreams	The Moody Blues
Like No Other Night	Thirty Eight Special
Never As Good As The First Time	Sade
Rough Boy	ZZ Top
Kiss	Prince And The Revolution
The Love Parade	The Dream Academy
Like A Rock	Bob Seger
Sledgehammer	Peter Gabriel
When The Heart Rules The Mind	GTR
Pretty In Pink	Psychedelic Furs
Nasty	Janet Jackson
Danger Zone	Kenny Loggins
Out Of Mind Out Of Sight	Models
Invisible Touch	Genesis
If She Knew What She Wants	The Bangles
One Hit (To The Body)	The Rolling Stones
Dreams	Van Halen
Mountains	Prince And The Revolution
Digging Your Scene	The Blow Monkeys
Where Do The Children Go	Hooters
American Storm	Bob Seger
Harlem Shuffle	The Rolling Stones
Love Touch (Theme From "Legal Eagles")	Rod Stewart
The Heat Of Heat	Patti Austin
I Must Be Dreaming	Giuffria
Listen Like Thieves	INXS
Don Quichotte	Magazine 60
Mad About You	Belinda Carlisle
Has Anyone Ever Written Anything For You	Stevie Nicks
The Finest	The S.O.S. Band
If Your Heart Isn't In It	Atlantic Starr
Manic Monday	The Bangles
Secret Separation	The Fixx
Opportunities (Let's Make Lots Of Money)	Pet Shop Boys
Let's Go All The Way	Sly Fox
Living On Video	Trans-X
We Don't Have To Take Our Clothes Off	Jermaine Stewart
You Should Be Mine (The Woo Woo Song)	Jeffrey Osborne
Say It, Say It	E.G. Daily
Chain Reaction	Diana Ross
Fire With Fire	Wild Blue
Stick Around	Julian Lennon
One Step Closer To You	Gavin Christopher
Peter Gunn	The Art Of Noise Featuring Duane Eddy
Headed For The Future	Neil Diamond
Lead A Double Life	Loverboy
Mutual Surrender (What A Wonderful World)	Bourgeois Tagg
Right Between The Eyes	Wax
Feel It Again	Honeymoon Suite
Tender Love	Force M.D.'s
Female Intuition	Mai Tai
Divided Hearts	Kim Carnes
I Want You	Animotion
Take It Easy	Andy Taylor
What You Need	INXS
Restless	Starpoint
Rock Me Amadeus	Falco
Saturday Love	Cherrelle With Alexander O'Neal
Under The Influence	Vanity
Vanity Kills	ABC
Innocent Eyes	Graham Nash
Secret Lovers	Atlantic Starr
Karen	B.E. Taylor Group
So Far Away	Dire Straits
I Still Want You	The Del Fuegos
These Dreams	Heart
A Little Bit Of Love (Is All It Takes)	New Edition
Hands Across America	Voices Of America
I Think It's Love	Jermaine Jackson
