Jump	Van Halen
Somebody's Watching Me	Rockwell
Girls Just Want To Have Fun	Cyndi Lauper
Footloose	Kenny Loggins
Here Comes The Rain Again	Eurythmics
I Want A New Drug	Huey Lewis & The News
99 Luftballons	Nena
Automatic	The Pointer Sisters
Adult Education	Daryl Hall John Oates
Got A Hold On Me	Christine McVie
Thriller	Michael Jackson
Against All Odds (Take A Look At Me Now)	Phil Collins
The Language Of Love	Dan Fogelberg
Miss Me Blind	Culture Club
Hold Me Now	Thompson Twins
New Moon On Monday	Duran Duran
Hello	Lionel Richie
Eat It	"Weird Al" Yankovic
Nobody Told Me	John Lennon
Back Where You Belong	Thirty Eight Special
Give It Up	KC
Runner	Manfred Mann's Earth Band
Wrapped Around Your Finger	The Police
Karma Chameleon	Culture Club
Radio Ga Ga	Queen
Let's Stay Together	Tina Turner
Come Back And Stay	Paul Young
New Song	Howard Jones
Girls	Dwight Twilley
They Don't Know	Tracey Ullman
Livin' In Desperate Times	Olivia Newton-John
Let The Music Play	Shannon
Love Somebody	Rick Springfield
Tonight	Kool & The Gang
Don't Answer Me	The Alan Parsons Project
Red Red Wine	UB40
Leave It	Yes
Don't Let Go	Wang Chung
You Might Think	The Cars
The Kid's American	Matthew Wilder
A Fine Fine Day	Tony Carey
Strip	Adam Ant
One In A Million	The Romantics
The Politics Of Dancing	Re-flex
Almost Over You	Sheena Easton
Rebel Yell	Billy Idol
Holding Out For A Hero	Bonnie Tyler
Head Over Heels	Go-Go's
To All The Girls I've Loved Before	Julio Iglesias And Willie Nelson
Runaway	Bon Jovi
An Innocent Man	Billy Joel
No More Words	Berlin
Joanna	Kool & The Gang
Borderline	Madonna
The Authority Song	John Cougar Mellencamp
Show Me	Pretenders
We're Going All The Way	Jeffrey Osborne
This Woman	Kenny Rogers
The Longest Time	Billy Joel
Yah Mo B There	James Ingram With Michael McDonald
Joystick	Dazz Band
Hyperactive	Thomas Dolby
Illegal Alien	Genesis
Sister Christian	Night Ranger
White Horse	Laid Back
Club Michelle	Eddie Money
Walking In My Sleep	Roger Daltrey
That's All	Genesis
Owner Of A Lonely Heart	Yes
Dancing In The Sheets	Shalamar
Breakdance	Irene Cara
The Sun And The Rain	Madness
Without You	David Bowie
Baby Come Back	Billy Rankin
Catch Me I'm Falling	Real Life
Running With The Night	Lionel Richie
Looks That Kill	Motley Crue
Love Me In A Special Way	Debarge
It's My Life	Talk Talk
Hunters Of The Night	Mr. Mister
Give	Misiing Persons
Talking In Your Sleep	The Romantics
Rock You Like A Hurricane	Scorpions
When The Lady Smiles	Golden Earring
Perfect Combination	Stacy Lattisaw & Johnny Gill
No Parking (On The Dance Floor)	Midnight Star
If Only You Knew	Patti LaBelle
Do You Love Me	Andy Fraser
Encore	Cheryl Lynn
Taxi	J. Blackfoot
Break My Stride	Matthew Wilder
Make My Day	T.G. Sheppard With Clint Eastwood
I Guess That's Why They Call It The Blues	Elton John
Think Of Laura	Christopher Cross
Love Has Finally Come At Last	Bobby Womack & Patti LaBelle
You're Looking Like Love To Me	Peabo Bryson & Roberta Flack
She Was Hot	The Rolling Stones
So Bad	Paul McCartney
Pink Houses	John Mellencamp
Bang Your Head (Metal Health)	Quiet Riot
