Emotions	Mariah Carey
Good Vibrations	Marky Mark & The Funky Bunch Featuring Loleatta Holloway
Do Anything	Natural Selection
I Adore Mi Amor	Color Me Badd
Romantic	Karyn White
Something To Talk About	Bonnie Raitt
Hole Hearted	Extreme
Love Of A Lifetime	Firehouse
Motownphilly	Boyz II Men
Everybody Plays The Fool	Aaron Neville
Love. . .Thy Will Be Done	Martika
Can't Stop This Thing We Started	Bryan Adams
Real Real Real	Jesus Jones
Shiny Happy People	R.E.M.
Now That We Found Love	Heavy D & The Boyz
Enter Sandman	Metallica
Cream	Prince And The N.P.G.
Don't Want To Be A Fool	Luther Vandross
The One And Only	Chesney Hawkes
O.P.P.	Naughty By Nature
Gett Off	Prince And The N.P.G.
Running Back To You	Vanessa Williams
(Everything I Do) I Do It For You	Bryan Adams
Kiss Them For Me	Siouxsie & The Banshees
Time, Love And Tenderness	Michael Bolton
Things That Make You Go Hmmmm. . .	C+C Music Factory
Hey Donna	Rhythm Syndicate
Don't Cry	Guns N' Roses
Too Many Walls	Cathy Dennis
With You	Tony Terry
Walk Through Fire	Bad Company
Set The Night To Music	Roberta Flack With Maxi Priest
The Real Love	Bob Seger & The Silver Bullet Band
I Wonder Why	Curtis Stigers
Let's Talk About Sex	Salt-N-Pepa
The Promise Of A New Day	Paula Abdul
Wind Of Change	Scorpions
Power Windows	Billy Falcon
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
That's What Love Is For	Amy Grant
After The Summer's Gone	PC Quest
I Can't Wait Another Minute	Hi-Five
Just Want To Hold You	Jasmine Guy
When A Man Loves A Woman	Michael Bolton
Straight To Your Heart	Bad English
The Truth	Tami Show
My Heart Belongs To You	Russ Irwin
The Motown Song	Rod Stewart
Everyotherday	Or-N-More (Featuring Father M.C.)
The Devil Came Up To Michigan	K.M.C. KRU
I'll Be There	The Escape Club
Crazy	Seal
3 A.M. Eternal	The KLF
Get A Leg Up	John Mellencamp
Never Stop	The Brand New Heavies Featuring N'Dea Davenport
Sometimes (It's A Bitch)	Stevie Nicks
Lies	EMF
Heaven In The Back Seat	Eddie Money
Something Got Me Started	Simply Red
For You	Michael W. Smith
She's Gone (Lady)	Steelheart
Rush	Big Audio
Unforgettable	Natalie Cole
Primal Scream	Motley Crue
Whispers	Corina
Street Of Dreams	Nia Peeples
A Day In My Life (Without You)	Lisette Melendez
Groovy Train	The Farm
Top Of The World	Van Halen
Every Heartbeat	Amy Grant
Mind Playing Tricks On Me	Geto Boys
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
I'm Not Your Puppet	Hi-C
Tonite	DJ Quik
Finally	CeCe Peniston
Face The Music	RTZ
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Superman's Song	Crash Test Dummies
Ballad Of Youth	Richie Sambora
You Could Be Mine	Guns N' Roses
Louder Than Love	TKA
The Sound Of Your Voice	38 Special
Why Can't You Come Home	Ex-Girlfriend
Fading Like A Flower (Every Time You Leave)	Roxette
Live For Loving You	Gloria Estefan
Good Time	Ziggy Marley And The Melody Makers
You're The Story Of My Life	Desmond Child
Low Rider (On The Boulevard)	Latin Alliance Featuring War
Till Somebody Loves You	Henry Lee Summer
All I Need Is You	Blue Train
It Ain't Over 'til It's Over	Lenny Kravitz
Chorus	Erasure
This Beat Is Hot	B.G. The Prince Of Rap
Cool As Ice (Everybody Get Loose)	Vanilla Ice
If You're Serious	Riff
Skat Strut	MC Skat Kat & The Stray Mob
Summertime	D.J. Jazzy Jeff & The Fresh Prince
It Hit Me Like A Hammer	Huey Lewis & The News
Save Me	Lisa Fischer
Got A Love For You	Jomanda
