Shadow Dancing	Andy Gibb
Baker Street	Gerry Rafferty
It's A Heartache	Bonnie Tyler
You're The One That I Want	John Travolta & Olivia Newton-John
Take A Chance On Me	ABBA
You Belong To Me	Carly Simon
Use Ta Be My Girl	The O'Jays
Love Is Like Oxygen	Sweet
Still The Same	Bob Seger & The Silver Bullet Band
Dance With Me	Peter Brown With Betty Wright
The Groove Line	Heatwave
Two Out Of Three Ain't Bad	Meat Loaf
Because The Night	Patti Smith Group
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
Feels So Good	Chuck Mangione
Every Kinda People	Robert Palmer
Bluer Than Blue	Michael Johnson
You're The Love	Seals & Crofts
Even Now	Barry Manilow
Last Dance	Donna Summer
On Broadway	George Benson
I Was Only Joking	Rod Stewart
Follow You Follow Me	Genesis
Oh What A Night For Dancing	Barry White
Miss You	The Rolling Stones
With A Little Luck	Wings
Wonderful Tonight	Eric Clapton
Almost Summer	Celebration featuring Mike Love
I Can't Stand The Rain	Eruption
Only The Good Die Young	Billy Joel
Grease	Frankie Valli
Deacon Blues	Steely Dan
Heartless	Heart
Thank God It's Friday	Love And Kisses
Runaway	Jefferson Starship
It's The Same Old Song	KC And The Sunshine Band
Stone Blue	Foghat
Dance Across The Floor	Jimmy "Bo" Horne
Warm Ride	Rare Earth
If Ever I See You Again	Roberta Flack
Chattanooga Choo Choo	Tuxedo Junction
FM (No Static At All)	Steely Dan
My Angel Baby	Toby Beau
Love Will Find A Way	Pablo Cruise
Hot Love, Cold World	Bob Welch
Magnet And Steel	Walter Egan
King Tut	Steve Martin And The Toot Uncommons
Copacabana (at The Copa)	Barry Manilow
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
Life's Been Good	Joe Walsh
Songbird	Barbra Streisand
Can We Still Be Friends	Todd Rundgren
Stay/The Load-Out	Jackson Browne
I Don't Wanna Go	Joey Travolta
Will You Still Love Me Tomorrow	Dave Mason
Rivers Of Babylon	Boney M.
That Once In A Lifetime	Demis Roussos
You Can't Dance	England Dan & John Ford Coley
Cheeseburger In Paradise	Jimmy Buffett
Prove It All Night	Bruce Springsteen
Ca Plane Pour Moi	Plastic Bertrand
So Hard Livin' Without You	Airwaves
Three Times A Lady	Commodores
Portrait (He Knew)	Kansas
Love Or Something Like It	Kenny Rogers
Baby Hold On	Eddie Money
Trans-europe Express	Kraftwerk
Hot Child In The City	Nick Gilder
This Night Won't Last Forever	Bill LaBounty
Stuff Like That	Quincy Jones
I've Had Enough	Wings
The Closer I Get To You	Roberta Flack With Donny Hathaway
You're A Part Of Me	Gene Cotton With Kim Carnes
God Knows/Baby, I'm Yours	Debby Boone
I Need To Know	Tom Petty And The Heartbreakers
Never Let Her Slip Away	Andrew Gold
Shame	Evelyn "Champagne" King
He's So Fine	Jane Olivor
Mr. Blue Sky	Electric Light Orchestra
Just What I Needed	The Cars
Roll With The Changes	REO Speedwagon
Boogie Oogie Oogie	A Taste Of Honey
Two Tickets To Paradise	Eddie Money
Georgia On My Mind	Willie Nelson
Daylight And Darkness	Smokey Robinson
Macho Man	Village People
On The Wrong Track	Kevin Lamb
Dream Lover	The Marshall Tucker Band
You Don't Love Me Anymore	Eddie Rabbitt
Shaker Song	Spyro Gyra
New Orleans Ladies	Louisiana's LeRoux
Disco Inferno	The Trammps
This Time I'm In It For Love	Player
Imaginary Lover	Atlanta Rhythm Section
If I Can't Have You	Yvonne Elliman
Darlin'	Paul Davis Feat. Susan Collins
Under The Boardwalk	Billy Joe Royal
Everybody Dance	Chic
Over The Rainbow	Gary Tanner
Midnight Light	LeBlanc & Carr
