Crocodile Rock	Elton John
You're So Vain	Carly Simon
Oh, Babe, What Would You Say?	Hurricane Smith
Dueling Banjos	Deliverance/Eric Weissberg & Steve Mandell
Killing Me Softly With His Song	Roberta Flack
Do It Again	Steely Dan
Could It Be I'm Falling In Love	The Spinners
Don't Expect Me To Be Your Friend	Lobo
Why Can't We Live Together	Timmy Thomas
Rocky Mountain High	John Denver
The World Is A Ghetto	War
Superstition	Stevie Wonder
Last Song	Edward Bear
Dancing In The Moonlight	King Harvest
Love Train	The O'Jays
Daddy's Home	Jermaine Jackson
Trouble Man	Marvin Gaye
Jambalaya (On The Bayou)	The Blue Ridge Rangers
The Cover Of "Rolling Stone"	Dr. Hook And The Medicine Show
Love Jones	Brighter Side Of Darkness
Your Mama Don't Dance	Kenny Loggins & Jim Messina
Do You Want To Dance?	Bette Midler
Dreidel	Don McLean
Hi, Hi, Hi	Wings
Also Sprach Zarathustra (2001)	Deodato
You Turn Me On, I'm A Radio	Joni Mitchell
Reelin' & Rockin'	Chuck Berry
I'm Just A Singer (In A Rock And Roll Band)	The Moody Blues
Peaceful Easy Feeling	Eagles
I Got Ants In My Pants (and i want to dance) (Part 1)	James Brown
Me And Mrs. Jones	Billy Paul
Living Together, Growing Together	The 5th Dimension
Harry Hippie	Bobby Womack & Peace
Big City Miss Ruth Ann	Gallery
Danny's Song	Anne Murray
Aubrey	Bread
Jesus Is Just Alright	The Doobie Brothers
Hummingbird	Seals & Crofts
Superfly	Curtis Mayfield
Neither One Of Us (Wants To Be The First To Say Goodbye)	Gladys Knight And The Pips
Give Me Your Love	Barbara Mason
Space Oddity	David Bowie
Don't Cross The River	America
Separate Ways	Elvis Presley
Good Morning Heartache	Diana Ross
Ain't No Woman (Like The One I've Got)	Four Tops
Dead Skunk	Loudon Wainwright III
I'm Never Gonna Be Alone Anymore	Cornelius Brothers & Sister Rose
Soul Song	Joe Stampley
Stir It Up	Johnny Nash
You've Got To Take It (If You Want It)	The Main Ingredient
Rosalie	Sam Neely
Break Up To Make Up	The Stylistics
Today I Started Loving You Again	Bettye Swann
Kissing My Love	Bill Withers
Pieces Of April	Three Dog Night
Hello Hurray	Alice Cooper
Control Of Me	Les Emmerson
Tweedlee Dee	Little Jimmy Osmond
The Message	Cymande
Peaceful	Helen Reddy
One Less Set Of Footsteps	Jim Croce
Master Of Eyes (The Deepness Of Your Eyes)	Aretha Franklin
Daytime Night-Time	Keith Hampshire
Keep On Singing	Austin Roberts
Love Is What You Make It	The Grass Roots
Palace Guard	Rick Nelson And The Stone Canyon Band
Boogie Woogie Man	Paul Davis
A Letter To Myself	The Chi-lites
Happy	Bobby Darin
Hot Wire	Al Green
Follow Your Daughter Home	The Guess Who
Call Me (Come Back Home)	Al Green
How Can I Tell You	Travis Wammack
Lost Horizon	Shawn Phillips
Cook With Honey	Judy Collins
Little Willy	The Sweet
Slow Motion (Part 1)	Johnny Williams
Bitter Bad	Melanie
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
Do It In The Name Of Love	Candi Staton
Magic Woman Touch	The Hollies
Don't Burn Me	Paul Kelly
Boo, Boo, Don't 'Cha Be Blue	Tommy James
Pardon Me Sir	Joe Cocker
Step By Step	Joe Simon
Dream Me Home	Mac Davis
Daisy A Day	Jud Strunk
One Man Band (Plays All Alone)	Ronnie Dyson
The Night The Lights Went Out In Georgia	Vicki Lawrence
Breaking Up Somebody's Home	Albert King
Walk On The Wild Side	Lou Reed
Wish That I Could Talk To You	The Sylvers
Somebody Loves You	The Whispers
Good Morning	Michael Redway
Bell Bottom Blues	Eric Clapton
Tossin' And Turnin'	Bunny Sigler
Love Music	The Raiders
Wildflower	Skylark
She's Got To Be A Saint	Ray Price
