Bridge Over Troubled Water	Simon & Garfunkel
The Rapper	The Jaggerz
Give Me Just A Little More Time	Chairman Of The Board
Instant Karma (We All Shine On)	John Ono Lennon
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Let It Be	The Beatles
He Ain't Heavy, He's My Brother	The Hollies
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Evil Ways	Santana
Didn't I (Blow Your Mind This Time)	The Delfonics
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
Ma Belle Amie	The Tee Set
Spirit In The Sky	Norman Greenbaum
ABC	Jackson 5
House Of The Rising Sun	Frijid Pink
Kentucky Rain	Elvis Presley
Celebrate	Three Dog Night
Easy Come, Easy Go	Bobby Sherman
Call Me/Son Of A Preacher Man	Aretha Franklin
Psychedelic Shack	The Temptations
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star	Sly & The Family Stone
Hey There Lonely Girl	Eddie Holman
Come And Get It	Badfinger
Gotta Hold On To This Feeling	Jr. Walker & The All Stars
Up The Ladder To The Roof	The Supremes
The Bells	The Originals
Raindrops Keep Fallin' On My Head	B.J. Thomas
Do The Funky Chicken	Rufus Thomas
No Time	The Guess Who
The Thrill Is Gone	B.B. King
Oh Me Oh My (I'm A Fool For You Baby)	Lulu
It's A New Day (Part 1) & (Part 2)	James Brown
I Want You Back	Jackson 5
All I Have To Do Is Dream	Bobbie Gentry & Glen Campbell
Something's Burning	Kenny Rogers & The First Edition
Arizona	Mark Lindsay
Never Had A Dream Come True	Stevie Wonder
Love Or Let Me Be Lonely	The Friends Of Distinction
Shilo	Neil Diamond
Jennifer Tomkins	Street People
You're The One-Part II	Little Sister
Long Lonesome Highway	Michael Parks
Take A Look Around	Smith
Walking Through The Country	The Grass Roots
Gotta Get Back To You	Tommy James And The Shondells
American Woman/No Sugar Tonight	The Guess Who
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
My Elusive Dreams	Bobby Vinton
If I Never Knew Your Name	Vic Dana
Let's Give Adam And Eve Another Chance	Gary Puckett And The Union Gap
Temma Harbour	Mary Hopkin
Stir It Up And Serve It	Tommy Roe
Who's Your Baby?	The Archies
Can't Help Falling In Love	Al Martino
Until It's Time For You To Go	Neil Diamond
Oh Well - Pt. I	Fleetwood Mac
Rag Mama Rag	The Band
Good Guys Only Win In The Movies	Mel And Tim
Je T'Aime...Moi Non Plus	Jane Birkin Serge Gainsbourg
Reflections Of My Life	The Marmalade
To The Other Woman (I'm The Other Woman)	Doris Duke
California Girl	Eddie Floyd
Welfare Cadilac	Guy Drake
A Change Is Gonna Come & People Gotta Be Free/The Declaration	The 5th Dimension
Easy To Be Free	Rick Nelson
Ticket To Ride	Carpenters
Gonna Give Her All The Love I've Got	Marvin Gaye
Victoria	The Kinks
1984	Spirit
The Cat Walk	The Village Soul Choir
Come Together	Ike & Tina Turner & The Ikettes
Turn Back The Hands Of Time	Tyrone Davis
Mighty Joe	The Shocking Blue
Add Some Music To Your Day	The Beach Boys
Heartbreaker	Grand Funk Railroad
Living Loving Maid (She's Just A Woman)	Led Zeppelin
Get Ready	Rare Earth
Silly, Silly, Fool	Dusty Springfield
Run Sally Run	The Cuff Links
My Woman, My Woman, My Wife	Marty Robbins
For The Love Of Him	Bobbi Martin
Little Green Bag	George Baker Selection
Brighton Hill	Jackie DeShannon
I Could Write A Book	Jerry Butler
Dear Prudence	The 5 Stairsteps
Funky Drummer (Part 1)	James Brown
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Nothing Succeeds Like Success	Bill Deal & The Rhondels
I Would Be In Love (Anyway)	Frank Sinatra
Come Into My Life	Jimmy Cliff
Funky Chicken (Part 1)	Willie Henderson And The Soul Explosions
You Keep Tightening Up On Me	The Box Tops
Hitchin' A Ride	Vanity Fare
Is Anybody Goin' To San Antone	Charley Pride
Children	Joe South
You've Made Me So Very Happy	Lou Rawls
The Ghetto-Part 1	Donny Hathaway
Laughin And Clownin	Ray Charles
Time To Get It Together	Country Coalition
I Got A Thing, You Got A Thing, Everybody's Got A Thing	Funkadelic
