Closer	The Chainsmokers Featuring Halsey
Heathens	twenty one pilots
Cold Water	Major Lazer Featuring Justin Bieber & MO
Cheap Thrills	Sia Featuring Sean Paul
Don't Let Me Down	The Chainsmokers Featuring Daya
Let Me Love You	DJ Snake Featuring Justin Bieber
This Is What You Came For	Calvin Harris Featuring Rihanna
Treat You Better	Shawn Mendes
Ride	twenty one pilots
Send My Love (To Your New Lover)	Adele
Needed Me	Rihanna
Broccoli	D.R.A.M. Featuring Lil Yachty
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
One Dance	Drake Featuring WizKid & Kyla
Perfect Illusion	Lady Gaga
Too Good	Drake Featuring Rihanna
Into You	Ariana Grande
Can't Stop The Feeling!	Justin Timberlake
Side To Side	Ariana Grande Featuring Nicki Minaj
Gold	Kiiara
Luv	Tory Lanez
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
I Hate U I Love U	gnash Featuring Olivia O'Brien
The Greatest	Sia Featuring Kendrick Lamar
Panda	Desiigner
Hymn For The Weekend	Coldplay
For Free	DJ Khaled Featuring Drake
Never Be Like You	Flume Featuring Kai
Unsteady	X Ambassadors
Controlla	Drake
This Girl	Kungs vs Cookin' On 3 Burners
Sit Still, Look Pretty	Daya
Starving	Hailee Steinfeld & Grey Featuring Zedd
Tiimmy Turner	Desiigner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Just Like Fire	P!nk
No Limit	Usher Featuring Young Thug
Stressed Out	twenty one pilots
Peter Pan	Kelsea Ballerini
Setting The World On Fire	Kenny Chesney Featuring P!nk
Work	Rihanna Featuring Drake
Different For Girls	Dierks Bentley Featuring Elle King
I Took A Pill In Ibiza	Mike Posner
Low Life	Future Featuring The Weeknd
7 Years	Lukas Graham
Mama Said	Lukas Graham
Fade	Kanye West
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
H.O.L.Y.	Florida Georgia Line
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
In The Name Of Love	Martin Garrix & Bebe Rexha
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Me Too	Meghan Trainor
Money Longer	Lil Uzi Vert
It Don't Hurt Like It Used To	Billy Currington
Father Stretch My Hands Pt. 1	Kanye West
Make You Miss Me	Sam Hunt
Don't Mind	Kent Jones
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Vice	Miranda Lambert
You & Me	Marc E. Bassy Featuring G-Eazy
Scars To Your Beautiful	Alessia Cara
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Middle Of A Memory	Cole Swindell
Rock On	Tucker Beathard
THat Part	ScHoolboy Q Featuring Kanye West
OOOUUU	Young M.A
Wat U Mean (Aye, Aye, Aye)	Dae Dae
A Little More Summertime	Jason Aldean
Caroline	Amine
I Met A Girl	William Michael Morgan
Rise	Katy Perry
Blue Ain't Your Color	Keith Urban
Gangsta	Kehlani
Deja Vu	Post Malone Featuring Justin Bieber
Make Me...	Britney Spears Featuring G-Eazy
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Purple Lamborghini	Skrillex & Rick Ross
She's Got A Way With Words	Blake Shelton
Move	Luke Bryan
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
Come And See Me	PARTYNEXTDOOR Featuring Drake
1 Night	Lil Yachty
My PYT	Wale
I Know Somebody	LOCASH
May We All	Florida Georgia Line Featuring Tim McGraw
Childs Play	Drake
Hold Up	Beyonce
Sleep Without You	Brett Young
American Country Love Song	Jake Owen
You Look Like I Need A Drink	Justin Moore
With You Tonight / Hasta El Amanecer	Nicky Jam
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Grass Ain't Greener	Chris Brown
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
Black Beatles	Rae Sremmurd Featuring Gucci Mane
No Shopping	French Montana Featuring Drake
X	21 Savage & Metro Boomin Featuring Future
You Was Right	Lil Uzi Vert
You Don't Own Me	Grace Featuring G-Eazy
