Out Of Touch	Daryl Hall John Oates
Wake Me Up Before You Go-Go	Wham!
I Feel For You	Chaka Khan
The Wild Boys	Duran Duran
All Through The Night	Cyndi Lauper
No More Lonely Nights	Paul McCartney
Sea Of Love	The Honeydrippers
Penny Lover	Lionel Richie
Cool It Now	New Edition
We Belong	Pat Benatar
Like A Virgin	Madonna
Better Be Good To Me	Tina Turner
I Can't Hold Back	Survivor
Strut	Sheena Easton
Purple Rain	Prince And The Revolution
Valotte	Julian Lennon
It Ain't Enough	Corey Hart
Walking On A Thin Line	Huey Lewis & The News
Caribbean Queen (No More Love On The Run)	Billy Ocean
All I Need	Jack Wagner
Born In The USA	Bruce Springsteen
Do What You Do	Jermaine Jackson
Run To You	Bryan Adams
Hello Again	The Cars
I Just Called To Say I Love You	Stevie Wonder
We Are The Young	Dan Hartman
Understanding	Bob Seger
You're The Inspiration	Chicago
I Do'wanna Know	REO Speedwagon
Centipede	Rebbie Jackson
Desert Moon	Dennis DeYoung
Stranger In Town	Toto
Jamie	Ray Parker Jr.
The Boys Of Summer	Don Henley
(Pride) In The Name Of Love	U2
What About Me?	Kenny Rogers With Kim Carnes & James Ingram
Easy Lover	Philip Bailey With Phil Collins
The Belle Of St. Mark	Sheila E.
Tender Years	John Cafferty & The Beaver Brown Band
Lover Boy	Billy Ocean
Tears	John Waite
Bruce	Rick Springfield
Hard Habit To Break	Chicago
Don't Stop	Jeffrey Osborne
I Want To Know What Love Is	Foreigner
Two Tribes	Frankie Goes To Hollywood
Call To The Heart	Giuffria
Had A Dream (Sleeping With The Enemy)	Roger Hodgson
Foolish Heart	Steve Perry
Catch My Fall	Billy Idol
Hands Tied	Scandal Featuring Patty Smyth
Love Light In Flight	Stevie Wonder
Blue Jean	David Bowie
Neutron Dance	The Pointer Sisters
In Neon	Elton John
Ti Amo	Laura Branigan
Jungle Love	The Time
Solid	Ashford & Simpson
Taxi Dancing	Rick Springfield With Randy Crawford
I Can't Drive 55	Sammy Hagar
Misled	Kool & The Gang
Tonight	David Bowie
Tenderness	General Public
The War Song	Culture Club
Heaven (Must Be There)	Eurogliders
Teacher Teacher	38 Special
I Need You Tonight	Peter Wolf
I'm So Excited	The Pointer Sisters
Sunshine In The Shade	The Fixx
The Wild Life	Bananarama
Operator	Midnight Star
Missing You	Diana Ross
On The Dark Side	John Cafferty & The Beaver Brown Band
Girls With Guns	Tommy Shaw
Concealed Weapons	The J. Geils Band
Amnesia	Shalamar
Sugar Don't Bite	Sam Harris
The Gap	Thompson Twins
Some Guys Have All The Luck	Rod Stewart
Big In Japan	Alphaville
The Heat Is On	Glenn Frey
I Wanna Go Back	Billy Satellite
Heaven's On fire	KISS
Sex Crime (Nineteen Eighty-Four)	Eurythmics
Let It All Blow	Dazz Band
Don't Wait For Heroes	Dennis DeYoung
Thief Of Hearts	Melissa Manchester
Body	The Jacksons
Eye On You	Billy Squier
Tragedy	John Hunter
Who Wears These Shoes?	Elton John
Supernatural Love	Donna Summer
Let's Go Crazy	Prince And The Revolution
Hot For Teacher	Van Halen
Drive	The Cars
After All	Al Jarreau
Lucky Star	Madonna
Cover Me	Bruce Springsteen
Left In The Dark	Barbra Streisand
The Glamorous Life	Sheila E.
