Too Close	Next
My All	Mariah Carey
You're Still The One	Shania Twain
Everybody [Backstreet's Back]	Backstreet Boys
Body Bumpin' Yippie-Yi-Yo	Public Announcement
It's All About Me	Mya & Sisqo
Truly Madly Deeply	Savage Garden
The Arms Of The One Who Loves You	Xscape
All My Life	K-Ci & JoJo
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
Frozen	Madonna
Turn It Up [Remix]/Fire It Up	Busta Rhymes
I Want You Back	'N Sync
Sex And Candy	Marcy Playground
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
No, No, No	Destiny's Child
Gettin' Jiggy Wit It	Will Smith
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
Nice & Slow	Usher
Together Again	Janet
What You Want	Mase Featuring Total
My Heart Will Go On	Celine Dion
How's It Going To Be	Third Eye Blind
Gone Till November	Wyclef Jean
Looking Through Your Eyes	LeAnn Rimes
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
I Got The Hook Up!	Master P Featuring Sons Of Funk
Raise The Roof	Luke Featuring No Good But So Good
How Do I Live	LeAnn Rimes
I Don't Want To Wait	Paula Cole
Second Round K.O.	Canibus
A Rose Is Still A Rose	Aretha Franklin
This Kiss	Faith Hill
Kiss The Rain	Billie Myers
You Make Me Wanna...	Usher
Imagination	Tamia
Clock Strikes	Timbaland & Magoo
Bitter Sweet Symphony	The Verve
Get At Me Dog	DMX Featuring Sheek Of The Lox
Say It	Voices Of Theory
Cheers 2 U	Playa
Who Am I	Beenie Man
Do For Love	2Pac Featuring Eric Williams
I Don't Ever Want To See You Again	Uncle Sam
The Party Continues	JD Featuring Da Brat
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
They Don't Know	Jon B
I'm Alright	Jo Dee Messina
This Is How We Party	S.O.A.P.
The Mummers' Dance	Loreena McKennitt
Push It	Garbage
Gitty Up	Salt-N-Pepa
Recover Your Soul	Elton John
Love You Down	INOJ/LATHUN
Are You Jimmy Ray?	Jimmy Ray
Rain	SWV
Too Much	Spice Girls
Strawberries	Smooth
My Heart Will Go On	Deja Vu
I Just Want To Dance With You	George Strait
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
Out Of My Bones	Randy Travis
The Unforgiven II	Metallica
I'm From The Country	Tracy Byrd
Then What?	Clay Walker
Love Me Good	Michael W. Smith
The City Is Mine	Jay-Z Featuring BLACKstreet
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
Do Your Thing	7 Mile
Burn	Militia
A Promise I Make	Dakota Moon
It's Your Love	She Moves
Bring It On	Keith Washington
Moan & Groan	Mark Morrison
One Of These Days	Tim McGraw
Blue On Black	The Kenny Wayne Shepherd Band
Let's Forget About It	Lisa Loeb
I Do [Cherish You]	Mark Wills
Light In Your Eyes	Blessid Union Of Souls
I Know Where It's At	All Saints
Come Over To My Place	Davina
That's Why I'm Here	Kenny Chesney
There's Your Trouble	Dixie Chicks
In A Dream	Rockell
If I Never Stop Loving You	David Kersh
Reality	Elusion
Life In Mono	Mono
Ding-A-Ling	Hi-Town DJs
Sweet Honesty	M:G
Pink	Aerosmith
Off The Hook	Jody Watley
Father	LL Cool J
I Don't Wanna Go On	Innerlude
Dangerous	Busta Rhymes
Sweet Surrender	Sarah McLachlan
It's Up To You	The Tuesdays
All My Love	Queen Pen Featuring Eric Williams
Out Of Sight (YO)	Rufus Blaq
