Funkytown	Lipps, Inc.
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Biggest Part Of Me	Ambrosia
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Call Me	Blondie
The Rose	Bette Midler
Against The Wind	Bob Seger
Hurt So Bad	Linda Ronstadt
Cars	Gary Numan
Little Jeannie	Elton John
It's Still Rock And Roll To Me	Billy Joel
She's Out Of My Life	Michael Jackson
Steal Away	Robbie Dupree
Brass In Pocket (I'm Special)	Pretenders
Cupid/I've Loved You For A Long Time	The Spinners
Sexy Eyes	Dr. Hook
Stomp!	The Brothers Johnson
Let's Get Serious	Jermaine Jackson
Lost In Love	Air Supply
Let Me Love You Tonight	Pure Prairie League
Wondering Where The Lions Are	Bruce Cockburn
Breakdown Dead Ahead	Boz Scaggs
Ride Like The Wind	Christopher Cross
I Can't Help It	Andy Gibb & Olivia Newton-John
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Train In Vain (Stand By Me)	The Clash
Shining Star	The Manhattans
Lady	The Whispers
Another Brick In The Wall (Part II)	Pink Floyd
We Live For Love	Pat Benatar
Gee Whiz	Bernadette Peters
We Were Meant To Be Lovers	Photoglo
Twilight Zone/Twilight Tone	The Manhattan Transfer
Tired Of Toein' The Line	Rocky Burnette
Theme From New York, New York	Frank Sinatra
I Don't Want To Walk Without You	Barry Manilow
Two Places At The Same Time	Ray Parker Jr. & Raydio
Love Stinks	The J. Geils Band
New Romance (It's A Mystery)	Spider
With You I'm Born Again	Billy Preston & Syreeta
Answering Machine	Rupert Holmes
All Night Long	Joe Walsh
Coming Down From Love	Bobby Caldwell
Power	The Temptations
One Fine Day	Carole King
The Seduction (Love Theme)	James Last Band
Atomic	Blondie
Angel Say No	Tommy Tutone
I'm Alive	Electric Light Orchestra
Magic	Olivia Newton-John
Clones (We're All)	Alice Cooper
You May Be Right	Billy Joel
Happy Together (A Fantasy)	Captain & Tennille
Ashes By Now	Rodney Crowell
All Night Thing	The Invisible Man's Band
Is This Love	Pat Travers Band
Back Together Again	Roberta Flack With Donny Hathaway
Stand By Me	Mickey Gilley
King Of The Hill	Rick Pinette & Oak
Somethin' 'Bout You Baby I Like	Glen Campbell & Rita Coolidge
Misunderstanding	Genesis
A Lover's Holiday	Change
Walks Like A Lady	Journey
And The Cradle Will Rock...	Van Halen
More Love	Kim Carnes
Gimme Some Lovin'	Blues Brothers
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
Everything Works If You Let It	Cheap Trick
Heart Hotels	Dan Fogelberg
Slipstream	Allan Clarke
In America	The Charlie Daniels Band
Take You Tonight	Ozark Mountain Daredevils
Don't Push It Don't Force It	Leon Haywood
Pilot Of The Airwaves	Charlie Dore
Run Like Hell	Pink Floyd
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Shotgun Rider	Joe Sun
Love And Loneliness	The Motors
Real Love	The Cretones
The Very Last Time	Utopia
It's Not A Wonder	Little River Band
It's For You	Player
The Blue Side	Crystal Gayle
Fool For A Pretty Face (Hurt By Love)	Humble Pie
Let Me Be The Clock	Smokey Robinson
Back Of My Hand (I've Got Your Number)	The Jags
Headed For A Fall	Firefall
Sisters Of The Moon	Fleetwood Mac
Time For Me To Fly	REO Speedwagon
Dancin' Like Lovers	Mary Macgregor
I Can Survive	Triumph
I Only Want To Be With You	The Tourists
Do Right	Paul Davis
It's Hard To Be Humble	Mac Davis
Fire Lake	Bob Seger
I Can't Tell You Why	Eagles
Here Comes My Girl	Tom Petty And The Heartbreakers
Rock Lobster	The B-52s
Any Way You Want It	Journey
Off The Wall	Michael Jackson
