Bette Davis Eyes	Kim Carnes
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Being With You	Smokey Robinson
Angel Of The Morning	Juice Newton
Morning Train (Nine To Five)	Sheena Easton
Take It On The Run	REO Speedwagon
Living Inside Myself	Gino Vannelli
Sukiyaki	A Taste Of Honey
Kiss On My List	Daryl Hall John Oates
Too Much Time On My Hands	Styx
Watching The Wheels	John Lennon
I Can't Stand It	Eric Clapton And His Band
Sweetheart	Franke & The Knockouts
Medley	Stars On 45
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
How 'bout Us	Champaign
Ain't Even Done With The Night	John Cougar
You Better You Bet	The Who
I Love You	Climax Blues Band
America	Neil Diamond
I Missed Again	Phil Collins
Say You'll Be Mine	Christopher Cross
What Are We Doin' In Love	Dottie West with Kenny Rogers
Love You Like I Never Loved Before	John O'Banion
This Little Girl	Gary U.S. Bonds
Since I Don't Have You	Don McLean
Hold On Loosely	38 Special
Somebody's Knockin'	Terri Gibbs
Her Town Too	James Taylor & J.D. Souther
Find Your Way Back	Jefferson Starship
Rapture	Blondie
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Jessie's Girl	Rick Springfield
Blessed Are The Believers	Anne Murray
While You See A Chance	Steve Winwood
Don't Stand So Close To Me	The Police
I Loved 'em Every One	T.G. Sheppard
You Make My Dreams	Daryl Hall John Oates
The Waiting	Tom Petty And The Heartbreakers
Winning	Santana
But You Know I Love You	Dolly Parton
Keep On Loving You	REO Speedwagon
Just So Lonely	Get Wet
Still Right Here In My Heart	Pure Prairie League
Fool In Love With You	Jim Photoglo
Super Trouper	ABBA
Time	The Alan Parsons Project
Is It You	Lee Ritenour
I've Been Waiting For You All Of My Life	Paul Anka
Give A Little Bit More	Cliff Richard
Woman	John Lennon
I Can Take Care Of Myself	Billy & The Beaters
Say What	Jesse Winchester
Wasn't That A Party	The Rovers
One Day In Your Life	Michael Jackson
Seven Year Ache	Rosanne Cash
Nobody Wins	Elton John
Hurry Up And Wait	The Isley Brothers
The One That You Love	Air Supply
You Like Me Don't You	Jermaine Jackson
The Best Of Times	Styx
Crying	Don McLean
Just Between You And Me	April Wine
Lately	Stevie Wonder
Make That Move	Shalamar
Sweet Baby	Stanley Clarke/George Duke
Modern Girl	Sheena Easton
Time Out Of Mind	Steely Dan
Don't Stop The Music	Yarbrough & Peoples
Mercy, Mercy, Mercy	Phoebe Snow
Arc Of A Diver	Steve Winwood
It's A Love Thing	The Whispers
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
Turn Me Loose	Loverboy
Mister Sandman	Emmylou Harris
You're So Easy To Love	Tommy James
Can You Feel It	The Jacksons
Elvira	The Oak Ridge Boys
Almost Saturday Night	Dave Edmunds
Lovin' The Night Away	The Dillman Band
Shaddap You Face	Joe Dolce
Next Time You'll Know	Sister Sledge
Stronger Than Before	Carole Bayer Sager
The Stroke	Billy Squier
The Party's Over (Hopelessly In Love)	Journey
Double Dutch Bus	Frankie Smith
What Cha' Gonna Do For Me	Chaka Khan
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
Jones Vs. Jones	Kool & The Gang
Rain In May	Max Werner
9 To 5	Dolly Parton
Celebration	Kool & The Gang
What Kind Of Fool	Barbra Streisand & Barry Gibb
Hello Again	Neil Diamond
I Love A Rainy Night	Eddie Rabbitt
Treat Me Right	Pat Benatar
Lonely Together	Barry Manilow
I Don't Need You	Rupert Holmes
The Winner Takes It All	ABBA
Seduced	Leon Redbone
