Mony Mony	Billy Idol
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Heaven Is A Place On Earth	Belinda Carlisle
I Think We're Alone Now	Tiffany
Brilliant Disguise	Bruce Springsteen
Breakout	Swing Out Sister
Should've Known Better	Richard Marx
Little Lies	Fleetwood Mac
I've Been In Love Before	Cutting Crew
Faith	George Michael
We'll Be Together	Sting
The One I Love	R.E.M.
I Won't Forget You	Poison
Shake Your Love	Debbie Gibson
It's A Sin	Pet Shop Boys
Is This Love	Whitesnake
Don't You Want Me	Jody Watley
Hourglass	Squeeze
So Emotional	Whitney Houston
Causing A Commotion	Madonna
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Skeletons	Stevie Wonder
Valerie	Steve Winwood
Bad	Michael Jackson
Come On, Let's Go	Los Lobos
Got My Mind Set On You	George Harrison
Dude (Looks Like A Lady)	Aerosmith
Where The Streets Have No Name	U2
I Do You	The Jets
That's What Love Is All About	Michael Bolton
Love Will Find A Way	Yes
Let Me Be The One	Expose
Tell It To My Heart(Dub)	Taylor Dayne
Cherry Bomb	John Mellencamp
Boys Night Out	Timothy B. Schmit
Animal	Def Leppard
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
Need You Tonight	INXS
U Got The Look	Prince
Casanova	Levert
Sugar Free	Wa Wa Nee
Candle In The Wind	Elton John
There's The Girl	Heart
The Way You Make Me Feel	Michael Jackson
Power Of Love	Laura Branigan
In My Dreams	REO Speedwagon
I Don't Mind At All	Bourgeois Tagg
Here I Go Again	Whitesnake
Crazy	Icehouse
True Faith	New Order
Just Like Heaven	The Cure
Silent Morning	Noel
Motortown	The Kane Gang
Lost In Emotion	Lisa Lisa And Cult Jam
(Baby Tell Me) Can You Dance	Shanice Wilson
I Could Never Take The Place Of Your Man	Prince
Hazy Shade Of Winter	The Bangles
I Live For Your Love	Natalie Cole
Pop Goes The World	Men Without Hats
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
Don't Shed A Tear	Paul Carrack
Reservations For Two	Dionne & Kashif
Honestly	Stryper
Who Will You Run To	Heart
Carrie	Europe
I Want To Be Your Man	Roger
Kick The Wall	Jimmy Davis & Junction
If You Let Me Stay	Terence Trent D'Arby
System Of Survival	Earth, Wind & Fire
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
No One In The World	Anita Baker
Guaranteed For Life	Millions Like Us
You Are The Girl	The Cars
Beat Patrol	Starship
Special Way	Kool & The Gang
Push It	Salt-N-Pepa
Criticize	Alexander O'Neal
I Can't Help It	Bananarama
I Found Someone	Cher
What's Too Much	Smokey Robinson
Sweet Rachel	Beau Coup
The Real Thing	Jellybean Featuring Steven Dante
Learning To Fly	Pink Floyd
Crazy World	Big Trouble
Strap Me In	The Cars
Satellite	Hooters
Eagles Fly	Sammy Hagar
I Heard A Rumour (From "Disorderlies")	Bananarama
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Holiday	The Other Ones
Paper In Fire	John Mellencamp
Someone To Love Me For Me	Lisa Lisa And Cult Jam Featuring Full Force
Don't Tell Me The Time	Martha Davis
You And Me Tonight	Deja
Rock Me	Great White
One Heartbeat	Smokey Robinson
Didn't We Almost Have It All	Whitney Houston
Notorious	Loverboy
Waterfall	Wendy And Lisa
Jump Start	Natalie Cole
