Shadow Dancing	Andy Gibb
Baker Street	Gerry Rafferty
It's A Heartache	Bonnie Tyler
Take A Chance On Me	ABBA
Use Ta Be My Girl	The O'Jays
You Belong To Me	Carly Simon
Still The Same	Bob Seger & The Silver Bullet Band
Love Is Like Oxygen	Sweet
Dance With Me	Peter Brown With Betty Wright
The Groove Line	Heatwave
You're The One That I Want	John Travolta & Olivia Newton-John
Two Out Of Three Ain't Bad	Meat Loaf
Because The Night	Patti Smith Group
Miss You	The Rolling Stones
Bluer Than Blue	Michael Johnson
Every Kinda People	Robert Palmer
Last Dance	Donna Summer
You're The Love	Seals & Crofts
Even Now	Barry Manilow
Too Much, Too Little, Too Late	Johnny Mathis/Deniece Williams
Wonderful Tonight	Eric Clapton
I Was Only Joking	Rod Stewart
Follow You Follow Me	Genesis
I Can't Stand The Rain	Eruption
Only The Good Die Young	Billy Joel
Grease	Frankie Valli
Feels So Good	Chuck Mangione
Runaway	Jefferson Starship
Thank God It's Friday	Love And Kisses
Love Will Find A Way	Pablo Cruise
Life's Been Good	Joe Walsh
Chattanooga Choo Choo	Tuxedo Junction
If Ever I See You Again	Roberta Flack
FM (No Static At All)	Steely Dan
It's The Same Old Song	KC And The Sunshine Band
Stone Blue	Foghat
My Angel Baby	Toby Beau
Hot Love, Cold World	Bob Welch
Magnet And Steel	Walter Egan
Songbird	Barbra Streisand
King Tut	Steve Martin And The Toot Uncommons
Copacabana (at The Copa)	Barry Manilow
I'm Not Gonna Let It Bother Me Tonight	Atlanta Rhythm Section
Can We Still Be Friends	Todd Rundgren
Stay/The Load-Out	Jackson Browne
I Don't Wanna Go	Joey Travolta
Will You Still Love Me Tomorrow	Dave Mason
Rivers Of Babylon	Boney M.
Three Times A Lady	Commodores
You Can't Dance	England Dan & John Ford Coley
Prove It All Night	Bruce Springsteen
Hot Blooded	Foreigner
That Once In A Lifetime	Demis Roussos
Dance Across The Floor	Jimmy "Bo" Horne
Love Or Something Like It	Kenny Rogers
With A Little Luck	Wings
Almost Summer	Celebration featuring Mike Love
On Broadway	George Benson
Deacon Blues	Steely Dan
Stuff Like That	Quincy Jones
I've Had Enough	Wings
Heartless	Heart
You're A Part Of Me	Gene Cotton With Kim Carnes
Portrait (He Knew)	Kansas
I Need To Know	Tom Petty And The Heartbreakers
Shame	Evelyn "Champagne" King
This Night Won't Last Forever	Bill LaBounty
Hot Child In The City	Nick Gilder
Mr. Blue Sky	Electric Light Orchestra
Just What I Needed	The Cars
Oh What A Night For Dancing	Barry White
Boogie Oogie Oogie	A Taste Of Honey
Two Tickets To Paradise	Eddie Money
God Knows/Baby, I'm Yours	Debby Boone
Never Let Her Slip Away	Andrew Gold
Macho Man	Village People
Warm Ride	Rare Earth
Dream Lover	The Marshall Tucker Band
You Don't Love Me Anymore	Eddie Rabbitt
Trans-europe Express	Kraftwerk
New Orleans Ladies	Louisiana's LeRoux
Daylight And Darkness	Smokey Robinson
You	Rita Coolidge
On The Wrong Track	Kevin Lamb
Anytime	Journey
You And I	Rick James
Roll With The Changes	REO Speedwagon
Only One Love In My Life	Ronnie Milsap
Runaway Love	Linda Clifford
Shaker Song	Spyro Gyra
Ain't Nothing Gonna Keep Me From You	Teri DeSario
Ca Plane Pour Moi	Plastic Bertrand
So Hard Livin' Without You	Airwaves
Cheeseburger In Paradise	Jimmy Buffett
Baby Hold On	Eddie Money
He's So Fine	Jane Olivor
Georgia On My Mind	Willie Nelson
The Closer I Get To You	Roberta Flack With Donny Hathaway
Disco Inferno	The Trammps
This Time I'm In It For Love	Player
