The Power Of Love	Celine Dion
The Sign	Ace Of Base
Whatta Man	Salt-N-Pepa Featuring En Vogue
All For Love	Bryan Adams/Rod Stewart/Sting
Breathe Again	Toni Braxton
Without You/Never Forget You	Mariah Carey
Hero	Mariah Carey
So Much In Love	All-4-One
Understanding	Xscape
Now And Forever	Richard Marx
Because Of Love	Janet Jackson
Cantaloop (Flip Fantasia)	US3
Getto Jam	Domino
Rock And Roll Dreams Come Through	Meat Loaf
Bump N' Grind	R. Kelly
Because The Night	10,000 Maniacs
Gin And Juice	Snoop Doggy Dogg
Please Forgive Me	Bryan Adams
Cry For You	Jodeci
Said I Loved You...But I Lied	Michael Bolton
Can We Talk	Tevin Campbell
All That She Wants	Ace Of Base
Linger	The Cranberries
Shoop	Salt-N-Pepa
Choose	Color Me Badd
Stay	Eternal
Amazing	Aerosmith
Never Keeping Secrets	Babyface
Again	Janet Jackson
Groove Thang	Zhane
(Lay Your Head On My) Pillow	Tony Toni Tone
Whoomp! (There It Is)	Tag Team
Found Out About You	Gin Blossoms
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
Everyday	Phil Collins
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Dreams	Gabrielle
U.N.I.T.Y.	Queen Latifah
I'm In The Mood	CeCe Peniston
Having A Party	Rod Stewart
Will You Be There (In The Morning)	Heart
Jessie	Joshua Kadison
Loser	Beck
Cannonball	The Breeders
Mr. Vain	Culture Beat
I Swear	John Michael Montgomery
Life (Everybody Needs Somebody To Love)	Haddaway
Mmm Mmm Mmm Mmm	Crash Test Dummies
It's All Good	M.C. Hammer
Keep Ya Head Up	2Pac
U Send Me Swingin'	Mint Condition
Dunkie Butt (Please Please Please)	12 Gauge
Miss You In A Heartbeat	Def Leppard
Streets Of Philadelphia (From "Philadelphia")	Bruce Springsteen
Gangsta Lean	DRS
All About Soul	Billy Joel
Always On My Mind	SWV
What's My Name?	Snoop Dogg
Goody Goody	Lisette Melendez
You Know How We Do It	Ice Cube
I'll Be Loving You	Collage
Zunga Zeng	K7
Slow And Easy	Zapp & Roger
Laid	James
A Deeper Love (From "Sister Act 2")	Aretha Franklin
I'm Outstanding	Shaquille O'Neal
Funk Dat/Why Is It?	Sagat
Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown
Stay (Faraway, So Close!)	U2
One On One	To Be Continued...
Time And Chance	Color Me Badd
Sex Me (Parts I & II)	R. Kelly
You Don't Have To Worry	Mary J. Blige
Award Tour	A Tribe Called Quest
John Deere Green	Joe Diffie
If That's Your Boyfriend (He Wasn't Last Night)	MeShell Ndegeocello
Mother	Danzig
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Betcha'll Never Find	Chantay Savage
God	Tori Amos
What Might Have Been	Little Texas
Dirty Dawg	NKOTB
Never Should've Let You Go (From "Sister Act 2")	Hi-Five
(I Know I Got) Skillz	Shaquille O'Neal
Sweet Lullaby	Deep Forest
Player's Ball	OutKast
You Don't Love Me (No, No, No)	Dawn Penn
Tryin' To Get Over You	Vince Gill
Sound Of Da Police	KRS-One
Money In The Ghetto	Too $hort
Ain't Seen Love Like That	Mr. Big
Come To My Window	Melissa Etheridge
Big Time Sensuality	Bjork
Family Affair (From "Addams Family Values")	Shabba Ranks Featuring Patra And Terri & Monica
My Love	Little Texas
I Never Knew Love	Doug Stone
Real Muthaphuckkin G's	Eazy-E
Give It Up	The Goodmen
Krazy	Blackgirl
Runaway Love	Johnny O
