Too Close	Next
My All	Mariah Carey
You're Still The One	Shania Twain
I Get Lonely	Janet Featuring BLACKstreet
Everybody [Backstreet's Back]	Backstreet Boys
It's All About Me	Mya & Sisqo
The Arms Of The One Who Loves You	Xscape
Truly Madly Deeply	Savage Garden
All My Life	K-Ci & JoJo
Body Bumpin' Yippie-Yi-Yo	Public Announcement
Sex And Candy	Marcy Playground
Let's Ride	Montell Jordan Feat. Master P & Silkk The Shocker
I Want You Back	'N Sync
Turn It Up [Remix]/Fire It Up	Busta Rhymes
Frozen	Madonna
Make Em' Say Uhh!	Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal
Gettin' Jiggy Wit It	Will Smith
Looking Through Your Eyes	LeAnn Rimes
Money, Power & Respect	The Lox [Featuring DMX & Lil' Kim]
I Got The Hook Up!	Master P Featuring Sons Of Funk
No, No, No	Destiny's Child
Victory	Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
The Boy Is Mine	Brandy & Monica
Together Again	Janet
How's It Going To Be	Third Eye Blind
Raise The Roof	Luke Featuring No Good But So Good
How Do I Live	LeAnn Rimes
Adia	Sarah McLachlan
Heaven's What I Feel	Gloria Estefan
Say It	Voices Of Theory
This Kiss	Faith Hill
I Don't Want To Wait	Paula Cole
My Heart Will Go On	Celine Dion
Romeo And Juliet	Sylk-E. Fyne Featuring Chill
What You Want	Mase Featuring Total
Nice & Slow	Usher
They Don't Know	Jon B
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Gone Till November	Wyclef Jean
Who Am I	Beenie Man
Imagination	Tamia
Second Round K.O.	Canibus
Cheers 2 U	Playa
You Make Me Wanna...	Usher
Kiss The Rain	Billie Myers
Get At Me Dog	DMX Featuring Sheek Of The Lox
Wishlist	Pearl Jam
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
Clock Strikes	Timbaland & Magoo
A Rose Is Still A Rose	Aretha Franklin
This Is How We Party	S.O.A.P.
Bitter Sweet Symphony	The Verve
Do For Love	2Pac Featuring Eric Williams
Push It	Garbage
The Mummers' Dance	Loreena McKennitt
Shorty (You Keep Playin' With My Mind)	Imajin Featuring Keith Murray
I'm Alright	Jo Dee Messina
The Party Continues	JD Featuring Da Brat
Recover Your Soul	Elton John
Gitty Up	Salt-N-Pepa
I Just Want To Dance With You	George Strait
Love You Down	INOJ/LATHUN
I'm From The Country	Tracy Byrd
There's Your Trouble	Dixie Chicks
Do Your Thing	7 Mile
Are You Jimmy Ray?	Jimmy Ray
Just Be Straight With Me	Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo
The Unforgiven II	Metallica
My Heart Will Go On	Deja Vu
Out Of My Bones	Randy Travis
I Honestly Love You (David Foster Vers.)	Olivia Newton-John
Too Much	Spice Girls
In A Dream	Rockell
Ninety Nine [Flash The Message]	John Forte
I Do [Cherish You]	Mark Wills
Rain	SWV
The City Is Mine	Jay-Z Featuring BLACKstreet
Still Po' Pimpin'	Do Or Die Featuring Johnny P & Twista
That's Why I'm Here	Kenny Chesney
A Promise I Make	Dakota Moon
Then What?	Clay Walker
Strawberries	Smooth
Ding-A-Ling	Hi-Town DJs
Let's Forget About It	Lisa Loeb
Hooked On A Feeling (Ooga-Chaka)	Baby Talk
Now That I Found You	Terri Clark
Blue On Black	The Kenny Wayne Shepherd Band
Know What You Mean	Sister 7
One Of These Days	Tim McGraw
Come Over To My Place	Davina
Light In Your Eyes	Blessid Union Of Souls
Have Fun, Go Mad	Blair
One Heart At A Time	Various Artists
Moan & Groan	Mark Morrison
It's Your Love	She Moves
Superhero	Daze
I Know Where It's At	All Saints
If I Never Stop Loving You	David Kersh
Bring It On	Keith Washington
Sweet Honesty	M:G
