Take A Bow	Madonna
Candy Rain	Soul For Real
Creep	TLC
Red Light Special	TLC
Strong Enough	Sheryl Crow
Big Poppa/Warning	The Notorious B.I.G.
You Gotta Be	Des'ree
Baby	Brandy
If You Love Me	Brownstone
Run Away	Real McCoy
I Know	Dionne Farris
Another Night	Real McCoy
Hold My Hand	Hootie & The Blowfish
Freak Like Me	Adina Howard
On Bended Knee	Boyz II Men
This Is How We Do It	Montell Jordan
This Lil' Game We Play	Subway (Featuring 702)
Like The Way I Do/If I Wanted To	Melissa Etheridge
Dear Mama/Old School	2Pac
Always	Bon Jovi
Thank You	Boyz II Men
In The House Of Stone And Light	Martin Page
Sukiyaki	4PM
Believe	Elton John
Keep Their Heads Ringin' (From "Friday")	Dr. Dre
If You Think You're Lonely Now	K-Ci Hailey
Hold On	Jamie Walters
The Rhythm Of The Night	Corona
You Don't Know How It Feels	Tom Petty
Before I Let You Go	BLACKstreet
Everlasting Love	Gloria Estefan
I Believe	Blessid Union Of Souls
You Got It (From "Boys On The Side")	Bonnie Raitt
I Live My Life For You	Firehouse
I'm The Only One	Melissa Etheridge
Every Day Of The Week	Jade
I Miss You	N2U
Get Down	Craig Mack
The Sweetest Days	Vanessa Williams
I Wanna Be Down	Brandy
House Of Love	Amy Grant With Vince Gill
Dream About You/Funky Melody	Stevie B
Constantly	Immature
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
Get Ready For This	2 Unlimited
Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E
100% Pure Love	Crystal Waters
Short Dick Man	20 Fingers Featuring Gillette
I'll Make Love To You	Boyz II Men
Tootsee Roll	69 Boyz
Cotton Eye Joe	Rednex
Mr. Personality	Gillette
For Your Love	Stevie Wonder
Brooklyn Zoo	Ol' Dirty Bastard
Mental Picture	Jon Secada
No More "I Love You's"	Annie Lennox
(She's Got) Skillz	All-4-One
Mad Izm	Channel Live
She's A River	Simple Minds
Think Of You	Usher
Move It Like This	K7
Shook Ones Part II	Mobb Deep
Tell Me When	The Human League
Bang And Blame	R.E.M.
I'd Rather Be Alone	IV Xample
Tour	Capleton
Never Find Someone Like You	Keith Martin
I'll Be Around	Rappin' 4-Tay Featuring The Spinners
Fat Boy	Max-A-Million
Connection	Elastica
Get Lifted	Keith Murray
She Don't Use Jelly	The Flaming Lips
Mishale	Andru Donalds
Until The End Of Time	Foreigner
Can't Stop Lovin' You	Van Halen
Let Her Cry	Hootie & The Blowfish
1-Luv	E-40 (Featuring Leviti)
Kitty Kitty	69 Boyz
Sour Times (Nobody Loves Me)	Portishead
Run-Around	Blues Traveler
Whutcha Want?	Nine
Let's Get It On	Shabba Ranks
Here & Now	Letters To Cleo
People Don't Believe	Scarface Feat. Ice Cube
Promise Me	Lil Suzy
Close To You	Fun Factory
Rodeo	95 South
Foolin' Around	Changing Faces
Bring The Pain	Method Man
Ask Of You (From "Higher Learning")	Raphael Saadiq
Woman To Woman	Jewell
Lick It	Roula
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
Always And Forever	Luther Vandross
What I Need	Crystal Waters
How Did I Get By Without You?	John Waite
Dreamer	Livin' Joy
Pimp Of The Year	Dru Down
Nika	Vicious
Where I Wanna Be Boy	Missjones
