Black Or White	Michael Jackson
All 4 Love	Color Me Badd
Can't Let Go	Mariah Carey
Don't Let The Sun Go Down On Me	George Michael/Elton John
Finally	CeCe Peniston
Diamonds And Pearls	Prince And The N.P.G.
I Love Your Smile	Shanice
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Smells Like Teen Spirit	Nirvana
Addams Groove	M.C. Hammer
2 Legit 2 Quit	M.C. Hammer
No Son Of Mine	Genesis
Set Adrift On Memory Bliss	P.M. Dawn
Wildside	Marky Mark & The Funky Bunch
Mysterious Ways	U2
Tell Me What You Want Me To Do	Tevin Campbell
The Way I Feel About You	Karyn White
Blowing Kisses In The Wind	Paula Abdul
When A Man Loves A Woman	Michael Bolton
That's What Love Is For	Amy Grant
Keep Coming Back	Richard Marx
Broken Arrow	Rod Stewart
Live For Loving You	Gloria Estefan
Don't Cry	Guns N' Roses
Can't Stop This Thing We Started	Bryan Adams
Keep It Comin'	Keith Sweat
Change	Lisa Stansfield
O.P.P.	Naughty By Nature
Forever My Lady	Jodeci
Love Me All Up	Stacy Earl
I'm Too Sexy	Right Said Fred
Is It Good To You	Heavy D & The Boyz
Cream	Prince And The N.P.G.
I've Got A Lot To Learn About Love	The Storm
Uhh Ahh	Boyz II Men
Set The Night To Music	Roberta Flack With Maxi Priest
Home Sweet Home	Motley Crue
Spending My Time	Roxette
I Can't Make You Love Me	Bonnie Raitt
Save Up All Your Tears	Cher
Live And Let Die	Guns N' Roses
Angel Baby	Angelica
The Unforgiven	Metallica
In My Dreams	The Party
Mind Playing Tricks On Me	Geto Boys
Hearts Don't Think (They Feel)	Natural Selection
Too Blind To See It	Kym Sims
Send Me An Angel	Scorpions
I Wanna Be Your Girl	Icy Blu
To Be With You	Mr. Big
Kiss You Back	Digital Underground
On A Sunday Afternoon	Lighter Shade Of Brown
Ain't Gonna Hurt Nobody	Kid 'N Play
I'll Get By	Eddie Money
There Will Never Be Another Tonight	Bryan Adams
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Tender Kisses	Tracie Spencer
All She Wrote	Firehouse
Street Of Dreams	Nia Peeples
I Wonder Why	Curtis Stigers
I Want You	Jody Watley
The Comfort Zone	Vanessa Williams
Top Of The World	Van Halen
Housecall	Shabba Ranks (Featuring Maxi Priest)
Vibeology	Paula Abdul
Move Any Mountain	The Shamen
Stay	Jodeci
Can't Truss It	Public Enemy
Good For Me	Amy Grant
In Paradise	Laissez Faire
Whispers	Corina
Shot Of Poison	Lita Ford
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
The Rush	Luther Vandross
Every Road Leads Back To You	Bette Midler
Paper Doll	P.M. Dawn
A Day In My Life (Without You)	Lisette Melendez
No More Tears	Ozzy Osbourne
Within My Heart	Voyce
Pop That Coochie	The 2 Live Crew
Blinded By Love	Rhythm Syndicate
Give It Away	Red Hot Chili Peppers
Insatiable	Prince And The N.P.G.
Oochie Coochie	M.C. Brains
Beauty And The Beast	Celine Dion And Peabo Bryson
All Through The Night	Tone-Loc
There's No Other Way	Blur
Conviction Of The Heart	Kenny Loggins
Butt Naked	Charm
Hold On (Tighter To Love)	Clubland
She Ain't Pretty	The Northern Pikes
Be True To Yourself	2nd II None
Until Your Love Comes Back Around	RTZ
The Fly	U2
Right Down To It	Damian Dame
I'll Take You There	BeBe & CeCe Winans Featuring Mavis Staples
Wasted Time	Skid Row
