Kiss	Prince And The Revolution
Addicted To Love	Robert Palmer
West End Girls	Pet Shop Boys
Manic Monday	The Bangles
Why Can't This Be Love	Van Halen
Harlem Shuffle	The Rolling Stones
Rock Me Amadeus	Falco
What Have You Done For Me Lately	Janet Jackson
Your Love	The Outfield
Take Me Home	Phil Collins
What You Need	INXS
Greatest Love Of All	Whitney Houston
Bad Boy	Miami Sound Machine
American Storm	Bob Seger
Let's Go All The Way	Sly Fox
I Think It's Love	Jermaine Jackson
Tender Love	Force M.D.'s
If You Leave	Orchestral Manoeuvres In The Dark
So Far Away	Dire Straits
Something About You	Level 42
On My Own	Patti LaBelle & Michael McDonald
I Can't Wait	Nu Shooz
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
Live To Tell	Madonna
All I Need Is A Miracle	Mike + The Mechanics
Saturday Love	Cherrelle With Alexander O'Neal
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Is It Love	Mr. Mister
I Can't Wait	Stevie Nicks
Secret Lovers	Atlantic Starr
Rough Boy	ZZ Top
Never As Good As The First Time	Sade
Move Away	Culture Club
Be Good To Yourself	Journey
Overjoyed	Stevie Wonder
These Dreams	Heart
Stick Around	Julian Lennon
Feel It Again	Honeymoon Suite
For America	Jackson Browne
Tomorrow Doesn't Matter Tonight	Starship
Nikita	Elton John
No One Is To Blame	Howard Jones
All The Things She Said	Simple Minds
Crush On You	The Jets
Mothers Talk	Tears For Fears
Restless	Starpoint
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
Nothin' At All	Heart
Right Between The Eyes	Wax
A Little Bit Of Love (Is All It Takes)	New Edition
This Could Be The Night	Loverboy
Where Do The Children Go	Hooters
Live Is Life	Opus
Call Me	Dennis DeYoung
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
I Wanna Be A Cowboy	Boys Don't Cry
A Different Corner	George Michael
Calling America	Electric Light Orchestra
How Will I Know	Whitney Houston
Absolute Beginners	David Bowie
Holding Back The Years	Simply Red
Sara	Starship
Pretty In Pink	Psychedelic Furs
Rain On The Scarecrow	John Mellencamp
No Easy Way Out	Robert Tepper
King For A Day	Thompson Twins
The Love Parade	The Dream Academy
Shot in the Dark	Ozzy Osbourne
Hands Across America	Voices Of America
Vienna Calling	Falco
Under The Influence	Vanity
Kyrie	Mr. Mister
Is That It?	Katrina And The Waves
Working Class Man	Jimmy Barnes
Who's Johnny ("Short Circuit" Theme)	El DeBarge
Johnny Come Home	Fine Young Cannibals
Tuff Enuff	The Fabulous Thunderbirds
If You Were A Woman (And I Was A Man)	Bonnie Tyler
Bop	Dan Seals
Mutual Surrender (What A Wonderful World)	Bourgeois Tagg
Your Wildest Dreams	The Moody Blues
Somebody Somewhere	Platinum Blonde
Your Smile	Rene & Angela
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Night Moves	Marilyn Martin
If Your Heart Isn't In It	Atlantic Starr
Living In The Background	Baltimora
Beat's So Lonely	Charlie Sexton
Where Are You Now?	Jimmy Harnen With Synch
Out Of Mind Out Of Sight	Models
Whisper In The Dark	Dionne Warwick
Once In A Lifetime	Talking Heads
Do Me Baby	Meli'sa Morgan
Innocent Eyes	Graham Nash
Say It, Say It	E.G. Daily
Lead A Double Life	Loverboy
The Power Of Love	Jennifer Rush
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Sanctify Yourself	Simple Minds
Love And Rock And Roll	Greg Kihn
