Flashdance...What A Feeling	Irene Cara
Let's Dance	David Bowie
Overkill	Men At Work
Time (Clock Of The Heart)	Culture Club
She Blinded Me With Science	Thomas Dolby
Beat It	Michael Jackson
My Love	Lionel Richie
Little Red Corvette	Prince
Solitaire	Laura Branigan
Straight From The Heart	Bryan Adams
Affair Of The Heart	Rick Springfield
Always Something There To Remind Me	Naked Eyes
Faithfully	Journey
Don't Let It End	Styx
Family Man	Daryl Hall John Oates
Electric Avenue	Eddy Grant
Photograph	Def Leppard
Never Gonna Let You Go	Sergio Mendes
She's A Beauty	The Tubes
Too Shy	Kajagoogoo
I'm Still Standing	Elton John
Wanna Be Startin' Somethin'	Michael Jackson
I Won't Hold You Back	Toto
Jeopardy	Greg Kihn Band
Der Kommissar	After The Fire
Try Again	Champaign
We Two	Little River Band
Come Dancing	The Kinks
The Woman In You	Bee Gees
The One Thing	INXS
Stranger In My House	Ronnie Milsap
That's Love	Jim Capaldi
Our House	Madness
All This Love	Debarge
No Time For Talk	Christopher Cross
Every Breath You Take	The Police
All My Life	Kenny Rogers
Rio	Duran Duran
Looking For A Stranger	Pat Benatar
The Closer You Get	Alabama
Don't Pay The Ferryman	Chris de Burgh
Baby Jane	Rod Stewart
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Roll Me Away	Bob Seger & The Silver Bullet Band
Love On Your Side	Thompson Twins
Mornin'	Jarreau
Inside Love (so Personal)	George Benson
Come On Eileen	Dexys Midnight Runners
Mr. Roboto	Styx
Cool Places	Sparks & Jane Wiedlin
White Wedding	Billy Idol
Sweet Dreams (Are Made Of This)	Eurythmics
How Do You Keep The Music Playing	James Ingram And Patti Austin
Candy Girl	New Edition
She Works Hard For The Money	Donna Summer
Easy For You To Say	Linda Ronstadt
Is There Something I Should Know	Duran Duran
Billie Jean	Michael Jackson
Love's Got A Line On You	Scandal Featuring Patty Smyth
Stand Back	Stevie Nicks
Theme From Doctor Detroit	Devo
When I'm With You	Sheriff
Ricky	"Weird Al" Yankovic
(Keep Feeling) Fascination	The Human League
Slipping Away	Dave Edmunds
The Salt In My Tears	Martin Briley
I.o.u.	Lee Greenwood
Gimme All Your Lovin	ZZ Top
Saved By Zero	The Fixx
1999	Prince
I Couldn't Say No	Robert Ellis Orral With Carlene Carter
What You Do To Me	Carl Wilson
Fool Moon Fire	Walter Egan
China Girl	David Bowie
Some Kind Of Friend	Barry Manilow
New Year's Day	U2
Love Never Fails	Greg Kihn Band
It Might Be You	Stephen Bishop
Stop In The Name Of Love	The Hollies
The Metro	Berlin
Save The Overtime (For Me)	Gladys Knight And The Pips
He's A Pretender	High Inergy
You Can't Run From Love	Eddie Rabbitt
Why Me?	Planet P
Dancing In The Shadows	After The Fire
So Wrong	Patrick Simmons
Drop The Pilot	Joan Armatrading
The Celtic Soul Brothers	Dexys Midnight Runners
Maniac	Michael Sembello
Love Is The Key	Maze Featuring Frankie Beverly
Front Page Story	Neil Diamond
China	Red Rockers
Welcome To Heartlight	Kenny Loggins
Fade Away	Loz Netto
Keep It Confidential	Nona Hendryx
Side By Side	Earth, Wind & Fire
Bang The Drum All Day	Todd Rundgren
The Walls Came Down	The Call
I Cannot Believe It's True	Phil Collins
Sing Me Away	Night Ranger
