Magic	Olivia Newton-John
It's Still Rock And Roll To Me	Billy Joel
Little Jeannie	Elton John
Cupid/I've Loved You For A Long Time	The Spinners
Shining Star	The Manhattans
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Tired Of Toein' The Line	Rocky Burnette
Emotional Rescue	The Rolling Stones
Sailing	Christopher Cross
In America	The Charlie Daniels Band
One Fine Day	Carole King
More Love	Kim Carnes
Love The World Away	Kenny Rogers
Steal Away	Robbie Dupree
The Rose	Bette Midler
Misunderstanding	Genesis
Gimme Some Lovin'	Blues Brothers
All Night Long	Joe Walsh
Empire Strikes Back (Medley)	Meco
Let My Love Open The Door	Pete Townshend
Stand By Me	Mickey Gilley
Take A Little Rhythm	Ali Thomson
JoJo	Boz Scaggs
Old-Fashion Love	Commodores
Into The Night	Benny Mardones
Fame	Irene Cara
Make A Little Magic	The Dirt Band
Boulevard	Jackson Browne
Why Not Me	Fred Knoblock
All Out Of Love	Air Supply
I Can't Let Go	Linda Ronstadt
Let Me Love You Tonight	Pure Prairie League
Tulsa Time/Cocaine	Eric Clapton And His Band
Drivin' My Life Away	Eddie Rabbitt
You're The Only Woman (You & I)	Ambrosia
I'm Alive	Electric Light Orchestra
Let's Get Serious	Jermaine Jackson
Give Me The Night	George Benson
Lookin' For Love	Johnny Lee
One In A Million You	Larry Graham
Play The Game	Queen
Walks Like A Lady	Journey
Someone That I Used To Love	Natalie Cole
Funkytown	Lipps, Inc.
Hot Rod Hearts	Robbie Dupree
Shandi	KISS
Against The Wind	Bob Seger
Upside Down	Diana Ross
Love That Got Away	Firefall
Years From Now	Dr. Hook
A Lover's Holiday	Change
Biggest Part Of Me	Ambrosia
Free Me	Roger Daltrey
That Lovin' You Feelin' Again	Roy Orbison & Emmylou Harris
Beyond	Herb Alpert
I'm Alright	Kenny Loggins
One More Time For Love	Billy Preston & Syreeta
You're Supposed To Keep Your Love For Me	Jermaine Jackson
Hey There Lonely Girl	Robert John
All Over The World	Electric Light Orchestra
You Better Run	Pat Benatar
Landlord	Gladys Knight And The Pips
How Does It Feel To Be Back	Daryl Hall John Oates
You'll Accomp'ny Me	Bob Seger
Under The Gun	Poco
Honey, Honey	David Hudson
The Royal Mile (Sweet Darlin')	Gerry Rafferty
King Of The Hill	Rick Pinette & Oak
Jesse	Carly Simon
Don't Ask Me Why	Billy Joel
Let's Go 'round Again	Average White Band
He's So Shy	The Pointer Sisters
Half Moon Silver	Hotel
First Time Love	Livingston Taylor
Don't Misunderstand Me	Rossington Collins Band
No Night So Long	Dionne Warwick
Cry Just A Little	Paul Davis
(Call Me) When The Spirit Moves You	Touch
You And Me	Rockie Robbins
My Mistake	The Kingbees
First...Be A Woman	Lenore O'malley
Rock It	Lipps, Inc.
Fool For Your Loving	Whitesnake
Stranger In My Home Town	Foghat
Wango Tango	Ted Nugent
Whatever You Decide	Randy VanWarmer
Everything Is Alright	Spider
Darlin'	Yipes!!
Just Can't Wait	The J. Geils Band
Where Did We Go Wrong	Frankie Valli & Chris Forde
Mirage	Eric Troyer
Shiver And Shake	The Silencers
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
On The Rebound	Russ Ballard
She's Out Of My Life	Michael Jackson
Cars	Gary Numan
Call Me	Blondie
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Dancin' In The Streets	Teri DeSario With K.C.
