Amanda	Boston
I Didn't Mean To Turn You On	Robert Palmer
True Colors	Cyndi Lauper
Human	The Human League
True Blue	Madonna
Take Me Home Tonight	Eddie Money
You Give Love A Bad Name	Bon Jovi
Typical Male	Tina Turner
Word Up	Cameo
The Rain	Oran 'Juice' Jones
Sweet Love	Anita Baker
The Next Time I Fall	Peter Cetera With Amy Grant
I'll Be Over You	Toto
Love Will Conquer All	Lionel Richie
Hip To Be Square	Huey Lewis & The News
Emotion In Motion	Ric Ocasek
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
The Way It Is	Bruce Hornsby & The Range
When I Think Of You	Janet Jackson
I Am By Your Side	Corey Hart
Jumpin' Jack Flash	Aretha Franklin
To Be A Lover	Billy Idol
Everybody Have Fun Tonight	Wang Chung
Girl Can't Help It	Journey
Walk Like An Egyptian	The Bangles
Freedom Overspill	Steve Winwood
Somebody's Out There	Triumph
Heartbeat	Don Johnson
Throwing It All Away	Genesis
A Matter Of Trust	Billy Joel
Stand By Me	Ben E. King
Two Of Hearts	Stacey Q
What About Love	'Til Tuesday
(Forever) Live And Die	Orchestral Manoeuvres In The Dark
Don't Forget Me (When I'm Gone)	Glass Tiger
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
Don't Get Me Wrong	Pretenders
Wild Wild Life	Talking Heads
You Know I Love You ... Don't You?	Howard Jones
Shake You Down	Gregory Abbott
Can't Wait Another Minute	Five Star
C'est La Vie	Robbie Nevil
Notorious	Duran Duran
Is This Love	Survivor
Foolish Pride	Daryl Hall
Midas Touch	Midnight Star
Lady Soul	The Temptations
Welcome To The Boomtown	David & David
Land Of Confusion	Genesis
Where Did Your Heart Go?	Wham!
Friends And Lovers	Carl Anderson & Gloria Loring
Stuck With You	Huey Lewis & The News
Heaven In Your Eyes	Loverboy
Jody	Jermaine Stewart
Love Is Forever	Billy Ocean
Don't Stand So Close To Me '86	The Police
Control	Janet Jackson
Heartache All Over The World	Elton John
The Future's So Bright, I Gotta Wear Shades	Timbuk 3
Nail It To The Wall	Stacy Lattisaw
You Be Illin'	Run-D.M.C.
Victory	Kool & The Gang
For Tonight	Nancy Martinez
Someday	Glass Tiger
Point Of No Return	Nu Shooz
California Dreamin'	The Beach Boys
Goldmine	The Pointer Sisters
All I Wanted	Kansas
Earth Angel (From "The Karate Kid Part II")	New Edition
Words Get In The Way	Miami Sound Machine
Love Walks In	Van Halen
Everytime You Cry	The Outfield
More Than Physical	Bananarama
Crazay	Jesse Johnson (Featuring Sly Stone)
Twist And Shout	The Beatles
Falling In Love (Uh-Oh)	Miami Sound Machine
When The Rain Comes Down	Andy Taylor
Coming Around Again	Carly Simon
Daydream Believer	The Monkees
Touch Me (I Want Your Body)	Samantha Fox
Talk To Me	Chico DeBarge
Take My Breath Away (Love Theme From "Top Gun")	Berlin
Dancing On The Ceiling	Lionel Richie
Tasty Love	Freddie Jackson
This Love	Bad Company
Stay The Night	Benjamin Orr
Like Flames	Berlin
Goin' To The Bank	Commodores
Walk This Way	Run-D.M.C.
I'm For Real	Howard Hewett
Dreamtime	Daryl Hall
Missionary Man	Eurythmics
Good Music	Joan Jett & the Blackhearts
Love In Siberia	Laban
Nobody's Fool	Cinderella
At This Moment	Billy Vera & The Beaters
Goin' Crazy!	David Lee Roth
You Can Call Me Al	Paul Simon
Higher Love	Steve Winwood
Love Zone	Billy Ocean
