Rock The Boat	The Hues Corporation
Sundown	Gordon Lightfoot
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Rock Your Baby	George McCrae
If You Love Me (let Me Know)	Olivia Newton-John
Hollywood Swinging	Kool & The Gang
You Make Me Feel Brand New	The Stylistics
Annie's Song	John Denver
You Won't See Me	Anne Murray
On And On	Gladys Knight And The Pips
The Air That I Breathe	The Hollies
Be Thankful For What You Got	William DeVaughn
Rikki Don't Lose That Number	Steely Dan
One Hell Of A Woman	Mac Davis
Rock And Roll Heaven	The Righteous Brothers
Sideshow	Blue Magic
Band On The Run	Paul McCartney And Wings
The Streak	Ray Stevens
Dancing Machine	Jackson 5
Radar Love	Golden Earring
I'm Coming Home	The Spinners
Midnight At The Oasis	Maria Muldaur
The Entertainer	Marvin Hamlisch/"The Sting"
Waterloo	ABBA
Don't Let The Sun Go Down On Me	Elton John
For The Love Of Money	The O'Jays
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Haven't Got Time For The Pain	Carly Simon
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Takin' Care Of Business	Bachman-Turner Overdrive
Train Of Thought	Cher
If You Talk In Your Sleep	Elvis Presley
Already Gone	Eagles
Machine Gun	Commodores
Workin' At The Car Wash Blues	Jim Croce
Feel Like Makin' Love	Roberta Flack
Come Monday	Jimmy Buffett
This Heart	Gene Redding
Fish Ain't Bitin'	Lamont Dozier
Keep On Smilin'	Wet Willie
Please Come To Boston	Dave Loggins
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Tell Me Something Good	Rufus Featuring Chaka Khan
Ballero	War
My Girl Bill	Jim Stafford
La Grange	ZZ Top
Oh Very Young	Cat Stevens
I'm The Leader Of The Gang	Brownsville Station
Help Me	Joni Mitchell
Jive Turkey (Part 1)	Ohio Players
My Thang	James Brown
Call On Me	Chicago
You And Me Against The World	Helen Reddy
When The Morning Comes	Hoyt Axton
The Loco-Motion	Grand Funk
Rock Me Gently	Andy Kim
Room Full Of Roses	Mickey Gilley
Don't You Worry 'Bout A Thing	Stevie Wonder
The Night Chicago Died	Paper Lace
Too Late	Tavares
The Show Must Go On	Three Dog Night
Wildflower	The New Birth
That Song Is Driving Me Crazy	Tom T. Hall
The Same Love That Made Me Laugh	Bill Withers
Wild Thing	Fancy
There Will Never Be Any Peace (Until God Is Seated At The Conference Table)	The Chi-lites
Put Out The Light	Joe Cocker
Hang On In There Baby	Johnny Bristol
Rebel Rebel	David Bowie
Kung Fu	Curtis Mayfield
Sure As I'm Sittin' Here	Three Dog Night
If You Go Away	Terry Jacks
Mr. President	Dickie Goodman
Rub It In	Billy "Crash" Craddock
Silly Milly	Blue Swede
You've Got My Soul On Fire	The Temptations
Happiness Is Just Around The Bend	The Main Ingredient
How Do You Feel The Morning After	Millie Jackson
I've Had It	Fanny
Old Home Filler-up An' Keep On-a-truckin' Cafe	C.W. McCall
I've Been Born Again	Johnnie Taylor
(You're) Having My Baby	Paul Anka with Odia Coates
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
Wildwood Weed	Jim Stafford
Worse Comes To Worst	Billy Joel
Love Is The Message	MFSB Featuring The Three Degrees
Air Disaster	Albert Hammond
I'm Falling In Love With You	Little Anthony And The Imperials
What Goes Up (Must Come Down)	Tyrone Davis
I'm Leaving It (All) Up To You	Donny & Marie Osmond
Captain Howdy	Simon Stokes
Tell Me That I'm Wrong	Blood, Sweat & Tears
Good Things Don't Last Forever	Ecstasy, Passion & Pain
I Wish It Was Me You Loved	The Dells
Between Her Goodbye And My Hello	Gladys Knight And The Pips
What's Your Name	Andy & David Williams
You're Welcome, Stop On By	Bobby Womack
Time For Livin'	Sly & The Family Stone
Dance Master Pt. 1	Willie Henderson
Wake Up And Love Me	April
