Justify My Love	Madonna
Because I Love You (The Postman Song)	Stevie B
High Enough	Damn Yankees
Love Will Never Do (Without You)	Janet Jackson
From A Distance	Bette Midler
Tom's Diner	DNA Featuring Suzanne Vega
The First Time	Surface
Sensitivity	Ralph Tresvant
Impulsive	Wilson Phillips
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Play That Funky Music	Vanilla Ice
Miles Away	Winger
I'm Your Baby Tonight	Whitney Houston
After The Rain	Nelson
The Way You Do The Things You Do	UB40
Freedom	George Michael
I'm Not In Love	Will To Power
Something To Believe In	Poison
Just Another Dream	Cathy Dennis
Love Takes Time	Mariah Carey
For You	The Outfield
Miracle (From "Young Guns II")	Jon Bon Jovi
Hang In Long Enough	Phil Collins
Groove Is In The Heart	Deee-Lite
One And Only Man	Steve Winwood
Anything Is Possible	Debbie Gibson
Wiggle It	2 In A Room
I'll Give All My Love To You	Keith Sweat
On The Way Up	Elisa Fiorillo
You're Amazing	Robert Palmer
Disappear	INXS
Gentle	Dino
All The Man That I Need	Whitney Houston
Around The Way Girl	LL Cool J
I Saw Red	Warrant
Where Does My Heart Beat Now	Celine Dion
Does She Love That Man?	Breathe Featuring David Glasper
Stranded	Heart
Feels Good	Tony Toni Tone
Love Makes Things Happen	Pebbles
The Shoop Shoop Song (It's In His Kiss)	Cher
More Than Words Can Say	Alias
You Gotta Love Someone	Elton John
The Ghetto	Too $hort
I Don't Know Anybody Else	Black Box
Candy	Iggy Pop With Kate Pierson
Wicked Game	Chris Isaak
Heat Of The Moment	After 7
Unchained Melody	The Righteous Brothers
Fairweather Friend	Johnny Gill
If You Needed Somebody	Bad Company
Pray	M.C. Hammer
Moneytalks	AC/DC
New York Minute	Don Henley
Ice Ice Baby	Vanilla Ice
No Matter What	George LaMond (Duet With Brenda K. Starr)
World In My Eyes	Depeche Mode
Shelter Me	Cinderella
So Close	Daryl Hall John Oates
My Love Is A Fire	Donny Osmond
It Never Rains (In Southern California)	Tony Toni Tone
Show Me The Way	Styx
One More Try	Timmy T.
I Wanna Get With U	Guy
Give It To Me Good	Trixter
B.B.D. (I Thought It Was Me)?	Bell Biv DeVoe
Get Here	Oleta Adams
Knockin' Boots	Candyman
Deeper Shade Of Soul	Urban Dance Squad
House Full Of Reasons	Jude Cole
Round And Round	Tevin Campbell
Just A Little Bit Longer	Maxi Priest
This House	Tracie Spencer
Go For It! (Heart And Fire)	Joey B. Ellis & Tynetta Hare
Hard To Handle	The Black Crowes
This Is Ponderous	2nu
Close To You	Maxi Priest
Iesha	Another Bad Creation
Spend My Life	Slaughter
I Don't Have The Heart	James Ingram
Use It Up And Wear It Out	Pat & Mick
Melt In Your Mouth	Candyman
Here Comes The Hammer	M.C. Hammer
Hippychick	Soho
Think	Information Society
Can't Stop	After 7
I'll Do 4 U	Father M.C.
Signs	Tesla
Cherry Pie	Warrant
Crash (Have Some Fun)	TKA Featuring Michelle Visage
Remember My Name	House Of Lords
Something In My Heart	Michel'le
I've Been Waiting For You	Guys Next Door
Giving You The Benefit	Pebbles
Don't Hold Back Your Love	Daryl Hall John Oates
Power Of Love	Deee-Lite
The Swalk	Notorious
The Obvious Child	Paul Simon
Missunderstanding	Al B. Sure!
I Found Love	The Party
