Sherry	The 4 Seasons
Ramblin' Rose	Nat King Cole
Green Onions	Booker T. & The MG's
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Sheila	Tommy Roe
Let's Dance	Chris Montez
Alley Cat	Bent Fabric and His Piano
Patches	Dickey Lee
You Belong To Me	The Duprees
Teen Age Idol	Rick Nelson
You Beat Me To The Punch	Mary Wells
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
Venus In Blue Jeans	Jimmy Clanton
The Loco-Motion	Little Eva
Lie To Me	Brook Benton
She's Not You	Elvis Presley With The Jordanaires
I Remember You	Frank Ifield
Rain Rain Go Away	Bobby Vinton
Do You Love Me	The Contours
Silver Threads And Golden Needles	The Springfields
What Kind Of Love Is This	Joey Dee & the Starliters
A Wonderful Dream	The Majors
Beechwood 4-5789	The Marvelettes
Surfin' Safari	The Beach Boys
It Might As Well Rain Until September	Carole King
Punish Her	Bobby Vee
Hully Gully Baby	The Dovells
Rinky Dink	Baby Cortez
You Don't Know Me	Ray Charles
Only Love Can Break A Heart	Gene Pitney
Your Nose Is Gonna Grow	Johnny Crawford
I Left My Heart In San Francisco	Tony Bennett
Send Me The Pillow You Dream On	Johnny Tillotson
A Swingin' Safari	Billy Vaughn And His Orchestra
Shame On Me	Bobby Bare
Popeye (The Hitchhiker)	Chubby Checker
Come On Little Angel	The Belmonts
I Love You The Way You Are	Bobby Vinton
Devil Woman	Marty Robbins
Point Of No Return	Gene McDaniels
Stop The Music	The Shirelles
Torture	Kris Jensen
Breaking Up Is Hard To Do	Neil Sedaka
He's A Rebel	The Crystals
I'm The Girl From Wolverton Mountain	Jo Ann Campbell
Don't Go Near The Indians	Rex Allen
What's Gonna Happen When Summer's Done	Freddy Cannon
You Can't Judge A Book By The Cover	Bo Diddley
Hide & Go Seek, Part I	Bunker Hill
All Alone Am I	Brenda Lee
Little Black Book	Jimmy Dean
Party Lights	Claudine Clark
King Of The Whole Wide World	Elvis Presley With The Jordanaires
What Kind Of Fool Am I	Sammy Davis Jr.
The Things We Did Last Summer	Shelley Fabares
Save All Your Lovin' For Me	Brenda Lee
The Boys' Night Out	Patti Page
Papa-Oom-Mow-Mow	The Rivingtons
Limbo Rock	Chubby Checker
I Keep Forgettin'	Chuck Jackson
A Taste Of Honey	Martin Denny and His Orchestra
Lollipops And Roses	Paul Petersen
Gina	Johnny Mathis
If I Didn't Have A Dime (To Play The Jukebox)	Gene Pitney
Sweet Sixteen Bars	Earl Grant
Close To Cathy	Mike Clifford
No One Will Ever Know	Jimmie Rodgers
Don't You Worry	Don Gardner And Dee Dee Ford
What Time Is It?	The Jive Five With Eugene Pitts
The Swiss Maid	Del Shannon
...And Then There Were Drums	Sandy Nelson
Lookin' For A Love	The Valentinos
Stormy Monday Blues	Bobby Bland
Big Love	Joe Henderson
Twistin' With Linda	The Isley Brothers
Warmed Over Kisses (Left Over Love)	Brian Hyland
Long As The Rose Is Red	Florraine Darlin
Yield Not To Temptation	Bobby Bland
Workin' For The Man	Roy Orbison
Ten Lonely Guys	Pat Boone
Every Night (Without You)	Paul Anka
Ol' Man River	Jimmy Smith
James (Hold The Ladder Steady)	Sue Thompson
Baby Face	Bobby Darin
Don't You Believe It	Andy Williams
Second Fiddle Girl	Barbara Lynn
Nothing Can Change This Love	Sam Cooke
I've Been Everywhere	Hank Snow
Mashed Potatoes U.S.A.	James Brown And The Famous Flames
If A Man Answers	Bobby Darin
Forever And A Day	Jackie Wilson
Broken Heart	The Fiestas
Desafinado	Stan Getz/Charlie Byrd
Way Over There	The Miracles
Sweet Little Sixteen	Jerry Lee Lewis
Mr. Lonely	Buddy Greco
What Kind Of Fool Am I	Anthony Newley
I Left My Heart In The Balcony	Linda Scott
Someday (When I'm Gone From You)	Bobby Vee and The Crickets
Try A Little Tenderness	Aretha Franklin
