Rockstar	DaBaby Featuring Roddy Ricch
Savage	Megan Thee Stallion
Blinding Lights	The Weeknd
Say So	Doja Cat Featuring Nicki Minaj
Rain On Me	Lady Gaga & Ariana Grande
Toosie Slide	Drake
Don't Start Now	Dua Lipa
Intentions	Justin Bieber Featuring Quavo
The Box	Roddy Ricch
Roses	SAINt JHN
Circles	Post Malone
Adore You	Harry Styles
Life Is Good	Future Featuring Drake
The Bones	Maren Morris
Blueberry Faygo	Lil Mosey
Chasin' You	Morgan Wallen
Stuck With U	Ariana Grande & Justin Bieber
Falling	Trevor Daniel
I Hope	Gabby Barrett Featuring Charlie Puth
Sunday Best	Surfaces
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
High Fashion	Roddy Ricch Featuring Mustard
Death Bed	Powfu Featuring beabadoobee
Does To Me	Luke Combs Featuring Eric Church
Party Girl	StaySolidRocky
I Hope You're Happy Now	Carly Pearce & Lee Brice
Before You Go	Lewis Capaldi
Break My Heart	Dua Lipa
Hard To Forget	Sam Hunt
After A Few	Travis Denning
Memories	Maroon 5
Sour Candy	Lady Gaga & BLACKPINK
My Oh My	Camila Cabello Featuring DaBaby
Nobody But You	Blake Shelton Duet With Gwen Stefani
Be Kind	Marshmello & Halsey
Gooba	6ix9ine
Everything I Wanted	Billie Eilish
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Watermelon Sugar	Harry Styles
Tell Me U Luv Me	Juice WRLD & Trippie Redd
Stupid Love	Lady Gaga
Supalonely	BENEE Featuring Gus Dapperton
One Margarita	Luke Bryan
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Bluebird	Miranda Lambert
Hot Girl Bummer	blackbear
Here And Now	Kenny Chesney
Dance Monkey	Tones And I
Go Crazy	Chris Brown & Young Thug
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Emotionally Scarred	Lil Baby
In Your Eyes	The Weeknd
Dior	Pop Smoke
We Paid	Lil Baby & 42 Dugg
Flex	Polo G Featuring Juice WRLD
After Party	Don Toliver
If The World Was Ending	JP Saxe Featuring Julia Michaels
Chicago Freestyle	Drake Featuring Giveon
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Out West	JACKBOYS Featuring Young Thug
I Love My Country	Florida Georgia Line
Believe It	PARTYNEXTDOOR & Rihanna
Level Of Concern	twenty one pilots
Ride It.	Regard
TKN	Rosalia & Travis Scott
Yo Perreo Sola	Bad Bunny
P*$$y Fairy (OTW)	Jhene Aiko
In Between	Scotty McCreery
Die From A Broken Heart	Maddie & Tae
God Whispered Your Name	Keith Urban
X	Jonas Brothers Featuring Karol G
Dollaz On My Head	Gunna Featuring Young Thug
Daisies	Katy Perry
Righteous	Juice WRLD
Need It	Migos Featuring YoungBoy Never Broke Again
Drinking Alone	Carrie Underwood
Got What I Got	Jason Aldean
Don't Rush	Young T & Bugsey Featuring Headie One
Godzilla	Eminem Featuring Juice WRLD
Cooler Than A Bitch	Gunna Featuring Roddy Ricch
One Big Country Song	LOCASH
T.D	Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator
Alice	Lady Gaga
Grace	Lil Baby & 42 Dugg
Hasta Que Dios Diga	Anuel AA & Bad Bunny
Why We Drink	Justin Moore
Lose Somebody	Kygo & OneRepublic
Turks	NAV, Gunna & Travis Scott
One Of Them Girls	Lee Brice
Girl Of My Dreams	Rod Wave
Like That	Doja Cat Featuring Gucci Mane
Sigues Con El	Arcangel x Sech
That Way	Lil Uzi Vert
Trillionaire	Future Featuring YoungBoy Never Broke Again
ily	Surf Mesa Featuring Emilee
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
July	Noah Cyrus & Leon Bridges
All In	Lil Baby
Solitaires	Future Featuring Travis Scott
