Alone	Heart
Shakedown (From "Beverly Hills Cop II")	Bob Seger
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
Don't Disturb This Groove	The System
Point Of No Return	Expose
Funkytown	Pseudo Echo
I Still Haven't Found What I'm Looking For	U2
Something So Strong	Crowded House
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Songbird	Kenny G
Heart And Soul	T'Pau
Girls, Girls, Girls	Motley Crue
Kiss Him Goodbye	The Nylons
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
Every Little Kiss	Bruce Hornsby & The Range
The Pleasure Principle	Janet Jackson
Head To Toe	Lisa Lisa And Cult Jam
I'd Still Say Yes	Klymaxx
Happy	Surface
Wot's It To Ya	Robbie Nevil
Luka	Suzanne Vega
Moonlighting (Theme)	Al Jarreau
Only In My Dreams	Debbie Gibson
Back In The High Life Again	Steve Winwood
Rock Steady	The Whispers
Just To See Her	Smokey Robinson
Don't Mean Nothing	Richard Marx
In Too Deep	Genesis
Hearts On Fire	Bryan Adams
Seven Wonders	Fleetwood Mac
Always	Atlantic Starr
Who's That Girl	Madonna
It's Not Over ('til It's Over)	Starship
Lessons In Love	Level 42
La Bamba	Los Lobos
Flames Of Paradise	Jennifer Rush (Duet With Elton John)
Diamonds	Herb Alpert
Why You Treat Me So Bad	Club Nouveau
One For The Mockingbird	Cutting Crew
Hypnotize Me (From "Innerspace")	Wang Chung
Living In A Box	Living In A Box
Since You've Been Gone	The Outfield
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Give To Live	Sammy Hagar
Endless Nights	Eddie Money
Meet Me Half Way	Kenny Loggins
You Keep Me Hangin' On	Kim Wilde
Love Power	Dionne Warwick & Jeffrey Osborne
Mary's Prayer	Danny Wilson
The Lady In Red	Chris de Burgh
Wanted Dead Or Alive	Bon Jovi
Lies	Jonathan Butler
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
I Want Action	Poison
Jam Tonight	Freddie Jackson
When Smokey Sings	ABC
These Times Are Hard For Lovers	John Waite
Still A Thrill	Jody Watley
Dreamin'	Will To Power
Here I Go Again	Whitesnake
Who Found Who	Jellybean Featuring Elisa Fiorillo
Doing It All For My Baby	Huey Lewis & The News
That's Freedom	Tom Kimmel
Wipeout	Fat Boys & The Beach Boys
Why Can't I Be You?	The Cure
Nothing's Gonna Change My Love For You	Glenn Medeiros
Sweet Sixteen	Billy Idol
Under The Boardwalk	Bruce Willis
Soul City	Partland Brothers
Holiday	Kool & The Gang
Shattered Glass	Laura Branigan
In Love With Love	Debbie Harry
I Heard A Rumour (From "Disorderlies")	Bananarama
I'll Still Be Loving You	Restless Heart
Rock The Night	Europe
Stand Back	The Fabulous Thunderbirds
If She Would Have Been Faithful. . .	Chicago
Still Of The Night	Whitesnake
Kiss And Tell	The Breakfast Club
Give Me All Night	Carly Simon
In My Dreams	REO Speedwagon
Jane's Getting Serious	Jon Astley
I'm Bad	LL Cool J
Twistin' The Night Away (From "Innerspace")	Rod Stewart
One Heartbeat	Smokey Robinson
Johnny B	Hooters
Show Me The Way	Regina Belle
Say You Really Want Me	Kim Wilde
Making Love In The Rain	Herb Alpert
Niagara Falls	Chicago
Want You For My Girlfriend	4 By Four
Wild Horses	Gino Vannelli
Shy Boys	Ana
Ready Or Not	Lou Gramm
Fascinated	Company B
Why Should I Cry?	Nona Hendryx
Hearts Away	Night Ranger
With or Without You	U2
Right On Track	The Breakfast Club
