Informer	Snow
Freak Me	Silk
Nuthin' But A "G" Thang	Dr. Dre
I Have Nothing	Whitney Houston
Don't Walk Away	Jade
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Ordinary World	Duran Duran
Mr. Wendal	Arrested Development
Cat's In The Cradle	Ugly Kid Joe
Bed Of Roses	Bon Jovi
Two Princes	Spin Doctors
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
Comforter	Shai
Hip Hop Hooray	Naughty By Nature
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
I'm So Into You	SWV
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
I Got A Man	Positive K
Ditty	Paperboy
Forever In Love	Kenny G
That's What Love Can Do	Boy Krazy
I Will Always Love You	Whitney Houston
Angel	Jon Secada
Looking Through Patient Eyes	P.M. Dawn
Rebirth Of Slick (Cool Like Dat)	Digable Planets
If I Ever Lose My Faith In You	Sting
7	Prince And The New Power Generation
Sweet Thing	Mary J. Blige
Here We Go Again!	Portrait
Man On The Moon	R.E.M.
It Was A Good Day	Ice Cube
Heal The World	Michael Jackson
Down With The King	Run-D.M.C.
Nothin' My Love Can't Fix	Joey Lawrence
The Crying Game (From "The Crying Game")	Boy George
Get Away	Bobby Brown
If I Ever Fall In Love	Shai
Rhythm Is A Dancer	Snap!
Bad Girl	Madonna
Simple Life	Elton John
So Alone	Men At Large
Hat 2 Da Back	TLC
Dazzey Duks	Duice
Do You Believe In Us	Jon Secada
Rump Shaker	Wreckx-N-Effect
I Feel You	Depeche Mode
Love U More	Sunscreem
I See Your Smile	Gloria Estefan
Saving Forever For You (From "Beverly Hills, 90210")	Shanice
Beautiful Girl	INXS
In The Still Of The Nite (From "The Jacksons")	Boyz II Men
I'm Gonna Get You	Bizarre Inc
Supermodel (You Better Work)	RuPaul
Dedicated	R. Kelly & Public Announcement
Romeo	Dolly Parton & Friends
Tap The Bottle	Young Black Teenagers
How I'm Comin'	LL Cool J
Easy	Faith No More
Give It Up, Turn It Loose	En Vogue
Come In Out Of The Rain	Wendy Moten
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Passionate Kisses	Mary Chapin Carpenter
What You Won't Do For Love	Go West
Everything's Gonna Be Alright	Father M.C.
Love Don't Love You	En Vogue
Three Little Pigs	Green Jelly
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Candy Everybody Wants	10,000 Maniacs
Connected	Stereo MC's
She's Not Cryin' Anymore	Billy Ray Cyrus
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Somebody Love Me	Michael W. Smith
Buddy X	Neneh Cherry
Homies	Lighter Shade Of Brown
Murder She Wrote	Chaka Demus & Pliers
Closer	Remedy
The Morning Papers	Prince And The New Power Generation
Understand This Groove	Sound Factory
Little Bird	Annie Lennox
Good Ol' Days	Levert
Throw Ya Gunz	Onyx
I'll Never Get Over You (Getting Over Me)	Expose
Kiss Of Life	Sade
Funky Child	Lords Of The Underground
Tell The Truth	Jude Cole
Roll Wit Tha Flava	The Flavor Unit MC's
Knock-N-Boots	Wreckx-N-Effect
No Mistakes	Patty Smyth
Save Your Love	Bad Boys Blue
Reminisce	Mary J. Blige
Tonight	Def Leppard
Love Me Or Leave Me Alone	Brand Nubian
Born 2 B.R.E.E.D.	Monie Love
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Show Me Love	Robin S.
Stand	Poison
Who Got The Props	Black Moon
If I Could	Regina Belle
Gangsta Bitch	Apache
Love Me The Right Way	Rapination & Kym Mazelle
