Mood	24kGoldn Featuring iann dior
All I Want For Christmas Is You	Mariah Carey
Positions	Ariana Grande
Rockin' Around The Christmas Tree	Brenda Lee
Dakiti	Bad Bunny & Jhay Cortez
Laugh Now Cry Later	Drake Featuring Lil Durk
Holy	Justin Bieber Featuring Chance The Rapper
I Hope	Gabby Barrett Featuring Charlie Puth
Jingle Bell Rock	Bobby Helms
Dynamite	BTS
Blinding Lights	The Weeknd
It's The Most Wonderful Time Of The Year	Andy Williams
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Body	Megan Thee Stallion
Go Crazy	Chris Brown & Young Thug
Feliz Navidad	Jose Feliciano
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
The Christmas Song (Merry Christmas To You)	Nat King Cole
Kings & Queens	Ava Max
Therefore I Am	Billie Eilish
Last Christmas	Wham!
Let It Snow, Let It Snow, Let It Snow	Dean Martin
Sleigh Ride	The Ronettes
A Holly Jolly Christmas	Burl Ives
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Levitating	Dua Lipa Featuring DaBaby
Bang!	AJR
Life Goes On	BTS
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Underneath The Tree	Kelly Clarkson
Be Like That	Kane Brown With Swae Lee & Khalid
More Than My Hometown	Morgan Wallen
WAP	Cardi B Featuring Megan Thee Stallion
Happy Holiday / The Holiday Season	Andy Williams
Rockstar	DaBaby Featuring Roddy Ricch
Here Comes Santa Claus (Right Down Santa Claus Lane)	Gene Autry
White Christmas	Bing Crosby
Monster	Shawn Mendes & Justin Bieber
It's Beginning To Look A Lot Like Christmas	Michael Buble
Rudolph The Red-Nosed Reindeer	Gene Autry
Christmas (Baby Please Come Home)	Darlene Love
Before You Go	Lewis Capaldi
ily	Surf Mesa Featuring Emilee
Said Sum	Moneybagg Yo
It's Beginning To Look A Lot Like Christmas	Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
Lonely	Justin Bieber & benny blanco
(There's No Place Like) Home For The Holidays	Perry Como
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Watermelon Sugar	Harry Styles
Holiday	Lil Nas X
What You Know Bout Love	Pop Smoke
La Noche de Anoche	Bad Bunny & Rosalia
Hawai	Maluma & The Weeknd
Better Together	Luke Combs
Big, Big Plans	Chris Lane
Midnight Sky	Miley Cyrus
Diamonds	Sam Smith
Prisoner	Miley Cyrus Featuring Dua Lipa
Te Mudaste	Bad Bunny
Love You Like I Used To	Russell Dickerson
Starting Over	Chris Stapleton
Ain't Always The Cowboy	Jon Pardi
Yo Visto Asi	Bad Bunny
Dicked Down In Dallas	Trey Lewis
I Should Probably Go To Bed	Dan + Shay
You Broke Me First.	Tate McRae
Forever After All	Luke Combs
Whoopty	CJ
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
B.S.	Jhene Aiko Featuring H.E.R.
Haciendo Que Me Amas	Bad Bunny
My Ex's Best Friend	Machine Gun Kelly X blackbear
Te Deseo Lo Mejor	Bad Bunny
Under The Mistletoe	Kelly Clarkson & Brett Eldredge
7 Summers	Morgan Wallen
Wonder	Shawn Mendes
Booker T	Bad Bunny
El Mundo Es Mio	Bad Bunny
pov	Ariana Grande
Hoy Cobre	Bad Bunny
Champagne Night	Lady A
Rockin' Around The Christmas Tree	Justin Bieber
Somebody's Problem	Morgan Wallen
Throat Baby (Go Baby)	BRS Kash
Still Goin Down	Morgan Wallen
Maldita Pobreza	Bad Bunny
Took Her To The O	King Von
Don't Stop	Megan Thee Stallion Featuring Young Thug
Hit Different	SZA Featuring Ty Dolla $ign
Tyler Herro	Jack Harlow
Golden	Harry Styles
Good Time	Niko Moon
La Droga	Bad Bunny
Favorite Time Of Year	Carrie Underwood
Back To The Streets	Saweetie Featuring Jhene Aiko
Martin & Gina	Polo G
Hole In The Bottle	Kelsea Ballerini
So Done	The Kid LAROI
Bichota	Karol G
