Happy	Pharrell Williams
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
All Of Me	John Legend
Drunk In Love	Beyonce Featuring Jay Z
Pompeii	Bastille
Team	Lorde
Say Something	A Great Big World & Christina Aguilera
Counting Stars	OneRepublic
Timber	Pitbull Featuring Ke$ha
Let Her Go	Passenger
Story Of My Life	One Direction
The Man	Aloe Blacc
The Monster	Eminem Featuring Rihanna
Burn	Ellie Goulding
Show Me	Kid Ink Featuring Chris Brown
Royals	Lorde
Let It Go	Idina Menzel
Demons	Imagine Dragons
Wake Me Up!	Avicii
Roar	Katy Perry
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Best Day Of My Life	American Authors
Hey Brother	Avicii
Adore You	Miley Cyrus
Can't Remember To Forget You	Shakira Featuring Rihanna
Radioactive	Imagine Dragons
Chillin' It	Cole Swindell
Turn Down For What	DJ Snake & Lil Jon
Love Me Again	John Newman
Wrecking Ball	Miley Cyrus
Young Girls	Bruno Mars
Paranoid	Ty Dolla $ign Featuring B.o.B
Bottoms Up	Brantley Gilbert
Hold On, We're Going Home	Drake Featuring Majid Jordan
Animals	Martin Garrix
Drink A Beer	Luke Bryan
Neon Lights	Demi Lovato
Brave	Sara Bareilles
When She Says Baby	Jason Aldean
Sail	AWOLNATION
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Doin' What She Likes	Blake Shelton
Safe And Sound	Capital Cities
Sweater Weather	The Neighbourhood
Compass	Lady Antebellum
Give Me Back My Hometown	Eric Church
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Whatever She's Got	David Nail
23	Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
Helluva Life	Frankie Ballard
Cop Car	Keith Urban
I Hold On	Dierks Bentley
See You Tonight	Scotty McCreery
Na Na	Trey Songz
Drink To That All Night	Jerrod Niemann
Everything Is AWESOME!!!	Tegan And Sara Featuring The Lonely Island
Rap God	Eminem
Stoner	Young Thug
Take Me Home	Cash Cash Featuring Bebe Rexha
Let It Go	Demi Lovato
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Rewind	Rascal Flatts
19 You + Me	Dan + Shay
Love Don't Die	The Fray
Get Me Some Of That	Thomas Rhett
Human	Christina Perri
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Goodnight Kiss	Randy Houser
Do I Wanna Know?	Arctic Monkeys
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
The Language	Drake
Everything I Shouldn't Be Thinking About	Thompson Square
The Worst	Jhene Aiko
Unconditionally	Katy Perry
Friday Night	Eric Paslay
Stay	Florida Georgia Line
Odio	Romeo Santos Featuring Drake
Waiting For Superman	Daughtry
Chocolate	The 1975
Man Of The Year	ScHoolboy Q
For The First Time In Forever	Kristen Bell & Idina Menzel
Ride	SoMo
The Heart Of Dixie	Danielle Bradbery
On Top Of The World	Imagine Dragons
Do What U Want	Lady Gaga Featuring R. Kelly
They Don't Know	Rico Love
Glory And Gore	Lorde
Beat Of The Music	Brett Eldredge
XO	Beyonce
Classic	MKTO
Oceans (Where Feet May Fail)	Hillsong UNITED
Worst Behavior	Drake
Thinking About You	Calvin Harris Featuring Ayah Marar
Can't Raise A Man	K. Michelle
Part II (On The Run)	Jay Z Featuring Beyonce
Partition	Beyonce
La La La	Naughty Boy Featuring Sam Smith
Ordinary Love	U2
Lettin' The Night Roll	Justin Moore
