Disco Lady	Johnnie Taylor
Let Your Love Flow	Bellamy Brothers
Right Back Where We Started From	Maxine Nightingale
Lonely Night (angel Face)	Captain & Tennille
Boogie Fever	The Sylvers
Only Sixteen	Dr. Hook
Sweet Love	Commodores
Dream Weaver	Gary Wright
Show Me The Way	Peter Frampton
Bohemian Rhapsody	Queen
Welcome Back	John Sebastian
Fooled Around And Fell In Love	Elvin Bishop
There's A Kind Of Hush (All Over The World)	Carpenters
December, 1963 (Oh, What a Night)	The 4 Seasons
Sweet Thing	Rufus Featuring Chaka Khan
Dream On	Aerosmith
Golden Years	David Bowie
Deep Purple	Donny & Marie Osmond
Money Honey	Bay City Rollers
Action	Sweet
I Do, I Do, I Do, I Do, I Do	ABBA
Shannon	Henry Gross
Take It To The Limit	Eagles
Livin' For The Weekend	The O'Jays
Tryin' To Get The Feeling Again	Barry Manilow
Love Machine (Part 1)	The Miracles
Strange Magic	Electric Light Orchestra
Lorelei	Styx
Sara Smile	Daryl Hall John Oates
Fopp	Ohio Players
Misty Blue	Dorothy Moore
Rhiannon (Will You Ever Win)	Fleetwood Mac
All By Myself	Eric Carmen
Get Up And Boogie (That's Right)	Silver Convention
Silly Love Songs	Wings
Come On Over	Olivia Newton-John
Union Man	Cate Bros.
Happy Music	The Blackbyrds
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Shout It Out Loud	KISS
Love Hangover	Diana Ross
Young Blood	Bad Company
Can't Hide Love	Earth, Wind & Fire
More, More, More Pt. 1	Andrea True Connection
Looking For Space	John Denver
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
We Can't Hide It Anymore	Larry Santos
Good Hearted Woman	Waylon & Willie
Love Hurts	Nazareth
Only Love Is Real	Carole King
When Love Has Gone Away	Richard Cocciante
Heavy Love	David Ruffin
Hurt/for The Heart	Elvis Presley
He's A Friend	Eddie Kendricks
Love Really Hurts Without You	Billy Ocean
Anytime (i'll Be There)	Paul Anka
Happy Days	Pratt & McClain with Brother Love
Fallen Angel	Frankie Valli
Tangerine	The Salsoul Orchestra
Movin'	Brass Construction
You'll Lose A Good Thing	Freddy Fender
Love Fire	Jigsaw
Falling Apart At The Seams	Marmalade
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Junk Food Junkie	Larry Groce
Love In The Shadows	Neil Sedaka
Hit The Road Jack	Stampeders
Theme From S.W.A.T.	Rhythm Heritage
Everyday Without You	Hamilton, Joe Frank & Reynolds
I'm Mandy Fly Me	10cc
One Piece At A Time	Johnny Cash And The Tennessee Three
Takin' It To The Streets	The Doobie Brothers
There Won't Be No Country Music (There Won't Be No Rock 'N' Roll)	C.W. McCall
I Thought It Took A Little Time (But Today I Fell In Love)	Diana Ross
Jasper	Jim Stafford
It's Over	Boz Scaggs
Jealousy	Major Harris
Hey Baby	Ted Nugent
You Are Beautiful	The Stylistics
Don't Stop It Now	Hot Chocolate
Where Did Our Love Go	The J. Geils Band
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Love Is Alive	Gary Wright
Forever Lovers	Mac Davis
Love And Understanding (Come Together)	Kool & The Gang
Crazy On You	Heart
Let's Make A Baby	Billy Paul
Love Hangover	The 5th Dimension
Words (are Impossible)	Donny Gerrard
Moonlight Feels Right	Starbuck
Turn The Beat Around	Vicki Sue Robinson
Mighty High	Mighty Clouds Of Joy
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
That's Where The Happy People Go	The Trammps
Arms Of Mary	Sutherland Brothers And Quiver
Tell The World How I Feel About 'Cha Baby	Harold Melvin And The Blue Notes
Spirit In The Night	Manfred Mann's Earth Band
The Fonz Song	The Heyettes
Kiss And Say Goodbye	The Manhattans
I Wanna Stay With You	Gallagher And Lyle
