Eye Of The Tiger	Survivor
Hurts So Good	John Cougar
Abracadabra	The Steve Miller Band
Hold Me	Fleetwood Mac
Hard To Say I'm Sorry	Chicago
Even The Nights Are Better	Air Supply
Keep The Fire Burnin'	REO Speedwagon
Vacation	Go-Go's
Wasted On The Way	Crosby, Stills & Nash
Take It Away	Paul McCartney
You Should Hear How She Talks About You	Melissa Manchester
Love Is In Control (Finger On The Trigger)	Donna Summer
Love Will Turn You Around	Kenny Rogers
Jack & Diane	John Cougar
Eye In The Sky	The Alan Parsons Project
American Music	The Pointer Sisters
Think I'm In Love	Eddie Money
Who Can It Be Now?	Men At Work
Only The Lonely	The Motels
Rosanna	Toto
Out Of Work	Gary U.S. Bonds
And I Am Telling You I'm Not Going	Jennifer Holliday
You Can Do Magic	America
Only Time Will Tell	Asia
Kids In America	Kim Wilde
Blue Eyes	Elton John
Let It Whip	Dazz Band
Hot In The City	Billy Idol
Somebody's Baby	Jackson Browne
Let Me Tickle Your Fancy	Jermaine Jackson
Tainted Love	Soft Cell
Don't You Want Me	The Human League
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
Hold On	Santana
What's Forever For	Michael Murphey
Someday, Someway	Marshall Crenshaw
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
Let Me Go	Ray Parker Jr.
Never Been In Love	Randy Meisner
Love Or Let Me Be Lonely	Paul Davis
Valley Girl	Frank Zappa
Words	Missing Persons
I Ran (So Far Away)	A Flock Of Seagulls
Gloria	Laura Branigan
I'm The One	Roberta Flack
I Really Don't Need No Light	Jeffrey Osborne
Make Believe	Toto
Should I Stay Or Should I Go	The Clash
Workin' For A Livin'	Huey Lewis & The News
Oh Julie	Barry Manilow
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
Break It To Me Gently	Juice Newton
You Dropped A Bomb On Me	The Gap Band
I Will Always Love You	Dolly Parton
Let It Be Me	Willie Nelson
She Got The Goldmine (i Got The Shaft)	Jerry Reed
Hot Fun In The Summertime	Dayton
Still In The Game	Steve Winwood
Calling All Girls	Queen
I Only Want To Be With You	Nicolette Larson
Sara	Bill Champlin
You Keep Runnin' Away	38 Special
Night Shift	Quarterflash
Voyeur	Kim Carnes
Holdin' On	Tane Cain
You Don't Want Me Anymore	Steel Breeze
Emotions In Motion	Billy Squier
Jump To It	Aretha Franklin
Johnny Can't Read	Don Henley
How Can I Live Without Her	Christopher Atkins
He Got You	Ronnie Milsap
Big Fun	Kool & The Gang
In The Driver's Seat	John Schneider
The One You Love	Glenn Frey
Sweet Time	REO Speedwagon
Don't Fight It	Kenny Loggins with Steve Perry
Right Away	Kansas
Your Daddy Don't Know	Toronto
He Could Be The One	Josie Cotton
Steppin' Out	Joe Jackson
Don't Run My Life	Spys
Up Where We Belong	Joe Cocker And Jennifer Warnes
Luanne	Foreigner
Love Come Down	Evelyn King
She Looks A Lot Like You	Clocks
If The Love Fits Wear It	Leslie Pearl
Ain't Nothing Like The Real Thing/You're All I Need To Get By	Chris Christian (with Amy Holland)
Nobody	Sylvia
Sad Hearts	Four Tops
Paperlate	Genesis
Your Imagination	Daryl Hall John Oates
Personally	Karla Bonoff
Route 101	Herb Alpert
Now Or Never	Axe
Love Plus One	Haircut One Hundred
Love's Been A Little Bit Hard On Me	Juice Newton
Do I Do	Stevie Wonder
Seasons Of The Heart	John Denver
I Found Somebody	Glenn Frey
