Livin' On A Prayer	Bon Jovi
Jacob's Ladder	Huey Lewis & The News
You Got It All	The Jets
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Respect Yourself	Bruce Willis
Keep Your Hands To Yourself	The Georgia Satellites
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Big Time	Peter Gabriel
Mandolin Rain	Bruce Hornsby & The Range
Let's Wait Awhile	Janet Jackson
Will You Still Love Me?	Chicago
Lean On Me	Club Nouveau
Nothing's Gonna Stop Us Now	Starship
I'll Be Alright Without You	Journey
I Wanna Go Back	Eddie Money
Tonight, Tonight, Tonight	Genesis
Brand New Lover	Dead Or Alive
Ballerina Girl	Lionel Richie
Come Go With Me	Expose
The Final Countdown	Europe
Touch Me (I Want Your Body)	Samantha Fox
Candy	Cameo
Don't Dream It's Over	Crowded House
Let's Go!	Wang Chung
Love You Down	Ready For The World
Nobody's Fool	Cinderella
Open Your Heart	Madonna
At This Moment	Billy Vera & The Beaters
Midnight Blue	Lou Gramm
Stop To Love	Luther Vandross
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
What You Get Is What You See	Tina Turner
As We Lay	Shirley Murdock
That Ain't Love	REO Speedwagon
We Connect	Stacey Q
Change Of Heart	Cyndi Lauper
Don't Need A Gun	Billy Idol
Facts Of Love	Jeff Lorber & Karyn White
Talk To Me	Chico DeBarge
Don't Leave Me This Way	The Communards
The Finer Things	Steve Winwood
The Honeythief	Hipsway
Skin Trade	Duran Duran
Can't Help Falling In Love	Corey Hart
Walking Down Your Street	The Bangles
Fire	Bruce Springsteen
Shelter	Lone Justice
Stone Love	Kool & The Gang
Dominoes	Robbie Nevil
C'est La Vie	Robbie Nevil
Ain't So Easy	David & David
We're Ready	Boston
Cry Wolf	a-ha
Come As You Are	Peter Wolf
Stay The Night	Benjamin Orr
Smoking Gun	The Robert Cray Band
Serious	Donna Allen
Shake You Down	Gregory Abbott
Sign 'O' The Times	Prince
Light Of Day	The Barbusters (Joan Jett And The Blackhearts)
Someday	Glass Tiger
Winner Takes It All	Sammy Hagar
Coming Up Close	'Til Tuesday
My Baby	Pretenders
Land Of Confusion	Genesis
I Will Be There	Glass Tiger
The Lady In Red	Chris de Burgh
Nothing's Gonna Change My Love For You	Glenn Medeiros
How Much Love	Survivor
Caught Up In The Rapture	Anita Baker
Ship Of Fools (Save Me From Tomorrow)	World Party
Have You Ever Loved Somebody	Freddie Jackson
Boom Boom (Let's Go Back To My Room)	Paul Lekakis
Can'tcha Say (You Believe In Me)/Still In Love	Boston
Dance	Ratt
I Got The Feelin' (It's Over)	Gregory Abbott
Hooked On You	Sweet Sensation
Kiss You (When It's Dangerous)	Eight Seconds
Hold Me	Sheila E.
(I Just) Died In Your Arms	Cutting Crew
Sexappeal	Georgio
Looking For A New Love	Jody Watley
The Right Thing	Simply Red
Never Enough	Patty Smyth
Showing Out (Get Fresh At The Weekend)	Mel & Kim
Show Me	The Cover Girls
It's Tricky	Run-D.M.C.
Keep Your Eye On Me	Herb Alpert
Someone Like You	Daryl Hall
Without Your Love	Toto
The Boy In The Bubble	Paul Simon
(I Know) I'm Losing You	Uptown
So Much For Love	The Venetians
Deep River Woman	Lionel Richie
Meet Me Half Way	Kenny Loggins
Power	Kansas
Boy Toy	Tia
This Is The Time	Billy Joel
Hold Me	Colin James Hay
If I Say Yes	Five Star
