Rise	Herb Alpert
Don't Stop 'til You Get Enough	Michael Jackson
Pop Muzik	M
Sail On	Commodores
I'll Never Love This Way Again	Dionne Warwick
Dim All The Lights	Donna Summer
Sad Eyes	Robert John
My Sharona	The Knack
Heartache Tonight	Eagles
Still	Commodores
Heaven Must Have Sent You	Bonnie Pointer
You Decorated My Life	Kenny Rogers
Lonesome Loser	Little River Band
Dirty White Boy	Foreigner
Tusk	Fleetwood Mac
Please Don't Go	KC And The Sunshine Band
Spooky	Atlanta Rhythm Section
Lovin', Touchin', Squeezin'	Journey
Good Girls Don't	The Knack
Hold On	Ian Gomm
Get It Right Next Time	Gerry Rafferty
Come To Me	France Joli
Where Were You When I Was Falling In Love	Lobo
I Know A Heartache When I See One	Jennifer Warnes
This Night Won't Last Forever	Michael Johnson
Babe	Styx
Gotta Serve Somebody	Bob Dylan
Midnight Wind	John Stewart
Cruel To Be Kind	Nick Lowe
After The Love Has Gone	Earth, Wind & Fire
Dependin' On You	The Doobie Brothers
If You Remember Me	Chris Thompson & Night
So Good, So Right	Brenda Russell
Broken Hearted Me	Anne Murray
Ships	Barry Manilow
Found A Cure	Ashford & Simpson
You're Only Lonely	J.D. Souther
Fins	Jimmy Buffett
Don't Bring Me Down	Electric Light Orchestra
Rainbow Connection	Kermit (Jim Henson)
Born To Be Alive	Patrick Hernandez
Street Life	The Crusaders
Please Don't Leave	Lauren Wood
The Boss	Diana Ross
Victim Of Love	Elton John
Arrow Through Me	Wings
Sure Know Something	KISS
Let Me Know (I Have A Right)	Gloria Gaynor
Half The Way	Crystal Gayle
5:15	The Who
Lead Me On	Maxine Nightingale
Reason To Be	Kansas
Dreaming	Blondie
Take The Long Way Home	Supertramp
Better Love Next Time	Dr. Hook
Starry Eyes	The Records
Dream Police	Cheap Trick
Do You Think I'm Disco?	Steve Dahl And Teenage Radiation
No More Tears (Enough Is Enough)	Barbra Streisand/Donna Summer
My Forbidden Lover	Chic
I Need A Lover	John Cougar
Damned If I Do	The Alan Parsons Project
I Want You Tonight	Pablo Cruise
If You Want It	Niteflyte
Who Listens To The Radio	The Sports
Rolene	Moon Martin
Bad Case Of Loving You (Doctor, Doctor)	Robert Palmer
Driver's Seat	Sniff 'n' the Tears
Cruisin'	Smokey Robinson
Highway To Hell	AC/DC
It's All I Can Do	The Cars
Ladies Night	Kool & The Gang
Cool Change	Little River Band
Pretty Girls	Melissa Manchester
Confusion	Electric Light Orchestra
Love Pains	Yvonne Elliman
Plain Jane	Sammy Hagar
Slip Away	Ian Lloyd
We Don't Talk Anymore	Cliff Richard
In The Stone	Earth, Wind & Fire
Get It Up	Ronnie Milsap
This Is It	Kenny Loggins
Hey Hey, My My (Into The Black)	Neil Young & Crazy Horse
Good Friend	Mary Macgregor
Escape (The Pina Colada Song)	Rupert Holmes
Do That To Me One More Time	Captain & Tennille
Touch Me When We're Dancing	Bama
I've Never Been In Love	Suzi Quatro
Train, Train	Blackfoot
She's Got A Whole Number	Keith Herman
Fooled By A Feeling	Barbara Mandrell
You Stepped Into My Life	Wayne Newton
It's A Disco Night (Rock Don't Stop)	The Isley Brothers
Different Worlds	Maureen McGovern
Since You've Been Gone	Cherie & Marie Currie
I Do Love You	GQ
The Devil Went Down To Georgia	The Charlie Daniels Band
What Cha Gonna Do With My Lovin'	Stephanie Mills
Angeleyes	ABBA
Good Times	Chic
