Wannabe	Spice Girls
Can't Nobody Hold Me Down	Puff Daddy (Featuring Mase)
Un-Break My Heart	Toni Braxton
Foolish Games/You Were Meant For Me	Jewel
I Believe I Can Fly (From "Space Jam")	R. Kelly
In My Bed	Dru Hill
Don't Let Go (Love)	En Vogue
Every Time I Close My Eyes	Babyface
Don't Cry For Me Argentina (From "Evita")	Madonna
Nobody	Keith Sweat Featuring Athena Cage
I Believe In You And Me (From "The Preacher's Wife")	Whitney Houston
Get It Together	702
Cold Rock A Party	MC Lyte
Ooh Aah... Just A Little Bit	Gina G
On & On	Erykah Badu
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
No Diggity	BLACKstreet (Featuring Dr. Dre)
Barely Breathing	Duncan Sheik
Da' Dip	Freak Nasty
Discotheque	U2
Big Daddy	Hev-D
I'm Still In Love With You	New Edition
I Want You	Savage Garden
Please Don't Go	No Mercy
I Like It	The Blackout Allstars
What's On Tonight	Montell Jordan
When You're Gone/Free To Decide	The Cranberries
Where Do You Go	No Mercy
Things'll Never Change/Rapper's Ball	E-40 Featuring Bo-Rock
Return Of The Mack	Mark Morrison
Mouth	Merril Bainbridge
Firestarter	The Prodigy
When You Love A Woman	Journey
What They Do	The Roots
If It Makes You Happy	Sheryl Crow
I Love You Always Forever	Donna Lewis
Watch Me Do My Thing (From "All That")	Immature Featuring Smooth And Ed From Good Burger
Let Me Clear My Throat	DJ Kool
Change The World	Eric Clapton
This Is Your Night	Amber
Say... If You Feel Alright	Crystal Waters
Whateva Man	Redman
Naked Eye	Luscious Jackson
Twisted	Keith Sweat
It's All Coming Back To Me Now	Celine Dion
No Time	Lil' Kim Featuring Puff Daddy
Last Night (From "The Nutty Professor")	Az Yet
You're Makin' Me High/Let It Flow	Toni Braxton
Pony	Ginuwine
Luchini aka (This Is It)	Camp Lo
Just Another Day	John Mellencamp
I Finally Found Someone (From "The Mirror Has Two Faces")	Barbra Streisand & Bryan Adams
Falling In Love (Is Hard On The Knees)	Aerosmith
Desperately Wanting	Better Than Ezra
Let It Go (From "Set It Off")	Ray J
It's Your Body	Johnny Gill Featuring Roger Troutman
Do G's Get To Go To Heaven?	Richie Rich
Cupid	112
The Theme (It's Party Time)	Tracey Lee
You Must Love Me (From "Evita")	Madonna
Nothin' But The Cavi Hit (From "Rhyme & Reason")	Mack 10 & Tha Dogg Pound
Thirty-Three	The Smashing Pumpkins
Talk To Me	Wild Orchid
It's Alright, It's Ok	Leah Andreone
The Freshmen	The Verve Pipe
Space Jam (From "Space Jam")	Quad City DJ's
Fly Like An Eagle (From "Space Jam")	Seal
I'm Not Giving You Up	Gloria Estefan
Barrel Of A Gun	Depeche Mode
Tears	The Isley Brothers
I Always Feel Like (Somebody's Watching Me)	Tru Featuring Ice Cream Man (Master P)
Gangstas Make The World Go Round	Westside Connection
If We Fall In Love Tonight	Rod Stewart
Get Up	Lost Boyz
Don't Stop Movin'	Livin' Joy
This Is For The Lover In You	Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels
Knocks Me Off My Feet	Donell Jones
We Danced Anyway	Deana Carter
I'm Not Feeling You	Yvette Michele
Come See Me	112
It's All About U	SWV
Here's Your Sign (Get The Picture)	Bill Engvall With Special Guest Travis Tritt
Call Me	Le Click
ATLiens	OutKast
Never Leave Me Alone	Nate Dogg Featuring Snoop Doggy Dogg
Without Love	Donna Lewis
Take Your Time	Tre
It's In Your Eyes	Phil Collins
Colour Of Love	Amber
King Nothing	Metallica
Hero Of The Day	Metallica
Fired Up!	Funky Green Dogs
Between You And Me	dc Talk
Ain't Nobody (From "Beavis And Butt-Head Do America")	LL Cool J
Havana	Kenny G
I Fell In Love	Rockell
Friends	John Michael Montgomery
Without Your Love	Angelina
I'll Be	Foxy Brown Featuring Jay-Z
Runnin'	2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch
