Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Runaway	Janet Jackson
Kiss From A Rose	Seal
Tell Me	Groove Theory
As I Lay Me Down	Sophie B. Hawkins
Only Wanna Be With You	Hootie & The Blowfish
You Are Not Alone	Michael Jackson
Back For Good	Take That
Roll To Me	Del Amitri
Who Can I Run To	Xscape
Name	Goo Goo Dolls
Brokenhearted	Brandy
Carnival	Natalie Merchant
I Can Love You Like That	All-4-One
Run-Around	Blues Traveler
Waterfalls	TLC
Do You Sleep?	Lisa Loeb & Nine Stories
I'd Lie For You (And That's The Truth)	Meat Loaf
I Got 5 On It	Luniz
Breakfast At Tiffany's	Deep Blue Something
I'll Be There For You/This House Is Not A Home	The Rembrandts
December	Collective Soul
Before You Walk Out Of My Life/Like This And Like That	Monica
Pretty Girl	Jon B
Dreaming Of You	Selena
Boombastic/In The Summertime	Shaggy
Sentimental	Deborah Cox
Let Me Be The One	Blessid Union Of Souls
Comedown	Bush
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
He's Mine	MoKenStef
Sugar Hill	AZ
'Til You Do Me Right	After 7
1st Of Tha Month	Bone Thugs-N-Harmony
Don't Take It Personal (Just One Of Dem Days)	Monica
Incarcerated Scarfaces/Ice Cream	Raekwon
Ain't Nuthin' But A She Thing	Salt-N-Pepa
Anything	3T
A Girl Like You (From "Empire Records")	Edwyn Collins
Someone To Love	Jon B. Featuring Babyface
Heaven	Solo
How High (From "The Show")	Redman/Method Man
Missing	Everything But The Girl
Let Her Cry	Hootie & The Blowfish
Macarena (Bayside Boys Mix)	Los Del Rio
Feel The Funk (From "Dangerous Minds")	Immature
I Like It, I Love It	Tim McGraw
I Wanna B With U	Fun Factory
Water Runs Dry	Boyz II Men
Throw Your Set In The Air	Cypress Hill
Cell Therapy	Goodie Mob
I Hate U	Prince
Summertime In The LBC (From "The Show")	The Dove Shack
Automatic Lover (Call For Love)	Real McCoy
Liquid Swords	Genius/GZA
One More Chance/Stay With Me	The Notorious B.I.G.
Can I Touch You...There?	Michael Bolton
Set U Free	Planet Soul
Danger	Blahzay Blahzay
Hook	Blues Traveler
Come With Me	Shai
Good	Better Than Ezra
Vibin'	Boyz II Men
A Mover La Colita	Artie The 1 Man Party
Brown Sugar	D'Angelo
Player's Anthem	Junior M.A.F.I.A.
Runnin'	The Pharcyde
Boom Boom Boom	The Outhere Brothers
You Used To Love Me	Faith Evans
Magic Carpet Ride	The Mighty Dub Katz
Runaway	The Corrs
East Side Rendezvous	Frost
I Miss You (Come Back Home) (From "New York Undercover")	Monifah
Where Ever You Are	Terry Ellis
Solitude	Edwin McCain
Already Missing You	Gerald Levert & Eddie Levert, Sr.
Downtown Venus	P.M. Dawn
Hooked On You	Silk
MC's Act Like They Don't Know	KRS-One
Sexual Healing	Max-A-Million
We've Got It Goin' On	Backstreet Boys
Somethin' 4 Da Honeyz	Montell Jordan
Bomdigi	Erick Sermon
Real Hip Hop	Das EFX
Forever Tonight	Peter Cetera & Crystal Bernard
Blessed	Elton John
Wings Of The Morning	Capleton
Cruisin'	D'Angelo
Love U 4 Life	Jodeci
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Temptations	2Pac
Molly (Sixteen Candles)	Sponge
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain
West Up!	WC & The Maad Circle
Sittin' On Chrome	Masta Ace Incorporated
Crazy Cool	Paula Abdul
Can't Cry Anymore	Sheryl Crow
(You Make Me Feel Like) A Natural Woman (From "New York Undercover")	Mary J. Blige
