Happy	Pharrell Williams
All Of Me	John Legend
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Turn Down For What	DJ Snake & Lil Jon
Let It Go	Idina Menzel
Fancy	Iggy Azalea Featuring Charli XCX
Pompeii	Bastille
Not A Bad Thing	Justin Timberlake
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Best Day Of My Life	American Authors
Counting Stars	OneRepublic
Team	Lorde
Ain't It Fun	Paramore
Play It Again	Luke Bryan
Sing	Ed Sheeran
The Man	Aloe Blacc
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
La La La	Naughty Boy Featuring Sam Smith
Hey Brother	Avicii
Timber	Pitbull Featuring Ke$ha
Bottoms Up	Brantley Gilbert
Na Na	Trey Songz
Animals	Martin Garrix
Show Me	Kid Ink Featuring Chris Brown
Summer	Calvin Harris
Classic	MKTO
Story Of My Life	One Direction
Me And My Broken Heart	Rixton
Let Her Go	Passenger
Partition	Beyonce
Wake Me Up!	Avicii
Burn	Ellie Goulding
Demons	Imagine Dragons
Wild Wild Love	Pitbull Featuring G.R.L.
Neon Lights	Demi Lovato
Birthday	Katy Perry
Human	Christina Perri
Give Me Back My Hometown	Eric Church
Say Something	A Great Big World & Christina Aguilera
The Monster	Eminem Featuring Rihanna
Drunk In Love	Beyonce Featuring Jay Z
The Worst	Jhene Aiko
Royals	Lorde
Get Me Some Of That	Thomas Rhett
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
She Looks So Perfect	5 Seconds Of Summer
Drink To That All Night	Jerrod Niemann
Radioactive	Imagine Dragons
Cop Car	Keith Urban
Sleeping With A Friend	Neon Trees
Trophies	Young Money Featuring Drake
Rewind	Rascal Flatts
Am I Wrong	Nico & Vinz
Mmm Yeah	Austin Mahone Featuring Pitbull
Automatic	Miranda Lambert
Latch	Disclosure Featuring Sam Smith
Beat Of The Music	Brett Eldredge
Magic	Coldplay
Red Lights	Tiesto
#SELFIE	The Chainsmokers
Beachin'	Jake Owen
Stoner	Young Thug
Who Do You Love?	YG Featuring Drake
Midnight	Coldplay
Paranoid	Ty Dolla $ign Featuring B.o.B
Stay With Me	Sam Smith
19 You + Me	Dan + Shay
Can't Remember To Forget You	Shakira Featuring Rihanna
The Walker	Fitz And The Tantrums
Empire	Shakira
Lettin' The Night Roll	Justin Moore
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Come With Me Now	KONGOS
Hello Kitty	Avril Lavigne
Doin' What She Likes	Blake Shelton
Man Of The Year	ScHoolboy Q
John Doe	B.o.B Featuring Priscilla
Whiskey In My Water	Tyler Farr
I Don't Dance	Lee Brice
Raging Fire	Phillip Phillips
For The First Time In Forever	Kristen Bell & Idina Menzel
You & I	One Direction
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Goodnight Kiss	Randy Houser
On Top Of The World	Imagine Dragons
Invisible	Hunter Hayes
Part II (On The Run)	Jay Z Featuring Beyonce
Girls Chase Boys	Ingrid Michaelson
Cut Her Off	KCamp Featuring 2 Chainz
I Hold On	Dierks Bentley
Stay With Me	Josh Kaufman
Headlights	Eminem Featuring Nate Ruess
Who I Am With You	Chris Young
We Dem Boyz	Wiz Khalifa
We Are Tonight	Billy Currington
Rude	MAGIC!
Yeah	Joe Nichols
Wake Up Lovin' You	Craig Morgan
I Won	Future Featuring Kanye West
