Mandy	Barry Manilow
Please Mr. Postman	Carpenters
Laughter In The Rain	Neil Sedaka
You're The First, The Last, My Everything	Barry White
Lucy In The Sky With Diamonds	Elton John
Boogie On Reggae Woman	Stevie Wonder
Junior's Farm/Sally G	Paul McCartney And Wings
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Morning Side Of The Mountain	Donny & Marie Osmond
Never Can Say Goodbye	Gloria Gaynor
Fire	Ohio Players
Only You	Ringo Starr
Doctor's Orders	Carol Douglas
Pick Up The Pieces	AWB
Some Kind Of Wonderful	Grand Funk
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Bungle In The Jungle	Jethro Tull
Best Of My Love	Eagles
Kung Fu Fighting	Carl Douglas
You're No Good	Linda Ronstadt
Angie Baby	Helen Reddy
Ride 'em Cowboy	Paul Davis
Black Water	The Doobie Brothers
Free Bird	Lynyrd Skynyrd
Struttin'	Billy Preston
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
From His Woman To You	Barbara Mason
#9 Dream	John Lennon
Sweet Surrender	John Denver
I Belong To You	Love Unlimited
Ready	Cat Stevens
Dark Horse	George Harrison
The Entertainer	Billy Joel
Cat's In The Cradle	Harry Chapin
Nightingale	Carole King
Lonely People	America
Your Bulldog Drinks Champagne	Jim Stafford
Lady	Styx
My Eyes Adored You	Frankie Valli
Can't Get It Out Of My Head	Electric Light Orchestra
You Got The Love	Rufus Featuring Chaka Khan
Happy People	The Temptations
Ruby, Baby	Billy "Crash" Craddock
Changes	David Bowie
Sha-La-La (Make Me Happy)	Al Green
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Sunshine Part II	The O'Jays
Sugar Pie Guy Pt. 1	The Joneses
Baby, Hang Up The Phone	Carl Graves
Big Yellow Taxi	Joni Mitchell
As Long As He Takes Care Of Home	Candi Staton
Must Of Got Lost	The J. Geils Band
When Will I See You Again	The Three Degrees
I'm A Woman	Maria Muldaur
Dancin' Fool	The Guess Who
Do It ('til You're Satisfied)	B.T. Express
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
Ding Dong; Ding Dong	George Harrison
When A Child Is Born	Michael Holm
I Can Help	Billy Swan
Woman To Woman	Shirley Brown
Day Tripper	Anne Murray
Promised Land	Elvis Presley
I Am I Am	Smokey Robinson
I've Got The Music In Me	The Kiki Dee Band
Roll On Down The Highway	Bachman-Turner Overdrive
Hoppy, Gene And Me	Roy Rogers
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Movin' On	Bad Company
Wishing You Were Here	Chicago
Poetry Man	Phoebe Snow
Fairytale	The Pointer Sisters
You Are So Beautiful/It's A Sin When You Love Somebody	Joe Cocker
Ain't That Peculiar	Diamond Reo
Don't Take Your Love	The Manhattans
Midnight Sky (Part 1)	The Isley Brothers
Sad Sweet Dreamer	Sweet Sensation
Rhyme Tyme People	Kool & The Gang
Lovin' You	Minnie Riperton
Gee Baby	Peter Shelley
Costafine Town	Splinter
Future Shock	Hello People
Lady Marmalade	Labelle
One Tear	Eddie Kendricks
Up In A Puff Of Smoke	Polly Brown
I Am Love (Parts I & II)	Jackson 5
Shame, Shame, Shame	Shirley And Company
Star On A TV Show	The Stylistics
Hot Dawgit	Ramsey Lewis And Earth, Wind & Fire
Let Me Start Tonite	Lamont Dozier
Love Don't You Go Through No Changes On Me	Sister Sledge
Heartbreak Road	Bill Withers
Never Let Her Go	David Gates
What A Man, My Man Is	Lynn Anderson
I Won't Last A Day Without You/Let Me Be The One	Al Wilson
Thanks For The Smiles	Charlie Ross
Crazy Talk	Chilliwack
She's Gone	Tavares
It's All Right	Jim Capaldi
