Livin' La Vida Loca	Ricky Martin
No Scrubs	TLC
Kiss Me	Sixpence None The Richer
Fortunate	Maxwell
Where My Girls At?	702
Every Morning	Sugar Ray
Who Dat	JT Money Featuring Sole
If You Had My Love	Jennifer Lopez
Believe	Cher
808	Blaque
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Chante's Got A Man	Chante Moore
That Don't Impress Me Much	Shania Twain
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Give It To You	Jordan Knight
What It's Like	Everlast
I Want It That Way	Backstreet Boys
Please Remember Me	Tim McGraw
Slide	Goo Goo Dolls
Anywhere	112 Featuring Lil'z
The Hardest Thing	98 Degrees
Sweet Lady	Tyrese
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
Fly Away	Lenny Kravitz
Almost Doesn't Count	Brandy
Angel Of Mine	Monica
If You (Lovin' Me)	Silk
You Won't Ever Be Lonely	Andy Griggs
Back 2 Good	matchbox 20
Write This Down	George Strait
...Baby One More Time	Britney Spears
Angel	Sarah McLachlan
Two Teardrops	Steve Wariner
All I Have To Give	Backstreet Boys
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Man! I Feel Like A Woman!	Shania Twain
Ex-Factor	Lauryn Hill
Anyone Else	Collin Raye
Praise You	Fatboy Slim
My Favorite Girl	Dave Hollister
Save Tonight	Eagle-Eye Cherry
You	Jesse Powell
We Like To Party!	Vengaboys
Wish You Were Here	Mark Wills
Holla Holla	Ja Rule
How Forever Feels	Kenny Chesney
I Still Believe	Mariah Carey
All Star	Smash Mouth
Sitting Home	Total
It's Not Right But It's Okay	Whitney Houston
With You	Lila McCann
Whatever You Say	Martina McBride
Anything But Down	Sheryl Crow
No Pigeons	Sporty Thievz Featuring Mr. Woods
Hands Of A Working Man	Ty Herndon
What'd You Come Here For?	Trina & Tamara
Sometimes	Britney Spears
My First Night With You	Mya
Tonight The Heartache's On Me	Dixie Chicks
Special	Garbage
Blue Monday	Orgy
What's So Different	Ginuwine
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
My Own Worst Enemy	Lit
Hillbilly Shoes	Montgomery Gentry
I Will Remember You (Live)	Sarah McLachlan
Nann	Trick Daddy Featuring Trina
Georgy Porgy	Eric Benet Featuring Faith Evans
All Night Long	Faith Evans Featuring Puff Daddy
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Did You Ever Think	R. Kelly
Life	K-Ci & JoJo
I Drive Myself Crazy	'N Sync
I'll Think Of A Reason Later	Lee Ann Womack
Strong Enough	Cher
Gone Crazy	Alan Jackson
A Night To Remember	Joe Diffie
Better Days (And The Bottom Drops Out)	Citizen King
It's Over Now	Deborah Cox
One	Creed
One Honest Heart	Reba
Hate Me Now	Nas Featuring Puff Daddy
Why Don't You Get A Job?	The Offspring
Last Kiss	Pearl Jam
Stranger In My Mirror	Randy Travis
Tell Me It's Real	K-Ci & JoJo
Little Good-Byes	SHeDAISY
You Were Mine	Dixie Chicks
C'est La Vie	B*Witched
She's A Bitch	Missy "Misdemeanor" Elliott
Ordinary Life	Chad Brock
Maybe Not Tonight	Sammy Kershaw & Lorrie Morgan
Single White Female	Chely Wright
Drive Me Wild	Sawyer Brown
When I Close My Eyes	Shanice
Heavy	Collective Soul
Stay The Same	Joey McIntyre
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
Crush	Dave Matthews Band
One More Try	Divine
