Rude	MAGIC!
Fancy	Iggy Azalea Featuring Charli XCX
Stay With Me	Sam Smith
Am I Wrong	Nico & Vinz
Problem	Ariana Grande Featuring Iggy Azalea
Maps	Maroon 5
Latch	Disclosure Featuring Sam Smith
All Of Me	John Legend
Chandelier	Sia
Summer	Calvin Harris
Happy	Pharrell Williams
Burnin' It Down	Jason Aldean
Boom Clap	Charli XCX
Wiggle	Jason Derulo Featuring Snoop Dogg
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Shower	Becky G
Love Runs Out	OneRepublic
Turn Down For What	DJ Snake & Lil Jon
Rather Be	Clean Bandit Featuring Jess Glynne
Dark Horse	Katy Perry Featuring Juicy J
Break Free	Ariana Grande Featuring Zedd
Dirt	Florida Georgia Line
Come Get It Bae	Pharrell Williams
2 On	Tinashe Featuring ScHoolboy Q
American Kids	Kenny Chesney
Classic	MKTO
Drunk On A Plane	Dierks Bentley
All About That Bass	Meghan Trainor
Black Widow	Iggy Azalea Featuring Rita Ora
Really Don't Care	Demi Lovato Featuring Cher Lloyd
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Counting Stars	OneRepublic
I Don't Dance	Lee Brice
Bartender	Lady Antebellum
Ain't It Fun	Paramore
Pompeii	Bastille
Believe Me	Lil Wayne Featuring Drake
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
Come With Me Now	KONGOS
Don't Tell 'Em	Jeremih Featuring YG
A Sky Full Of Stars	Coldplay
Talk Dirty	Jason Derulo Featuring 2 Chainz
Yeah	Joe Nichols
Habits (Stay High)	Tove Lo
Na Na	Trey Songz
Pills N Potions	Nicki Minaj
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Not A Bad Thing	Justin Timberlake
No Mediocre	T.I. Featuring Iggy Azalea
Me And My Broken Heart	Rixton
We Dem Boyz	Wiz Khalifa
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Leave The Night On	Sam Hunt
Wasted	Tiesto Featuring Matthew Koma
Play It Again	Luke Bryan
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Beachin'	Jake Owen
She Looks So Perfect	5 Seconds Of Summer
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Main Chick	Kid Ink Featuring Chris Brown
Girls Chase Boys	Ingrid Michaelson
We Are Tonight	Billy Currington
0 To 100 / The Catch Up	Drake
River Bank	Brad Paisley
Who I Am With You	Chris Young
Cool Kids	Echosmith
Where It's At (Yep, Yep)	Dustin Lynch
Sing	Ed Sheeran
Love Never Felt So Good	Michael Jackson & Justin Timberlake
V. 3005	Childish Gambino
Cut Her Off	KCamp Featuring 2 Chainz
Roller Coaster	Luke Bryan
I'm Ready	AJR
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Riptide	Vance Joy
Good Kisser	Usher
Ready Set Roll	Chase Rice
Hope You Get Lonely Tonight	Cole Swindell
Work	Iggy Azalea
Trumpets	Jason Derulo
Amnesia	5 Seconds Of Summer
Who Do You Love?	YG Featuring Drake
Hideaway	Kiesza
Don't	Ed Sheeran
Sunshine & Whiskey	Frankie Ballard
My Eyes	Blake Shelton Featuring Gwen Sebastian
New Flame	Chris Brown Featuring Usher & Rick Ross
Birthday	Katy Perry
Bo$$	Fifth Harmony
Tennis Court	Lorde
Word Crimes	"Weird Al" Yankovic
Happy Little Pill	Troye Sivan
Fight Night	Migos
Song About A Girl	Eric Paslay
Stolen Dance	Milky Chance
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Foreign	Trey Songz
Dare (La La La)	Shakira
Dust	Eli Young Band
Whiskey In My Water	Tyler Farr
