Running Bear	Johnny Preston
Why	Frankie Avalon
El Paso	Marty Robbins
The Big Hurt	Miss Toni Fisher
Way Down Yonder In New Orleans	Freddie Cannon
Go, Jimmy, Go	Jimmy Clanton
Teen Angel	Mark Dinning
The Village Of St. Bernadette	Andy Williams
Pretty Blue Eyes	Steve Lawrence
Among My Souvenirs	Connie Francis
It's Time To Cry	Paul Anka
Heartaches By The Number	Guy Mitchell
Where Or When	Dion & The Belmonts
You Got What It Takes	Marv Johnson
Hound Dog Man	Fabian
Sandy	Larry Hall
Smokie - Part 2	Bill Black's Combo
Not One Minute More	Della Reese
Mack The Knife	Bobby Darin
Down By The Station	The Four Preps
This Friendly World	Fabian
First Name Initial	Annette With The Afterbeats
We Got Love	Bobby Rydell
He'll Have To Go	Jim Reeves
Handy Man	Jimmy Jones
Bonnie Came Back	Duane Eddy His Twangy Guitar And The Rebels
Lucky Devil	Carl Dobkins, Jr.
Scarlet Ribbons (For Her Hair)	The Browns
Tracy's Theme	Spencer Ross
What In The World's Come Over You	Jack Scott
Lonely Blue Boy	Conway Twitty
Tear Drop	Santo & Johnny
If I Had A Girl	Rod Lauren
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
Just Come Home	Hugo & Luigi
I Wanna Be Loved	Ricky Nelson
So Many Ways	Brook Benton
How About That	Dee Clark
Come Into My Heart	Lloyd Price and His Orchestra
Oh! Carol	Neil Sedaka
Talk That Talk	Jackie Wilson
A Year Ago Tonight	The Crests
The Theme From "A Summer Place"	Percy Faith And His Orchestra
In The Mood	Ernie Fields & Orch.
Run Red Run	The Coasters
Uh! Oh! Part 2	The Nutty Squirrels
Little Things Mean A Lot	Joni James
Let's Try Again	Clyde McPhatter
Baciare Baciare (Kissing Kissing)	Dorothy Collins
Sweet Nothin's	Brenda Lee
Mighty Good	Ricky Nelson
Little Coco Palm	Jerry Wallace
Mary Don't You Weep	Stonewall Jackson
The Little Drummer Boy	The Harry Simeone Chorale
No Love Have I	Webb Pierce
What About Us	The Coasters
Honey Hush	Joe Turner
Believe Me	Royal Teens
Crazy Arms	Bob Beckham
T.L.C. Tender Love And Care	Jimmie Rodgers
Let It Be Me	The Everly Brothers
Danny Boy	Conway Twitty
Be My Guest	Fats Domino
Harlem Nocturne	The Viscounts
Swingin' On A Rainbow	Frankie Avalon
This Time Of The Year	Brook Benton
Marina	Rocco Granata and the International Quintet
I Don't Know What It Is	The Bluenotes
Bulldog	The Fireballs
Skokiaan (South African Song)	Bill Haley And His Comets
Dance With Me	The Drifters
God Bless America	Connie Francis
Rockin' Little Angel	Ray Smith
Beyond The Sea	Bobby Darin
Waltzing Matilda	Jimmie Rodgers
Climb Ev'ry Mountain	Tony Bennett
Darling Lorraine	The Knockouts
Always	Sammy Turner
Reveille Rock	Johnny And The Hurricanes
Misty	Johnny Mathis
Marina	Willy Alberti
Let The Good Times Roll	Ray Charles
Riverboat	Faron Young
Why Do I Love You So	Johnny Tillotson
In The Still Of The Nite	The Five Satins
Am I That Easy To Forget	Debbie Reynolds
Tell Her For Me	Adam Wade
Amapola	Jacky Noguez And His Orchestra
Too Much Tequila	The Champs
One Mint Julep	Chet Atkins
Cry Me A River	Janice Harper
Don't You Know	Della Reese
Teenage Hayride	Tender Slim
Mr. Blue	The Fleetwoods
I Forgot More Than You'll Ever Know	Sonny James
Up Town	Roy Orbison
Time After Time	Frankie Ford
The Clouds	The Spacemen
The Happy Muleteer	Ivo Robic
Since I Made You Cry	The Rivieras
