Smooth	Santana Featuring Rob Thomas
Satisfy You	Puff Daddy Featuring R. Kelly
Heartbreaker	Mariah Carey Featuring Jay-Z
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Unpretty	TLC
Music Of My Heart	'N Sync & Gloria Estefan
I Need To Know	Marc Anthony
My Love Is Your Love	Whitney Houston
We Can't Be Friends	Deborah Cox With R.L.
Scar Tissue	Red Hot Chili Peppers
Someday	Sugar Ray
Back At One	Brian McKnight
Genie In A Bottle	Christina Aguilera
Steal My Sunshine	Len
Where My Girls At?	702
(You Drive Me) Crazy	Britney Spears
I Do (Cherish You)	98 Degrees
If I Could Turn Back The Hands Of Time	R. Kelly
All Star	Smash Mouth
She's All I Ever Had	Ricky Martin
Get Gone	Ideal
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Black Balloon	Goo Goo Dolls
U Know What's Up	Donell Jones
Waiting For Tonight	Jennifer Lopez
Vivrant Thing	Q-Tip
Bailamos	Enrique Iglesias
I Want It All	Warren G Featuring Mack 10
I Love You	Martina McBride
Larger Than Life	Backstreet Boys
She's So High	Tal Bachman
Spend My Life With You	Eric Benet Featuring Tamia
I Wanna Love You Forever	Jessica Simpson
Something Like That	Tim McGraw
Man! I Feel Like A Woman!	Shania Twain
There She Goes	Sixpence None The Richer
I Want It That Way	Backstreet Boys
Bug A Boo	Destiny's Child
Gotta Man	Eve
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Candy	Mandy Moore
I'm Already Taken	Steve Wariner
Stay The Night	IMx
So Anxious	Ginuwine
What Do You Say To That	George Strait
Lonely And Gone	Montgomery Gentry
Ready To Run	Dixie Chicks
I Knew I Loved You	Savage Garden
American Woman	Lenny Kravitz
If You Had My Love	Jennifer Lopez
Big Deal	LeAnn Rimes
Higher	Creed
Home To You	John Michael Montgomery
Meet Virginia	Train
Lost In You	Garth Brooks as Chris Gaines
Out Of My Head	Fastball
Angels Would Fall	Melissa Etheridge
When I Said I Do	Clint Black
15 Minutes	Marc Nelson
Will 2K	Will Smith Featuring K-Ci
Bills, Bills, Bills	Destiny's Child
She's In Love	Mark Wills
Bring It All To Me	Blaque
Never Gonna Let You Go	Faith Evans
I'll Go Crazy	Andy Griggs
What's My Age Again?	Blink-182
Come On Over	Shania Twain
Learn To Fly	Foo Fighters
Guerrilla Radio	Rage Against The Machine
Girls' Best Friend	JAY-Z
All Things Considered	Yankee Grey
You Had Me From Hello	Kenny Chesney
He Didn't Have To Be	Brad Paisley
Got Your Money	Ol' Dirty Bastard Featuring Kelis
The Chemicals Between Us	Bush
What Ya Want	EVE & Nokio
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
The Dolphin's Cry	Live
U Don't Know Me (Like U Used To)	Brandy
Get It On Tonite	Montell Jordan
You'll Be In My Heart	Phil Collins
Cowboy	Kid Rock
Then The Morning Comes	Smash Mouth
4, 5, 6	Sole Featuring JT Money & Kandi
I Could Not Ask For More	Edwin McCain
Lightning Does The Work	Chad Brock
Summer Girls	LFO
What Do You Say	Reba
Missing You	Brooks & Dunn
Give You What You Want (Fa Sure)	Chico DeBarge
It's All About You (Not About Me)	Tracie Spencer
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
Beauty	Dru Hill
Little Man	Alan Jackson
The Greatest Romance Ever Sold	Prince
Jigga My N****	JAY-Z
Steam	Ty Herndon
Sexual (Li Da Di)	Amber
Simon Says	Pharoahe Monch
Meeting In My Bedroom	Silk
