Can't Fight This Feeling	REO Speedwagon
The Heat Is On	Glenn Frey
Material Girl	Madonna
California Girls	David Lee Roth
One More Night	Phil Collins
Too Late For Goodbyes	Julian Lennon
Careless Whisper	Wham! Featuring George Michael
Lover Girl	Teena Marie
Private Dancer	Tina Turner
Relax	Frankie Goes To Hollywood
Only The Young	Journey
Neutron Dance	The Pointer Sisters
Misled	Kool & The Gang
High On You	Survivor
I Want To Know What Love Is	Foreigner
Save A Prayer	Duran Duran
Sugar Walls	Sheena Easton
Just Another Night	Mick Jagger
The Old Man Down The Road	John Fogerty
Lover Boy	Billy Ocean
Keeping The Faith	Billy Joel
Easy Lover	Philip Bailey With Phil Collins
Somebody	Bryan Adams
Nightshift	Commodores
I'm On Fire	Bruce Springsteen
Missing You	Diana Ross
Naughty Naughty	John Parr
Obsession	Animotion
Turn Up The Radio	Autograph
Take Me With U	Prince And The Revolution Duet With Apollonia
Mr. Telephone Man	New Edition
Crazy For You	Madonna
Rhythm Of The Night	Debarge
This Is Not America	David Bowie/Pat Metheny Group
Why Can't I Have You	The Cars
Along Comes A Woman	Chicago
Method Of Modern Love	Daryl Hall John Oates
All She Wants to Do Is Dance	Don Henley
Solid	Ashford & Simpson
Radioactive	The Firm
Beat Of A Heart	Scandal Featuring Patty Smyth
Lucky	Greg Kihn
Second Nature	Dan Hartman
The Word Is Out	Jermaine Stewart
Jungle Love	The Time
The Borderlines	Jeffrey Osborne
That Was Yesterday	Foreigner
One Night In Bangkok	Murray Head
Don't You (Forget About Me)	Simple Minds
The Bird	The Time
Forever Man	Eric Clapton
Say It Again	Santana
Small Town Boy	Bronski Beat
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
Some Things Are Better Left Unsaid	Daryl Hall John Oates
We Close Our Eyes	Go West
Some Like It Hot	The Power Station
Let's Talk About Me	The Alan Parsons Project
Rain Forest	Paul Hardcastle
New Attitude	Patti LaBelle
Smooth Operator	Sade
Change	John Waite
Kiss and Tell	Isley, Jasper, Isley
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Rock And Roll Girls	John Fogerty
The Boys Of Summer	Don Henley
I Wanna Hear It From Your Lips	Eric Carmen
You're The Inspiration	Chicago
Foolish Heart	Steve Perry
Everybody Wants To Rule The World	Tears For Fears
Invisible	Alison Moyet
Look My Way	The Vels
Rockin' At Midnight	The Honeydrippers
I Would Die 4 U	Prince And The Revolution
Yo Little Brother	Nolan Thomas
Like A Virgin	Madonna
Roxanne, Roxanne	UTFO
Operator	Midnight Star
Emotion	Barbra Streisand
Tragedy	John Hunter
You Send Me	The Manhattans
In My House	Mary Jane Girls
Scientific Love	Midnight Star
One Night In Bangkok	Robey
Tenderness	General Public
Playing To Win	Little River Band
Piece By Piece	The Tubes
Follow Your Heart	Triumph
Be Your Man	Jesse Johnson's Revue
'Til My Baby Comes Home	Luther Vandross
Treat Her Like A Lady	The Temptations
Call To The Heart	Giuffria
Restless Heart	John Waite
All I Need	Jack Wagner
Back In Stride	Maze Featuring Frankie Beverly
This Is My Night	Chaka Khan
Love Light In Flight	Stevie Wonder
Ooh Ooh Song	Pat Benatar
Crazy	Kenny Rogers
Money Changes Everything	Cyndi Lauper
